longitude,count
-95.128508,81114
-71.36097,77015
-112.095767,64607
-83.148754,58521
-71.0826,57617
-117.41601,56739
-77.013178,53692
-84.2905,52330
-80.198787,51368
-122.308628,50872
-96.860117,50116
-87.799227,48365
-76.474444,48306
-119.062613,48139
-118.22688,47395
-73.902,46221
-95.257593,44863
-72.86884,44367
-106.455227,43945
-77.40027,40783
-90.198348,40371
-75.09778,40308
-86.114444,39024
-71.412968,37904
-82.2304,35011
-111.884467,34994
-87.304943,34806
-73.82153,34037
-121.894898,33246
-74.208365,33190
-93.25821,33022
-78.91859,32813
-70.970816,31610
-95.976537,30926
-82.714465,30553
-77.54817,30529
-75.558056,29982
-97.356529,29897
-78.574167,29693
-74.676301,29056
-80.785683,29005
-73.8589,28660
-119.77319,27943
-74.422403,27587
-94.167468,27492
-94.071061,27357
-108.49046,27344
-82.739875,27273
-77.10468,26300
-83.10653,26274
-87.493609,26272
-95.998941,26248
-75.186921,26003
-95.125495,25794
-88.62111,25749
-122.6679,25700
-76.283333,25652
-77.20978,25630
-76.878333,25615
-77.30968,25239
-83.2082,25228
-87.876265,24806
-97.431553,24785
-71.72,24739
-86.815,24731
-97.475083,24717
-91.179219,24643
-76.604603,24215
-95.326137,24083
-93.26613,23900
-90.587611,23863
-79.990293,23746
-93.06299,23689
-93.03255,23682
-82.9881,23582
-122.399044,22912
-92.9954,22155
-119.7062,21965
-80.224501,21925
-121.268523,21363
-73.87809,20921
-84.161111,20822
-116.942092,20699
-72.555112,20420
-81.678449,20393
-75.241209,20148
-118.683685,19660
-103.17781,19629
-87.199167,19580
-77.291816,19570
-76.181233,19212
-121.368014,18964
-92.11732,18834
-97.196284,18514
-79.657187,18491
-115.48307,18480
-74.19832,18446
-93.00352,18303
-95.499219,18063
-87.913504,17995
-108.56155,17925
-97.465703,17849
-68.2609,17840
-97.49383,17824
-101.941218,17755
-87.532289,17754
-148.9676,17603
-75.097617,17581
-83.941606,17555
-105.519073,17510
-73.68909,17496
-121.15688,17470
-113.99681,17370
-93.29874,17363
-107.800541,17355
-97.026899,17267
-80.237586,17253
-78.43471,17250
-105.54564,17245
-122.12429,17218
-109.38906,17215
-122.973953,17191
-112.174368,17137
-109.758655,17115
-79.836636,17090
-106.298639,17057
-95.178538,17031
-150.317909,17019
-73.2106,16996
-121.57646,16975
-109.82126,16960
-119.77321,16952
-87.93369,16935
-124.083964,16930
-104.810224,16888
-111.872222,16844
-79.425851,16775
-71.379971,16769
-118.31712,16765
-115.427015,16705
-86.142953,16695
-116.914063,16610
-111.1074,16607
-93.23725,16491
-77.955864,16480
-82.128154,16460
-70.268965,16440
-122.90944,16340
-109.89249,16333
-118.824821,16300
-93.203187,16205
-74.448736,16193
-91.495574,16165
-80.700972,16146
-82.749971,16130
-114.21593,16025
-122.140861,15990
-79.960757,15985
-80.680819,15875
-122.602877,15775
-122.044547,15757
-113.562222,15710
-93.991084,15688
-99.502984,15539
-93.952866,15492
-95.397744,15473
-75.165206,15430
-121.000708,15410
-120.103506,15395
-106.501045,15367
-106.821,15245
-97.063721,15161
-93.00496,15129
-121.427096,15060
-73.92769,14918
-87.33973,14790
-82.55889,14787
-84.209431,14705
-106.413177,14693
-88.527879,14663
-67.265408,14660
-93.05684,14616
-84.221099,14605
-82.554769,14579
-85.950227,14464
-102.342066,14431
-108.235719,14375
-114.928034,14370
-122.026154,14321
-76.582222,14291
-106.6766,14285
-93.895928,14258
-64.795972,14235
-118.095206,14227
-84.49761,14131
-85.671339,14128
-78.89926,14115
-92.829225,13965
-114.001032,13860
-80.6158,13847
-78.809526,13823
-75.3725,13772
-87.713488,13584
-110.737116,13550
-110.400996,13515
-117.059088,13459
-111.984846,13400
-82.7925,13395
-73.214444,13366
-93.207615,13330
-117.92391,13300
-93.643118,13286
-98.291069,13279
-119.807717,13260
-155.2578,13240
-81.682383,13182
-96.700769,13116
-77.034059,13110
-87.439551,13077
-72.982778,13044
-83.132086,13020
-94.617734,13015
-94.856568,13007
-94.711813,12962
-74.429439,12911
-121.26498,12872
-93.979262,12856
-95.018132,12828
-75.9686,12782
-108.561173,12643
-95.673951,12595
-82.64041,12591
-90.1401,12557
-89.049778,12511
-71.217639,12510
-118.513962,12425
-116.38893,12392
-75.21965,12388
-79.51257,12370
-95.031232,12367
-95.973142,12352
-73.88083,12303
-80.962304,12289
-121.782775,12277
-94.93152,12273
-93.03587,12215
-75.125219,12180
-79.505667,12151
-123.681083,12150
-108.720383,12135
-121.065815,12130
-81.933072,12095
-104.476346,12065
-92.92228,12065
-103.37853,12062
-103.48386,12050
-104.404711,12035
-97.419227,12026
-68.032614,12000
-88.37251,11990
-95.238417,11954
-81.3625,11922
-94.635605,11920
-102.4018,11905
-99.515222,11901
-94.143521,11896
-115.671925,11865
-85.763767,11820
-121.784217,11818
-81.3387,11815
-121.388064,11785
-70.063815,11768
-121.509993,11730
-97.712891,11721
-122.237976,11696
-96.85535,11668
-73.297257,11665
-92.281296,11663
-84.210544,11662
-109.441259,11590
-119.928671,11580
-70.023598,11560
-72.902871,11559
-116.844808,11535
-113.155326,11520
-111.293349,11500
-123.083737,11447
-121.843286,11444
-96.870189,11410
-111.285594,11393
-106.5852,11326
-120.008349,11305
-98.713351,11270
-156.283507,11250
-160.508331,11235
-121.888575,11185
-99.763424,11175
-106.852584,11175
-95.044951,11160
-111.218494,11115
-70.546319,11101
-111.683923,11080
-92.006318,11060
-82.538429,11042
-75.080833,11026
-91.405348,11025
-96.5605,11020
-92.77415,11016
-106.557247,11005
-75.6036,10995
-116.347853,10984
-119.178069,10945
-114.269975,10930
-93.065125,10903
-121.961823,10871
-105.452563,10868
-116.847778,10845
-118.18921,10752
-105.535444,10750
-78.84984,10745
-106.845299,10740
-112.801,10720
-106.402806,10707
-119.155557,10705
-109.382366,10700
-71.878626,10690
-94.004746,10689
-111.711573,10675
-76.207165,10640
-81.04942,10561
-70.785225,10553
-95.26113,10542
-73.126323,10538
-84.626423,10515
-112.129551,10485
-85.04534,10437
-110.9823,10402
-106.501243,10380
-88.33087,10373
-114.069205,10355
-84.50404,10298
-117.075086,10281
-79.00106,10205
-112.07526,10187
-116.971457,10180
-82.63137,10170
-113.1506,10165
-122.805707,10160
-93.25892,10130
-70.214219,10122
-100.339141,10090
-75.222403,10085
-72.334079,10069
-79.012,10045
-87.493836,10010
-89.150075,9990
-84.891865,9959
-105.102866,9927
-93.747041,9862
-116.92135,9842
-107.484167,9840
-96.115572,9757
-74.15178,9747
-104.82405,9697
-120.994212,9528
-86.924167,9505
-95.568475,9460
-122.20337,9380
-122.520004,9345
-76.699444,9336
-118.884819,9335
-91.6793,9312
-88.33389,9311
-80.256944,9306
-81.628317,9254
-93.269669,9239
-96.015845,9230
-83.543493,9194
-80.176389,9176
-99.935774,9152
-79.2887,9147
-94.377014,9096
-96.317687,8997
-105.2903,8990
-84.346389,8981
-84.059506,8941
-73.99518,8934
-76.88189,8900
-93.09827,8860
-111.969938,8803
-122.527658,8785
-95.079444,8679
-70.729165,8670
-82.402918,8642
-75.413973,8578
-97.751503,8575
-94.00077,8558
-118.887598,8525
-93.05541,8522
-157.969126,8507
-93.02611,8459
-68.64788,8455
-93.34315,8431
-96.797686,8430
-98.183101,8347
-122.296189,8261
-84.298881,8214
-87.435561,8184
-121.49311,8171
-68.016195,8155
-85.65452,8153
-94.919444,8115
-96.682001,8100
-75.341111,8100
-90.160477,7984
-90.42388,7970
-80.420833,7954
-102.434108,7910
-110.942801,7880
-94.03474,7830
-156.24789,7830
-79.868062,7801
-70.207324,7764
-74.192892,7672
-83.153435,7662
-72.553701,7639
-71.38014,7596
-92.15998,7594
-103.584732,7592
-96.191613,7580
-80.11333,7551
-122.364852,7525
-73.75464,7520
-90.5972,7516
-121.84047,7490
-93.761341,7490
-119.291228,7489
-115.078742,7485
-81.684717,7476
-95.259909,7476
-152.661089,7470
-94.077383,7442
-83.151415,7395
-84.720524,7394
-95.253598,7392
-106.957181,7390
-90.395904,7386
-89.584737,7385
-68.769675,7382
-90.153954,7375
-88.343757,7363
-116.944308,7351
-104.937438,7344
-89.809739,7342
-111.987164,7316
-83.161145,7302
-158.088613,7300
-121.641918,7264
-95.425128,7258
-111.713611,7254
-83.162585,7245
-89.850249,7222
-85.969444,7201
-121.401159,7155
-98.406501,7101
-104.778334,7016
-96.873056,7005
-85.52347,6988
-122.670985,6980
-117.149653,6980
-87.722673,6966
-79.902222,6960
-83.640996,6942
-86.115415,6927
-87.37444,6915
-109.639733,6900
-89.761683,6845
-79.958694,6840
-97.297714,6807
-90.105851,6768
-84.364207,6764
-84.478974,6758
-109.539683,6745
-76.729444,6726
-82.377871,6712
-122.710169,6689
-147.722461,6678
-81.621161,6658
-75.768242,6650
-100.76821,6648
-87.539315,6588
-91.68766,6584
-76.580244,6548
-95.1051,6538
-97.316912,6512
-82.0224,6510
-94.669697,6495
-80.523951,6485
-76.84611,6480
-83.87381,6480
-84.321607,6469
-122.4517,6467
-75.3539,6466
-84.9316,6450
-70.748017,6445
-95.474659,6444
-97.375601,6430
-116.563232,6402
-97.362212,6401
-83.106807,6395
-122.233229,6380
-73.756511,6380
-98.580511,6370
-81.541532,6358
-101.713405,6343
-82.994424,6269
-82.114261,6244
-75.45754,6241
-97.169271,6230
-79.920867,6227
-87.749928,6124
-76.579722,6110
-80.038611,6101
-94.621453,6096
-87.645326,6082
-122.282347,6052
-84.5527,6049
-86.929668,6038
-91.056068,6028
-117.49201,6025
-93.267117,6011
-86.7389,5918
-80.127545,5914
-76.627933,5877
-122.134467,5842
-80.145067,5840
-87.732457,5831
-122.698889,5784
-86.260372,5780
-95.303409,5764
-124.62491,5755
-93.285084,5747
-105.00518,5704
-92.536305,5699
-83.20932,5671
-97.454167,5667
-80.160324,5633
-92.450366,5625
-92.435157,5615
-81.02329,5604
-107.6345,5555
-90.182722,5546
-87.851963,5540
-122.356811,5532
-117.93845,5490
-93.240046,5486
-97.314847,5482
-84.707205,5460
-79.977538,5429
-80.733858,5420
-122.338265,5419
-93.11622,5409
-122.87923,5403
-72.9098,5395
-86.13088,5385
-119.716433,5362
-116.937772,5343
-113.996196,5322
-85.3009,5304
-85.671141,5304
-81.394153,5300
-147.727413,5296
-84.317057,5294
-87.490233,5280
-83.8134,5217
-104.987625,5215
-75.732,5182
-106.242427,5170
-73.84757,5132
-100.01819,5041
-94.861289,5040
-102.334745,5025
-79.011447,5024
-97.025,4975
-80.111152,4967
-88.152534,4956
-73.05754,4951
-91.315418,4822
-122.116899,4808
-90.965628,4782
-120.499167,4774
-95.660537,4771
-85.552502,4748
-88.35407,4732
-90.361492,4716
-75.4342,4710
-118.5284,4704
-118.0778,4702
-83.000138,4689
-112.501247,4626
-88.21507,4620
-80.167222,4617
-118.330783,4610
-78.915,4592
-71.462528,4587
-85.3232,4560
-82.959773,4518
-84.71157,4510
-76.846988,4506
-122.357193,4501
-81.024141,4494
-80.65847,4470
-86.263394,4470
-117.62914,4462
-97.03135,4455
-87.469954,4452
-88.766222,4448
-83.599602,4441
-83.64226,4434
-75.623056,4434
-93.591809,4433
-85.293019,4428
-81.119776,4410
-87.577222,4402
-84.394952,4396
-75.518056,4392
-82.5844,4380
-84.409617,4368
-72.631667,4367
-77.877028,4356
-87.805377,4330
-122.169935,4322
-88.53393,4318
-74.1843,4302
-81.365556,4296
-112.155726,4275
-93.23828,4269
-83.670159,4219
-119.702079,4214
-85.101816,4211
-86.586362,4200
-118.0685,4191
-95.222467,4186
-73.96661,4172
-86.8525,4155
-83.372102,4104
-119.97,4100
-116.85841,4087
-90.076413,4083
-90.144763,4078
-121.731369,4038
-84.343035,4024
-94.317802,3988
-85.005028,3984
-83.471878,3918
-80.395039,3911
-80.2627,3900
-81.818667,3893
-75.9145,3885
-85.740111,3882
-81.485166,3872
-96.669441,3866
-80.317731,3866
-90.185059,3859
-90.041559,3858
-111.920556,3852
-74.190422,3850
-97.387254,3849
-78.996154,3841
-83.946559,3834
-113.034167,3830
-97.577981,3805
-83.23569,3800
-95.983793,3794
-90.272826,3767
-74.003674,3756
-80.243995,3750
-84.942035,3738
-66.58002,3735
-82.22961,3712
-117.05558,3710
-84.525,3708
-83.5978,3694
-151.49188,3690
-79.294251,3687
-83.2933,3681
-101.766944,3676
-85.178723,3646
-81.000894,3621
-81.991372,3619
-93.254759,3609
-87.884,3567
-122.3858,3562
-81.15495,3542
-76.0643,3540
-81.036248,3535
-90.440409,3530
-79.298192,3522
-122.319722,3507
-86.186269,3491
-88.924799,3482
-75.56979,3481
-119.967682,3473
-81.693717,3470
-84.3543,3463
-78.877478,3459
-73.75861,3459
-84.200144,3456
-115.447769,3456
-111.968611,3440
-93.866944,3438
-104.978074,3430
-149.824602,3428
-118.06056,3417
-120.997712,3413
-87.99344,3402
-81.115305,3391
-94.090924,3388
-85.558612,3387
-75.5568,3372
-122.069705,3368
-120.471667,3360
-111.708885,3345
-87.46375,3342
-89.580378,3322
-122.23062,3303
-75.6106,3301
-80.0309,3294
-66.150293,3293
-95.269102,3282
-90.139675,3276
-78.876445,3271
-68.772762,3262
-97.419878,3249
-84.536297,3237
-89.35768,3234
-122.323458,3198
-151.711491,3195
-93.233227,3181
-122.880266,3171
-84.503624,3148
-79.948036,3139
-90.021537,3138
-97.937265,3136
-106.403889,3115
-72.337867,3115
-96.707208,3113
-88.116474,3108
-81.932555,3094
-97.657261,3092
-80.316442,3090
-95.985479,3086
-76.6538,3085
-76.30135,3080
-111.9823,3075
-87.561989,3074
-81.102941,3068
-89.08955,3064
-82.152241,3061
-66.115846,3060
-122.575278,3056
-110.93715,3055
-76.203889,3054
-74.13719,3050
-88.80859,3030
-122.30129,3027
-73.211516,3026
-84.3942,3000
-74.16882,2996
-110.401096,2995
-119.015009,2991
-83.20209,2990
-87.475543,2983
-122.586944,2976
-82.456229,2960
-114.026921,2945
-92.046196,2938
-93.75945,2935
-132.81234,2900
-88.33411,2900
-86.22595,2894
-119.022602,2894
-88.149138,2880
-87.928676,2875
-80.215556,2868
-122.2806,2865
-84.272614,2843
-106.486712,2836
-85.222266,2836
-121.7659,2835
-76.598578,2829
-89.135115,2826
-84.187678,2821
-82.160479,2808
-79.285697,2806
-121.896866,2798
-117.128752,2780
-123.141352,2768
-97.444491,2766
-73.939582,2762
-87.87633,2760
-87.407817,2734
-93.195377,2731
-81.892333,2713
-93.19019,2704
0.0,2704
-79.483058,2698
-84.213398,2678
-101.6224,2676
-85.543335,2672
-77.62916,2669
-68.645594,2665
-97.1577,2664
-95.220582,2646
-96.432113,2645
-68.22698,2632
-80.933401,2632
-97.875084,2622
-81.637754,2616
-81.065326,2605
-122.972398,2564
-95.953601,2556
-71.416354,2551
-97.0425,2548
-82.31307,2544
-96.781883,2539
-95.61359,2502
-122.077,2500
-93.909018,2496
-82.659241,2478
-82.980105,2478
-80.337735,2478
-70.968359,2473
-84.198674,2472
-85.81566,2460
-96.991389,2456
-87.305556,2453
-85.968446,2448
-94.624679,2448
-119.143182,2445
-85.304826,2442
-85.541949,2441
-117.358121,2437
-89.927185,2434
-97.707801,2422
-84.507439,2414
-82.521599,2412
-82.414585,2404
-95.948901,2403
-77.603293,2401
-88.0875,2397
-120.47069,2390
-122.263376,2389
-89.206659,2385
-118.880056,2380
-113.225096,2370
-106.500449,2357
-75.4114,2352
-87.569458,2352
-122.818294,2350
-87.607683,2342
-96.726435,2334
-80.500451,2328
-73.387353,2318
-87.487528,2307
-95.696093,2304
-84.518663,2301
-94.687013,2289
-89.792778,2278
-122.050845,2276
-122.816411,2260
-87.815334,2255
-73.92009,2252
-82.45008,2244
-81.034179,2236
-122.280454,2231
-74.12525,2230
-116.968133,2220
-115.553309,2196
-97.40572,2185
-90.619286,2180
-82.262926,2165
-112.961944,2165
-87.328041,2160
-80.6063,2160
-90.410638,2154
-94.68857,2154
-71.44176,2153
-90.232891,2152
-76.5825,2147
-84.069608,2141
-121.849783,2134
-73.336667,2129
-79.29758,2126
-87.20355,2108
-77.5669,2106
-93.236924,2094
-83.157893,2094
-81.634419,2085
-86.8029,2084
-86.114485,2073
-122.3403,2066
-82.829782,2063
-80.325922,2052
-77.636391,2051
-93.276699,2050
-82.665331,2046
-121.8211,2045
-82.822512,2034
-90.143168,2034
-93.01708,2034
-82.776213,2034
-122.171529,2034
-96.929444,2023
-82.834973,2022
-107.659685,2008
-104.4406,1970
-117.801091,1970
-71.417931,1950
-108.053259,1928
-79.798851,1926
-85.54189,1923
-82.731767,1902
-89.395916,1901
-90.0391,1896
-82.419309,1896
-112.14426,1892
-119.503659,1883
-66.150615,1878
-147.310297,1872
-75.002405,1872
-81.108251,1867
-92.830515,1865
-122.75797,1860
-101.775729,1859
-122.6995,1848
-108.563775,1840
-80.677853,1828
-86.74472,1821
-85.22327,1820
-121.934188,1813
-89.923883,1808
-90.143529,1806
-117.69211,1800
-77.37742,1795
-80.781135,1788
-76.1124,1786
-85.057747,1776
-70.749497,1773
-88.925594,1770
-104.827739,1770
-124.59519,1765
-103.2995,1758
-77.498041,1734
-86.148577,1733
-79.289464,1728
-84.221377,1723
-95.70276,1722
-80.071337,1720
-83.279931,1717
-121.631916,1705
-82.1641,1704
-86.796389,1700
-103.6491,1686
-106.288,1680
-123.005934,1677
-81.50131,1652
-75.207205,1649
-116.992427,1634
-119.460952,1626
-80.169943,1613
-70.251944,1610
-86.956091,1610
-74.128056,1607
-85.656419,1595
-90.07006,1591
-90.1412,1590
-84.144201,1590
-116.3473,1590
-87.589574,1589
-122.615094,1585
-118.999961,1579
-117.943927,1578
-71.437401,1571
-87.270967,1564
-84.999653,1560
-94.933333,1558
-88.338323,1557
-81.019667,1557
-80.2583,1545
-90.166201,1542
-108.02611,1541
-116.905182,1539
-85.73195,1536
-82.465146,1520
-88.63774,1518
-83.231258,1515
-90.188394,1512
-83.190701,1511
-122.302741,1510
-107.782298,1510
-79.298399,1510
-85.68003,1509
-83.206812,1508
