method_code,count
800,1749344
811,1645423
150,1007907
175,564088
101,473184
802,438392
113,406933
176,326530
202,295759
90,289168
110,252665
128,211357
149,188894
136,182575
92,175130
102,145053
89,131888
153,94551
210,94316
171,76764
126,66906
211,61963
821,56046
105,53422
108,50800
851,49656
109,45322
846,43188
305,41860
304,40338
303,40248
116,39159
151,38063
841,36686
123,36348
107,35934
831,34416
801,31451
147,23417
156,22585
172,21157
169,20505
203,19929
148,17619
921,15345
920,13423
106,12113
114,12109
204,10897
501,9336
903,9201
168,8852
165,8751
142,7961
146,6965
910,6646
908,6342
103,5799
157,5720
127,5236
177,5160
306,4621
179,4290
145,4169
125,3747
228,3299
152,3281
155,3048
120,2839
129,2615
91,2476
134,2135
170,1991
201,1822
118,1778
122,1732
166,1241
93,1214
112,1174
115,863
119,848
884,840
227,768
141,688
97,477
221,459
922,414
923,326
905,266
137,261
144,218
95,192
232,178
222,147
901,78
223,62
906,39
135,30
