observation_count,count
1,9519487
22,105440
8,44082
24,32181
21,31964
4,30726
20,22487
3,21983
23,20390
7,13825
2,9221
19,4769
5,4091
6,3903
18,2843
17,1931
16,1653
12,1506
15,1393
14,1350
13,1270
10,1209
11,1195
96,1186
9,1001
94,90
92,25
90,24
89,22
93,22
91,19
88,13
95,13
86,7
87,7
83,6
54,5
84,5
82,5
56,4
80,4
38,3
78,3
40,3
72,3
58,3
52,2
60,2
81,2
62,2
75,2
53,2
74,2
45,2
70,2
41,2
50,2
44,2
85,2
59,1
64,1
65,1
67,1
51,1
43,1
63,1
48,1
55,1
42,1
66,1
73,1
61,1
30,1
49,1
39,1
31,1
46,1
68,1
77,1
71,1
33,1
76,1
