observation_percent,count
100.0,9553450
92.0,105453
13.0,47292
88.0,44852
50.0,26467
83.0,22986
96.0,20415
38.0,16448
17.0,8798
75.0,5940
25.0,4991
79.0,4770
63.0,3578
67.0,2388
33.0,2025
71.0,1932
21.0,1411
58.0,1354
54.0,1272
42.0,1212
46.0,1197
4.0,992
29.0,944
8.0,874
20.0,110
98.0,90
94.0,24
97.0,22
93.0,22
95.0,19
99.0,13
91.0,7
90.0,7
86.0,6
85.0,5
56.0,5
40.0,3
60.0,3
81.0,3
89.0,2
65.0,2
78.0,2
55.0,2
84.0,2
77.0,2
47.0,2
43.0,2
52.0,2
73.0,2
64.0,1
53.0,1
3.0,1
61.0,1
68.0,1
66.0,1
44.0,1
45.0,1
76.0,1
1.0,1
31.0,1
51.0,1
41.0,1
32.0,1
69.0,1
70.0,1
48.0,1
80.0,1
74.0,1
34.0,1
57.0,1
