parameter_name,count
Lead PM2.5 LC,758833
Nickel PM2.5 LC,758639
Manganese PM2.5 LC,758517
Arsenic PM2.5 LC,756883
Chromium PM2.5 LC,756843
Benzene,549932
"1,3-Butadiene",377424
Cadmium PM2.5 LC,305116
Chloroform,294207
Tetrachloroethylene,293730
Dichloromethane,292291
Carbon tetrachloride,289655
Trichloroethylene,285650
Ethylene dichloride,269846
Vinyl chloride,268687
Ethylene dibromide,240856
"1,2-Dichloropropane",239455
"trans-1,3-Dichloropropene",230262
"cis-1,3-Dichloropropene",225186
"1,1,2,2-Tetrachloroethane",221425
Formaldehyde,208822
Acetaldehyde,205081
Cadmium (TSP) STP,135641
Nickel (TSP) STP,130586
Chromium (TSP) STP,128371
Manganese (TSP) STP,126317
Arsenic (TSP) STP,123693
Acrolein - Unverified,111216
Beryllium (TSP) STP,89941
Lead PM10 STP,63587
Arsenic PM10 STP,56466
Manganese PM10 STP,54258
Nickel PM10 STP,53375
Chromium PM10 STP,50800
Cadmium PM10 STP,48463
Beryllium PM10 STP,42900
Acrolein - Verified,32552
Chromium VI (TSP) STP,25759
Mercury PM10 STP,14842
Chromium VI (TSP) LC,3749
Beryllium PM2.5 LC,1565
