site_num,count
9000,608857
0002,480427
0001,437550
0003,407313
0005,284565
0004,274290
0014,239345
0007,221651
0010,220107
0008,214571
0006,193312
0101,170402
8001,169156
1002,166711
0020,133969
0011,126659
0022,120835
0009,118022
0026,107980
1010,104166
0030,99843
0017,95264
3001,93085
0021,90567
0012,88828
1001,87879
0034,85080
0042,84255
0018,81624
1039,81114
0043,76530
1007,75249
0015,71161
0016,71031
0080,69026
0023,68325
9997,64607
0019,63707
0069,63274
0033,62218
0024,61070
1003,60318
2004,57986
0055,57898
1035,55552
2002,54907
1004,52855
0029,52165
0041,51166
3002,50558
2006,48874
0044,48855
4201,48365
1103,47395
0078,46282
0110,46221
4002,43739
0035,43618
0085,43265
0047,41860
9001,41660
0040,41117
0031,39102
2008,38194
9002,37730
0057,37457
0032,35553
0053,34802
0060,34235
1013,34185
0124,34037
0013,33266
0963,33022
1127,30926
0119,30560
1014,29278
0037,28470
1008,28350
5001,26583
0133,26324
0235,26248
3103,25889
1006,25766
9010,25742
0246,25700
0027,25589
1037,24736
0966,23900
0423,23689
0500,23582
2003,23165
0436,22155
0025,21810
0132,21797
0046,21746
0111,20706
0100,20660
0050,19724
0103,19022
7549,18834
1005,18690
1020,18480
8100,18365
0438,18303
0038,18175
0070,18008
3003,17589
0803,17031
3006,16844
0501,16695
0102,16495
0470,16491
0076,16415
1009,16363
2001,15946
0083,15552
3009,15161
0442,15129
0118,14918
0953,14705
0955,14605
2011,14157
1011,14143
0901,14137
8102,14023
0109,14005
0048,13966
0123,13886
4003,13735
0061,13530
0063,12604
8104,12505
0058,12469
0067,12228
0871,12215
0051,11900
7001,11876
0951,11662
0052,11624
1044,11410
0064,11148
1065,11042
0446,11016
0762,11005
5005,10509
1028,10402
3007,10358
0130,10165
0961,10130
0136,10085
8103,9699
6000,9699
1015,9644
2007,9432
0097,9358
9034,9335
0087,9244
0179,9230
4001,9191
0890,9152
0134,8934
0868,8860
0959,8563
0443,8522
0441,8459
0075,8456
0049,8346
0954,8214
2010,8017
1034,7686
7555,7594
0540,7485
0307,7476
0084,7415
1022,7351
0091,7308
0036,7091
2009,6987
1075,6712
0108,6682
0081,6571
1012,6512
9009,6495
0677,6370
5501,6259
0244,5784
0187,5764
0098,5736
5008,5625
0039,5515
0965,5486
0465,5409
8002,5277
3101,5157
5502,4855
0066,4763
0062,4719
6012,4704
0903,4627
0300,4618
0714,4612
0960,4536
0401,4506
1018,4475
1601,4433
5503,4364
3301,4330
0106,4302
0028,4301
0969,4269
0056,4217
1602,4191
1049,4186
0902,4130
2005,4119
0065,3880
0191,3794
5200,3750
5000,3738
0092,3619
0962,3609
0099,3442
1100,3438
1050,3388
8201,3322
3011,3310
8105,3203
0968,3181
2129,3171
6001,3143
1048,3136
0045,3111
0172,3086
9991,3085
1016,3070
0131,2996
0089,2986
3051,2935
0059,2768
2012,2734
0964,2731
0104,2698
0301,2585
5504,2557
0905,2441
6002,2433
5002,2427
0417,2403
5505,2365
0072,2342
0727,2328
0088,2215
9003,2129
0068,2085
0909,2050
0866,2034
0900,1896
4009,1892
3010,1848
8101,1777
0952,1723
8107,1712
6004,1700
8106,1614
0222,1539
0077,1536
0105,1508
1041,1486
3005,1479
1026,1474
7003,1468
0116,1460
0445,1340
6606,1316
3053,1308
0439,1296
1240,1274
7416,1264
0421,1264
9014,1260
3105,1251
3102,1246
4007,1236
4004,1233
6607,1218
6020,1200
2013,1182
0426,1182
7550,1150
3050,1123
0967,1122
3201,1117
7014,1103
0958,1090
1241,1083
0424,1080
7551,1077
4301,1077
2303,1068
2302,1062
3052,1054
0561,1050
8400,1040
0200,1038
3049,1038
1909,1033
0260,1026
5401,1020
2103,1019
4500,1015
2110,1015
5210,1014
3012,1013
3104,997
5356,991
0107,980
5109,968
0425,968
3202,963
2401,959
4110,953
2015,950
1400,949
0603,916
0400,908
0314,894
7608,886
0956,875
0957,865
1105,862
0612,859
1908,849
7000,838
0090,812
2510,806
7002,796
9005,785
0325,756
7004,750
0096,744
7020,696
0217,651
9901,650
0560,636
2520,612
0120,600
0071,593
0706,571
0125,535
9998,534
4005,508
0602,481
8401,462
1201,450
0054,449
3004,440
8006,426
0874,414
0906,390
1123,384
0073,364
1111,354
1901,308
8003,299
0921,274
0094,270
0924,269
7005,269
0922,266
0923,261
0719,256
8109,242
5003,234
8110,221
8108,216
0093,204
0095,174
0115,165
2123,156
5010,148
1801,132
1024,126
8020,126
9812,120
8021,112
1904,108
0333,108
5506,100
1017,99
4101,96
0807,96
1023,95
8005,64
4103,60
7554,58
0304,41
1907,30
1906,28
1207,15
