state_code,count
48,1112543
06,1065952
27,498857
36,449286
42,432218
26,361881
04,283399
18,277766
12,266153
17,231160
39,227740
53,220660
13,218722
08,213269
45,212646
41,205428
37,203709
44,172765
24,166052
34,164341
40,161100
30,160085
21,155781
23,155619
51,153624
25,150095
20,148835
49,129190
50,120108
29,110836
55,105842
35,104316
22,99493
01,88305
19,82477
02,81987
56,79791
47,79083
54,73316
11,70654
16,65331
46,64282
32,59067
10,57224
33,48994
15,48127
28,48093
38,48081
05,42935
31,33999
09,32311
78,15315
72,11996
80,10582
