state_name,count
Texas,1112543
California,1065952
Minnesota,498857
New York,449286
Pennsylvania,432218
Michigan,361881
Arizona,283399
Indiana,277766
Florida,266153
Illinois,231160
Ohio,227740
Washington,220660
Georgia,218722
Colorado,213269
South Carolina,212646
Oregon,205428
North Carolina,203709
Rhode Island,172765
Maryland,166052
New Jersey,164341
Oklahoma,161100
Montana,160085
Kentucky,155781
Maine,155619
Virginia,153624
Massachusetts,150095
Kansas,148835
Utah,129190
Vermont,120108
Missouri,110836
Wisconsin,105842
New Mexico,104316
Louisiana,99493
Alabama,88305
Iowa,82477
Alaska,81987
Wyoming,79791
Tennessee,79083
West Virginia,73316
District Of Columbia,70654
Idaho,65331
South Dakota,64282
Nevada,59067
Delaware,57224
New Hampshire,48994
Hawaii,48127
Mississippi,48093
North Dakota,48081
Arkansas,42935
Nebraska,33999
Connecticut,32311
Virgin Islands,15315
Puerto Rico,11996
Country Of Mexico,10582
