address,count
3004 N. WESTMORELAND,6197
"MAIN STREET: 1 Parkwood, Herculaneum, MO 63048",6046
"MOTT STREET: 747 Mott Street, Herculaneum, MO 63048",6040
"DUNKLIN HIGH SCHOOL: 1 Black Cat Dr., Herculaneum, MO, 63048",5746
"Broad Street: Herculaneum, MO 63048",5721
"MOTT STREET: 360 Short Street, Herculaneum, 63048",5515
"4010 E. 26th Street, Vernon, CA 90058",5232
364 EXIDE DR. ON EXIDE PROPERTY,4735
SPRING VALLEY ROAD,4709
364 EXIDE DR.,4637
1501 E. LYCOMING AVE.,4514
Muncie- Mt. Pleasant Blvd.  2601 W. MT. PLEASANT BLVD. - EAST SITE,4426
 ARAMINGO AVE. AND BELGRADE STREET,4064
"1630 N MAIN ST, LOS ANGELES",4042
"SHERMAN: 460 Sherman Street, Herculaneum, MO 63048",3750
1104 NOLEN STREET,3726
"5888 MISSION BLVD., RUBIDOUX",3521
"DOE RUN GLOVER - POST OFFICE: Hwy 49 Glover, MO 65439 (Remte site, see coordinates for location)",3418
"NORTH CROSS: Herculaneum, MO 63048",3329
"DOE RUN BUICK - SOUTH#1:HC1 Box 1395 HWY KK Buick, MO 65439",3309
"BLUFF: Herculaneum, MO 63048",3235
2828 RECTOR STREET,3160
1350 SARGENT ROAD,3130
"3648 N. LONG BEACH BLVD., LONG BEACH",3029
7601 ROCKVILLE ROAD,2940
2601 W. MT. PLEASANT BLVD. - WEST SITE,2853
HENDERSON ROAD,2737
"95 BALLARD ROAD, TOWN OF WALLKILL, Ball Corp",2731
"FIREHALL,CORNER PACIFIC&MORTON,E.HELENA",2730
700 ABBOTT DRIVE,2708
15TH & MADISON,2702
"7002 MAGNOLIA AVE., RIVERSIDE",2609
1700 NORTH 66TH STREET,2588
5400 N. WASHINGTON ST.,2560
"DOE RUN GLOVER - BIG CREEK: Glover Hwy 49, MO 65439 (Remote site, see coordinates for location)",2505
3535 E. 114TH ST.,2471
91 WAKEFIELD STREET/ 110 THRUSTON STREET [Greenville Health Department],2458
1221 GREGG STREET [SCDPPPS],2446
"1350 SAN BERNARDINO RD., UPLAND",2349
8311 PARKLANE ROAD [Parklane],2349
"DOE RUN BUICK - NORTH#5:HC1 Box 1395 HWY 32  Buick, MO 65439",2328
4830 JENKINS AVE. [Jenkins Av.],2301
 2522 BURNSIDE ST KNOXVILLE TN 37921,2286
ST. MICHAEL CONVERT,2284
2842 WYOMING (DEARBORN),2271
1300 141 ST STREET,2255
"CHURCH STREET: 951 Church Street, Herculaneum, MO 63048",2218
TAMAQUI DR,2210
"HAZELTON-HD, STOCKTON",2179
BUICK NE; 347 Power Lane,2165
"1029 ETHEL ST, CALEXICO HIGH SCHOOL",2156
KIRKLAND US 41-A & NABRY-COVINGTON RD.,2145
GSM#2 MABRY-COVINGTON RD,2142
7471 South 5th Street,2110
12TH ST.BETW.JOYCE KILMER AV.& RR TRACKS,2075
6601 Eubanks,2070
"RIVERFRONT  OMAHA, NE",2047
3450 DODD ROAD,2034
Industrial Rd.,2032
"24302 4TH ST., SAN BERNARDINO, CA.",2019
1050 S BROADWAY,1982
"120B N 4TH ST, SAN JOSE",1977
"1155 REDWOOD AVE., EL CAJON",1968
"PEVELY: 500 Dow Industrial Drive, Pevely, MO 63070",1884
J Harold Tillman Hlt Ct 222 S Campbell S,1880
2345 167TH ST SUPERIOR ENGINEERING,1873
"520 Orchard Ave, Avalon, PA 15202 (Avalon)",1856
"HADFIELD, 101 WEST MAIN, EAST HELENA",1815
4850 WILSON AVE.,1773
735 W. HARRISON,1763
"CLAYTON ANIMAL SHELTER: 77 Hunter Avenue, Ladue, MO 63124",1758
E. 56TH ST.,1752
6931 Ash Street,1749
149 & Yankee Doodle Rd.,1746
2443 SOUTH JACKSON AVENUE,1734
"Rail Road Yard Washington Blvd., Commerce, CA 90058",1733
200 VAN BUREN,1731
1500 MAYBROOK DR.,1730
FRONT ST & NORRIS ST,1728
"2935 SOUTH 8560 WEST MAGNA,UTAH",1722
1262 1/2 Mae Drive,1702
10 ARKANSAS ST.,1697
"40TH ST & 1ST AVE ,DODGE PARK LIFT STA",1655
CRYSTAL ROCK ROAD,1648
