cbsa_name,count
"St. Louis, MO-IL",68661
"Chicago-Naperville-Elgin, IL-IN-WI",44632
"Dallas-Fort Worth-Arlington, TX",41125
"Los Angeles-Long Beach-Anaheim, CA",31202
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",30236
"Reading, PA",25388
"Minneapolis-St. Paul-Bloomington, MN-WI",25186
"Pittsburgh, PA",21728
"New York-Newark-Jersey City, NY-NJ-PA",18731
"Riverside-San Bernardino-Ontario, CA",16334
"Nashville-Davidson--Murfreesboro--Franklin, TN",15332
"Omaha-Council Bluffs, NE-IA",14231
"Columbia, SC",13322
"Kingsport-Bristol-Bristol, TN-VA",12361
"San Francisco-Oakland-Hayward, CA",12122
"El Paso, TX",11517
"Houston-The Woodlands-Sugar Land, TX",11289
"Tampa-St. Petersburg-Clearwater, FL",10240
"Detroit-Warren-Dearborn, MI",10176
"Indianapolis-Carmel-Anderson, IN",9795
"Washington-Arlington-Alexandria, DC-VA-MD-WV",9704
"Denver-Aurora-Lakewood, CO",9521
"Helena, MT",9509
"Greenville-Anderson-Mauldin, SC",8013
"Cleveland-Elyria, OH",7870
"Muncie, IN",7417
"Kansas City, MO-KS",6910
"San Diego-Carlsbad, CA",6857
"Charleston-North Charleston, SC",6042
"Miami-Fort Lauderdale-West Palm Beach, FL",5964
"Phoenix-Mesa-Scottsdale, AZ",5948
"Memphis, TN-MS-AR",5748
"Knoxville, TN",5659
"Birmingham-Hoover, AL",5399
"Bakersfield, CA",5315
"Charleston, WV",5120
"Wichita, KS",5105
"Georgetown, SC",5087
"Boston-Cambridge-Newton, MA-NH",5021
"San Jose-Sunnyvale-Santa Clara, CA",4986
"Baltimore-Columbia-Towson, MD",4841
"Tulsa, OK",4801
"Allentown-Bethlehem-Easton, PA-NJ",4700
"Florence, SC",4643
"New Orleans-Metairie, LA",4497
"Duluth, MN-WI",4460
"Seattle-Tacoma-Bellevue, WA",4386
"Sacramento--Roseville--Arden-Arcade, CA",4223
"Oklahoma City, OK",4130
"Salt Lake City, UT",4061
"Portland-South Portland, ME",3967
"Salem, OH",3928
"Topeka, KS",3871
"San Juan-Carolina-Caguas, PR",3691
"Baton Rouge, LA",3558
"Providence-Warwick, RI-MA",3404
"Payson, AZ",3263
"Grand Rapids-Wyoming, MI",3219
"New Haven-Milford, CT",3182
"Portland-Vancouver-Hillsboro, OR-WA",3125
"Atlanta-Sandy Springs-Roswell, GA",3091
"Troy, AL",3056
"Virginia Beach-Norfolk-Newport News, VA-NC",3031
"Tucson, AZ",2994
"Stockton-Lodi, CA",2979
"Bellefontaine, OH",2975
"Miami, OK",2837
"Urban Honolulu, HI",2818
"Buffalo-Cheektowaga-Niagara Falls, NY",2780
"Columbus, GA-AL",2720
"El Centro, CA",2663
"Jacksonville, FL",2651
"Cincinnati, OH-KY-IN",2591
"Lancaster, PA",2569
"San Antonio-New Braunfels, TX",2471
"Huntington-Ashland, WV-KY-OH",2392
"Bridgeport-Stamford-Norwalk, CT",2357
"Milwaukee-Waukesha-West Allis, WI",2327
"Peoria, IL",2267
"Brownsville-Harlingen, TX",2245
"Santa Maria-Santa Barbara, CA",2203
"Weirton-Steubenville, WV-OH",2200
"Fresno, CA",2172
"Springfield, MA",2172
"Hartford-West Hartford-East Hartford, CT",2159
"Wheeling, WV-OH",2111
"Charlotte-Concord-Gastonia, NC-SC",2056
"Las Cruces, NM",2054
"Albuquerque, NM",2037
"Marion, OH",2035
"Greenwood, SC",2030
"Richmond, VA",1992
"Jackson, MS",1961
"Toledo, OH",1932
"Johnstown, PA",1909
"Louisville/Jefferson County, KY-IN",1825
"Marietta, OH",1800
"Spartanburg, SC",1755
"Columbus, OH",1701
"Beaumont-Port Arthur, TX",1683
"Little Rock-North Little Rock-Conway, AR",1663
"Oxnard-Thousand Oaks-Ventura, CA",1635
"Flint, MI",1610
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",1580
