city_name,count
Not in a city,110870
Herculaneum,47047
Dallas,27208
Philadelphia,21618
Chicago,15047
Bristol,11859
Laureldale,11804
El Paso,11404
Omaha,10169
Nashville,8730
Minneapolis,8301
Houston,7956
Muncie,7417
Cleveland,7288
East Helena,7275
Frisco,7028
Hammond,6585
Kansas City,6176
Tampa,6080
Columbia,5658
Denver,5657
Lyons (corporate and RR name for Lyon Station),5330
Los Angeles,5232
Vernon,5232
East Chicago,5134
Wichita,5105
Eagan,5098
Georgetown,5087
Indianapolis (Remainder),4992
Granite City,4893
Indianapolis,4803
San Jose,4609
New York,4589
Portland,4508
Tulsa,4481
Baltimore,4419
Knoxville,4308
Long Beach,4141
Phoenix,4067
Memphis,4053
Columbus,4051
North Charleston,4026
Pittsburgh,3960
East Liverpool,3928
Detroit,3906
Scotchtown,3871
St. Paul,3796
Council Bluffs,3776
Rubidoux,3521
Boston,3493
Greenville,3463
Oklahoma City,3409
Commerce City,3287
Richmond,3253
Springfield,3246
Duluth,3078
Troy,3056
Washington,3047
Bakersfield,2988
Stockton,2979
Bellefontaine,2975
Leeds,2955
Charleston,2951
Seattle,2869
Picher,2837
Jacksonville,2651
Riverside,2609
El Cajon,2572
Topeka,2487
San Bernardino,2440
Pico Rivera,2405
San Francisco,2391
Dearborn,2371
Upland,2349
Dentsville (Dents),2349
San Antonio,2328
Milwaukee,2317
Pevely,2302
Birmingham,2275
Sacramento,2268
San Diego,2254
Tucson,2177
Fort Worth,2170
Calexico,2157
Fresno,2108
North Brunswick Township,2075
Chester,2040
Marion,2036
Newark,2023
Salt Lake City,2013
Jackson,1967
Commerce,1933
Buffalo,1929
Grand Rapids,1923
Avalon,1856
New Orleans,1855
Albuquerque,1851
Rosemount,1826
Fremont,1818
Marietta,1792
Tijuana,1789
Peoria,1765
Ladue,1758
East Conemaugh (corporate name for Conemaugh),1741
Delta,1737
Maywood,1730
Brownsville,1727
Atlanta,1722
Magna,1722
Providence,1719
Huntington,1693
Gary,1683
Weirton,1675
St. Louis,1670
Schiller Park,1655
Wilmington,1652
Greer,1641
Concord,1633
Honolulu,1621
Lynwood,1610
Flint,1610
East Saint Louis,1603
Pittsburg,1594
Rock Hill,1592
Braddock,1582
Alsip,1571
Park Hills,1566
Crystal City,1545
Wheeling,1537
Wood River,1505
Nilwood,1503
Mexicali,1479
Palmerton,1470
Decatur,1452
Myrtle Beach,1428
Simi Valley,1426
Laplace (La Place),1423
Kellogg (Kellogg-Wardner),1415
Monessen,1404
Cincinnati,1376
Nitro,1346
Belding,1327
Beaumont,1325
New Haven,1298
Laredo,1295
Virginia,1288
Corpus Christi,1285
Rochester,1277
Colorado Springs,1251
Saint Petersburg,1243
Baton Rouge,1233
Virginia Beach,1229
Morgantown,1224
Summit,1221
Miami,1195
San Juan,1188
Rockford,1178
Compton,1160
Burbank,1156
Texas City,1129
Sumter,1125
Allen Park,1120
Waterbury,1085
Albany,1080
Anaheim,1069
Louisville,1068
Lancaster,1052
Norfolk,1051
Rockwood,1049
Leadville,1042
Richfield,1040
Groveton,1032
Canton,1030
South Charleston,1026
Spartanburg,1025
Jersey City,1021
North Little Rock,1019
Forest City,1016
Hawthorne,1009
Fairmont,1003
Sans Souci,1000
Hayden,998
Florence,989
Joliet,987
Greenwood,985
Saco,960
Kohler,957
Middletown,953
Wyoming,953
Parkersburg,949
Santa Barbara,946
Hopewell,940
Martinsburg,928
Hialeah,927
Industry (corporate name for City of Industry),925
Port Huron,923
Portage,921
Biddeford (RR name Biddeford-Saco),918
Carlsbad,916
Goodland,915
Green Park,914
Cayce,911
East Moline,901
Bridgeport,900
Inver Grove Heights (RR name Inver Grove),897
Chula Vista,896
Tacoma,889
Butte-Silver Bow (corp name for Butte),886
Muskegon,886
Northbrook,885
Hartford,883
Napa,882
San Rafael,878
Northampton,878
Redwood City,876
Citrus Heights,872
Anchorage,871
Vallejo,871
Anaconda-Deer Lodge County,867
Austin,864
Azusa,860
Santa Rosa,860
Livermore,857
Niagara Falls,851
Terrell,845
Santa Fe Springs,838
Bayport,835
Pompano Beach Highlands,824
Kalamazoo,822
Bridgeville,816
Savanna,807
Beaufort,797
River Rouge,793
Mamaroneck,789
Madison Heights,780
Hybla Valley,773
Lansing,771
Hollywood,756
Bangor,756
Pasadena,751
East Lake-Orient Park,750
Union City,747
Orlando,739
Erie,738
Largo,735
Merriam,734
Trona,733
Camden,725
York,723
East Highland Park,718
Des Moines,716
Reston,709
Clifton,695
Newport,695
Presque Isle,684
Concordia,683
Fairbanks,679
Dodge City,678
Apple Valley,670
Amarillo,669
Metairie,660
Globe,658
Kingsport,654
Stamford,649
Little Rock,644
Roseville,643
Cranston,622
Syracuse,621
Atlantic City,618
Liberty,612
Corinth,601
Lewiston,598
Moraine,594
Roanoke,591
Blaine,589
Chanute,587
Saginaw,586
Raleigh,578
Moundsville,574
Mount Joy,571
Evansville,567
Savannah,563
Oildale,559
Scottsdale,557
Guaynabo,553
Macon,548
Modesto,544
Pinellas Park,544
Pennsauken (Township of),543
Harrisburg,541
Farrell,540
Mobile,540
Bensenville,537
Natchez,533
Douglas,533
St. Louis Park,528
Chesapeake,527
Winter Park,525
Norwalk,520
Reading,506
Taft,505
Pinehurst (Pine Creek),501
Mesa Verde National Park,497
Anderson,496
