county_code,count
099,53515
037,47212
031,38804
011,31197
093,30679
113,30348
003,29038
163,25247
101,25229
035,19674
071,19582
013,19365
001,17904
029,16963
049,16923
085,16819
079,16074
089,15894
007,14027
055,13504
073,13114
019,12894
053,12216
097,11858
119,11851
141,11743
033,11179
025,11041
201,11017
045,10204
065,10104
057,8649
059,8278
043,8250
051,8139
187,7956
061,7644
109,7275
095,7031
041,7026
143,6717
091,6657
047,6531
510,6519
067,6499
039,5730
063,5699
173,5115
077,5011
081,4838
009,4825
137,4767
017,4750
083,4682
209,4575
115,4574
121,4459
157,4362
123,4269
155,4225
005,3927
177,3880
023,3822
021,3789
127,3752
002,3667
086,3422
189,3347
111,3204
167,3145
215,3037
103,2981
087,2898
117,2790
129,2678
439,2565
069,2497
075,2467
151,2459
145,2442
179,2032
245,1957
015,1877
153,1806
161,1577
133,1490
479,1295
355,1285
810,1229
197,1208
107,1198
169,1180
139,1094
710,1051
181,1016
027,950
670,940
147,923
453,897
020,871
257,845
183,779
090,679
375,669
105,613
770,591
125,587
550,527
610,497
135,415
223,400
760,334
441,333
303,320
159,306
309,297
485,288
423,274
207,263
195,244
650,224
185,171
010,164
497,150
227,133
775,128
329,125
295,119
251,116
451,115
449,108
343,94
012,78
349,75
191,70
253,65
409,57
110,56
188,45
030,35
239,32
243,29
590,26
263,24
469,22
347,14
199,13
193,11
235,11
213,11
321,10
233,10
211,8
