county_name,count
Jefferson,62163
Los Angeles,28853
Dallas,28244
Cook,26846
Berks,25388
Iron,24952
Philadelphia,21618
Lake,15257
Allegheny,14622
Marion,12871
El Paso,12768
Sullivan,12291
Madison,10506
Delaware,10222
Douglas,10204
Hennepin,9978
Harris,9817
Orange,9591
Richland,9083
Davidson,8730
Wayne,8715
San Bernardino,8695
Lewis and Clark,8554
Collin,8511
Dakota,8491
Hillsborough,8095
Cuyahoga,7768
Saint Louis,7713
Riverside,7639
Greenville,6937
San Diego,6857
Williamson,6362
Charleston,5864
Denver,5657
Kern,5315
Maricopa,5305
Kanawha,5120
Sedgwick,5105
Georgetown,5087
Contra Costa,4992
Santa Clara,4986
Beaver,4664
Florence,4643
Baltimore (City),4566
Fairfax,4547
Wyandotte,4489
Tulsa,4481
York,4474
Knox,4331
Ramsey,4066
Salt Lake,4061
Shelby,4061
Adams,4019
Lexington,3984
Columbiana,3928
Suffolk,3876
Shawnee,3871
Washington,3838
Kent,3809
Pottawattamie,3776
Oklahoma,3758
BAJA CALIFORNIA NORTE,3667
Sacramento,3581
King,3441
Miami-Dade,3422
Montgomery,3272
Gila,3263
New Haven,3182
Pike,3064
Ottawa,3028
Logan,3000
Pima,2994
San Joaquin,2979
District of Columbia,2944
Shoshone,2941
Carbon,2939
Honolulu,2818
Middlesex,2817
Fulton,2803
Pinellas,2762
Lancaster,2750
Providence,2731
Muscogee,2720
Erie,2667
Imperial,2663
Duval,2651
Alameda,2618
Multnomah,2582
Tarrant,2565
East Baton Rouge,2555
San Francisco,2391
Fairfield,2357
Bexar,2328
New Castle,2320
Milwaukee,2317
Cumberland,2278
Cameron,2245
Peoria,2224
Broward,2221
Essex,2215
Santa Barbara,2203
Hancock,2198
Fresno,2172
Hampden,2172
Kings,2158
Fayette,2121
San Juan,2113
Westmoreland,2079
Jackson,2057
Dona Ana,2054
Greenwood,1997
Franklin,1989
Reynolds,1988
Bernalillo,1973
Monroe,1969
Hinds,1961
Holt,1923
Cambria,1909
Orleans,1855
Hamilton,1852
Hartford,1848
Hudson,1811
Spartanburg,1755
Saint Clair,1731
Cabell,1693
Pulaski,1675
St. Louis City,1670
Ventura,1635
Genesee,1610
Horry,1580
Ohio,1575
Saint Francois,1566
Northampton,1514
Macoupin,1503
Macon,1452
Arecibo,1426
St. John the Baptist,1423
New York,1337
Roane,1329
Ionia,1327
Salem,1311
Webb,1295
Richmond,1287
Nueces,1285
San Mateo,1243
Aiken,1237
Virginia Beach City,1229
Harrison,1225
Monongalia,1224
Galveston,1216
Will,1208
Deer Lodge,1205
Winnebago,1200
