date_of_last_change,count
2021-11-09,592227
2021-11-08,234969
2021-11-07,8116
2021-11-02,7820
2021-11-04,7543
2021-10-31,6980
2021-11-05,4156
2022-04-30,3973
2021-11-03,3645
2021-11-01,3514
2021-11-06,2613
2022-04-08,1720
2021-11-10,1539
2022-03-18,1429
2022-03-25,1401
2022-03-29,1399
2022-01-13,1362
2021-11-24,1155
2022-03-31,972
2022-04-12,950
2022-05-11,937
2021-12-31,883
2022-02-25,844
2022-02-23,707
2022-03-28,633
2022-02-14,577
2022-03-24,503
2022-04-06,468
2022-05-27,464
2022-04-26,449
2022-05-05,447
2022-05-23,403
2022-04-03,394
2022-02-02,392
2022-02-17,388
2022-03-02,351
2022-03-12,348
2021-10-30,344
2022-02-18,300
2022-03-07,269
2022-04-01,247
2022-03-22,232
2022-02-15,230
2022-03-14,187
2022-04-19,179
2022-01-12,155
2022-03-30,151
2022-03-09,115
2022-02-22,108
2022-04-14,97
2022-01-05,95
2023-04-12,86
2022-02-09,70
2022-04-27,70
2022-05-24,59
2023-04-27,59
2022-04-21,59
2022-03-08,58
2022-04-29,58
2022-02-24,56
2022-05-12,56
2022-03-15,55
2022-01-25,54
2021-12-17,51
2022-02-01,48
2022-05-20,44
2023-05-08,34
2022-05-16,30
2023-04-13,27
2022-05-13,26
2023-04-21,25
2022-05-25,23
2022-03-10,22
2023-04-10,17
2023-04-24,13
2022-05-31,12
2022-04-13,8
2022-04-18,8
2022-02-07,7
2023-05-02,6
2023-03-28,5
