local_site_name,count
LAT/LONG IS OF SAMPLING INLET,8780
BOY'S  CLUB,6197
"Herculaneum, Main Street",6046
"Herculaneum, City Hall (Mott Street)",6040
"Herculaneum, Mott Street",5515
Rehrig (Exide),5232
Blountville ozone monitoring site,4735
Air Management Services Laboratory (AMS LAB),4514
Muncie- Mt. Pleasant Blvd.  LOCATED NE OF PLANT - DOWNWIND SITE,4426
Los Angeles-North Main Street,4042
"Herculaneum, Sherman",3750
EAST OF GLOYD & NOLEN INTERSECTION,3726
Rubidoux,3521
Doe Run Glover - Post Office #2,3418
"Herculaneum, North Cross",3329
Doe Run Buick - South #1,3309
Long Beach (North),3029
Indpls.- Rockville Rd.,2940
LOCATED WNW OF PLANT - BACKGROUND SITE,2853
TROY LEAD,2737
WALLKILL BALLARD ROAD,2731
ROOF TOP OF OLD EAST HELENA VOLUNTEER FIREHALL,2730
AIR PRODUCTS,2702
Riverside (Magnolia),2609
GULF COAST LEAD,2588
IEPA TRAILER,2522
Doe Run Glover - Big Creek #5,2505
A420111717LAT/LON POINT IS OF SAMPLING INLET,2502
WASHINGTON HS,2471
GREENVILLE HEALTH DEPT,2458
"SC DEP'T. PROBATION, PAROLE, & PARDONS",2446
Upland,2349
PARKLANE,2349
SECONDARY PREDOMINANT DOWNWIND MONITOR,2329
Doe Run Buick - North # 5,2328
UPWIND MONITOR FROM DOMINANT WIND DIRECTION,2308
JENKINS AVE. FIRE STATION,2301
Burnside,2286
PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,2271
HAMMOND CAAP- Hammond- 141st St.,2255
"Herculaneum, Church Street",2218
Stockton-Hazelton,2179
Doe Run Buick - Buick NE,2165
Calexico-Ethel Street,2156
Frisco 5th St,2110
NEW BRUNSWICK-DELCO REMY,2075
Frisco Eubanks,2070
"GLOBEVILLE, CLINICARE",2058
Eagan,2034
Waseca Road,2032
San Bernardino,2019
GATES RUBBER,1982
San Jose - 4th St.,1977
El Cajon,1968
Pevely,1884
Tillman,1880
Avalon,1856
MAYFAIR PUMP STATION,1773
CERMAK PUMP STATION,1763
Ferro,1752
Frisco 7,1749
Gopher Resources,1746
CENTER OF PARKING LOT OF PUBLIC WORKS BUILDING 1/4 MI N OF SINCLAIR,1734
ATSF (Exide),1733
Delta,1731
A420450002LAT/LON POINT IS OF CORNER OF TRAILER,1728
Magna,1722
Houston East,1702
San Francisco,1697
GREER,1641
Kern,1630
IEPA-RAPS TRAILER,1626
Lynwood,1610
COOK COUNTY COURT COMPLEX,1604
COMMUNITY HEALTH SERVICES (CHS),1599
Pittsburg - W 10th St.,1594
ROCK HILL Water Treatment PLANT,1592
Fremont - Chapel Way,1586
NEAR USS EDGAR THOMPSON WORKS,1582
A420110717LAT/LON POINT IS OF SAMPLING INLET,1581
WALLKILL WAKEFERN,1572
"Herculaneum, Dunklin High School",1572
VILLAGE GARAGE,1571
WATER PLANT,1505
Minneapolis Central Library,1504
East Liverpool WTP,1499
Cleveland Fire St4,1493
DHEC,1491
Richmond-13th St.,1490
Patent Scaffolding,1481
A420250105LAT/LONG POINT IS OF SAMPLING INLET,1470
Marion Hawthorne,1427
LaPlace,1423
CITY OFFICE BUILDING,1416
Southwestern H.S.,1382
Flint Hills Refinery 420,1353
DENVER - CAMP,1341
JCI Entrance,1335
Portland - SE Lafayette,1325
SALTECH (FALLAW),1325
Concord,1307
BOSTON KENMORE SQ,1303
Buick NE,1299
Virginia City Hall,1288
GEORGETOWN CMS,1274
Morrell,1272
Bakersfield-California,1272
CASTOR AND DELAWARE AVENUES (ITO),1249
Rosselle,1245
Hawthorne,1242
Washington Career,1238
Brownsville,1232
GLOVER SOUTH - TINDELL RESIDENCE,1230
Sacramento Health Department-Stockton Blvd.,1222
GRAVES ES,1221
MILWAUKEE - FIRE DEPT. HQ,1216
PEREZ ELEMENTRY SCHOOL,1196
San Juan,1188
NORTH OF CAMPBELL & FRANKLIN INTERSECTION,1183
Salina lead,1180
Compton,1160
Burbank,1156
Vandalia Street,1150
N OF ALCAN & WOODROW BEAN TRANS MOUNTAIN INTERSECTION,1146
Globe Highway,1144
Flag Plaza,1141
SCOTCHTOWN,1140
Andersen School,1127
BCFD-TRUCK COMPANY 20,1124
Long Beach (South),1112
Simi Valley-Cochran Street,1107
Blair Street,1104
Laredo Vidaurri,1104
MYRTLE BEACH,1101
Humboldt Avenue,1101
City of Lakes Building,1099
Kooker Park,1098
BEECH ISLAND FIRE STATION,1086
San Diego-12th Ave,1074
San Jose-Moorpark Ave.,1070
Anaheim (1010 Harbor Blvd),1069
JCI River (Woods),1066
PAWNEE & GLENN,1066
MARYVILLE,1057
JCI Railroad,1047
Allen Park,1040
Lee District Park,1032
"Forest City, Exide Levee (ESP SCHULYKILL WEST SITE LOCATED ON A LEVEE)",1016
PREMIER,1012
NORTH TULSA - FIRE STATION#24,1012
A420710315LAT/LON POINT IS OF SAMPLING INLET,1010
BELLEFONTAINE,1009
420 KANSAS,1007
DUDLEY SQUARE ROXBURY,1007
PARKER FIRE STATION,1000
CENTRAL PHOENIX,1000
Bakersfield-Chester Ave.,998
Pico Rivera #2,996
LAX Hastings,993
4102 Woolworth Ave. on Healthcenter Warehouse,992
RBD,990
BATES HOUSE,988
S OF MEYERS & MARTIN LUTHER KING JR. INTERSECTION,985
253 FEET FROM ASARCO PROPERTY LINE IN UNION PACIFIC YARD,975
HYDRAULIC,970
SUMTER FAMILY COURT,969
Port Allen,967
Ursuline North,959
KOHLER,957
NW OF BOWIE & DURANGO STREETS INTERSECTION,955
GREENWOOD DSS,953
GREENPOINT,949
SPIRES,948
A420110716LAT/LON POINT IS OF SAMPLING INLET,947
MLK  CORNER OF MLK BLVD AND JUSTISON ST,945
N OF DOUGLAS & BERKSHIRE INTERSECTION,945
13TH & ST PAUL,944
W 3rd,942
State of TN SLAMS Lead Monitor,941
Carter G. Woodson Middle School,940
NE OF N. PECAN ST. & E. WEATHERFORD ST. INTERSECTION,940
SPARTANBURG CITY HALL,939
St. Joe State Park,937
UTM COORDINATES = NORTH END OF BLDG. ROOF (METAL TAG MARKER),935
SE OF HICKORY STREET & 6TH STREET INTERSECTION,932
PERSHING SCHOOL,929
St Theodosius,928
RESIDENTIAL AREA NORTH OF HWY 12/287 AND ASARCO,924
SITE MOVED FROM EAST CHICAGO FIELD SCHOOL,920
Palomar Airport,916
NR-285,915
GOODLAND,915
CAYCE FIRE STATION,911
Rule High School (relo),909
SW OF BONNARD & WOZENCRAFT INTERSECTION,907
Honolulu,903
OKC CENTRAL-OSDH,900
Chula Vista,896
WASH & SKINNER,891
NORTHBROOK WATER PLANT,885
"BLOCK S PASEO DEL LOS HEROES & GRAF AL RODRIGUEZ, TIJUANA, BCN",884
Napa,882
San Rafael,878
FIRE DEPT ADMIN BLDG,878
Redwood City,876
Deer Valley,875
Ameristeel,874
A420210808LAT/LON POINT IS OF SAMPLING INLET,873
Vallejo,871
DEQ Tidewater Regional Office,870
WINYAH,869
Earhart,867
Indpls- Washington Park/  in parking lot next to police station,863
Port Authority,861
Azusa,860
FIRESTATION #1,855
UTM COORDINATES = INLET PROBE LOCATION ON ROOF OF BUILDING,845
BOSTON CITY SQUARE,844
PRINCE ROAD,841
Uddelholm (Trojan Battery),838
Ritner (RIT),835
A421290007LAT/LON POINT SAMPLER,835
WHALEY PK 3610 IOWA (FLINT),835
CAPE ROMAIN,835
Point Road,835
Pompano Highlands,824
El Paso UTEP,824
SWPS LAT/LONG POINT IS OF SAMPLING INLET,819
Fresno - Garland,817
DENVER MUNICIPAL ANIMAL SHELTER,815
EQC OFFICE PARKING LOT,811
Savanna,807
Jersey City Firehouse,801
SCHOOL (EASTSIDE),801
Convention Center,797
Closet World (Quemetco),796
River Rouge,793
FLORENCE COUNTY HEALTH DEPT.,790
Beaumont Downtown,789
MAMARONECK,789
A420951003LAT/LON POINT IS OF SAMPLING INLET,787
NAVAL BASE # 2,784
EASTERN KENTUCKY UNIVERSITY (EKU),784
Santa Rosa - 5th St,783
Central Virginia Training Center - Solid Rock Academy ELC*,780
Livermore - Old 1st St.,779
Columbus-Cusseta,772
BENT CREEK,766
OKC NORTH,766
KENDUSKEAG PUMP STATION (BUILDING ROOF),755
Fresno-Olive St.,754
Harding High School,753
Columbus-Allied,751
KENLY,750
WEST OF 15TH AVE. N & NORTH LOGAN INTERSECTION,749
Union City,747
San Jose - Jackson,737
Oates,734
Lawrenceville,732
Fletcher,727
CHARLESTON COUNTY HEALTH DEPARTMENT,724
Honolulu-Aala St.,718
MathScience Innovation Center,718
Bakersfield-Health Dept.,718
Taft NCore,716
Kapolei,714
Eastside Elem,714
HAMPTON I,710
GR-MONROE,698
Flint Hills Refinery 423,691
Saint Paul Park Refinery 438,690
GEORGETOWN COUNTY HEALTH DEPT,688
Columbus-Joy Road,679
DODGE CITY,678
PS 314,675
S OF MALIBU & BINGLE INTERSECTION,675
Apple Valley,670
Minneapolis Fire Station 2,664
PORT HURON-RURAL,660
MIAMI GOLF COURSE,658
TB - Tukey's Bridge,658
Frisco Stonebrook,653
Gary- 4th Ave./ Railcats,652
Roseville-N Sunrise Ave,642
Roxborough (ROX),635
MAYFIELD ELEMENTARY,634
East Chicago-Marina,632
BEAUFORT,631
San Francisco-23rd St.,630
Criscuolo Park-New Haven,629
East Health,627
AJ,622
Lockeland,617
