longitude,count
-90.37993,11555
-90.378853,7318
-96.873056,6197
-90.37883,6046
-90.378844,5721
-82.268056,5676
-118.193056,5232
-75.09778,4514
-85.415021,4426
-86.660263,4287
-75.118056,4064
-118.22688,4042
-90.376683,3750
-96.783057,3726
-117.41601,3521
-91.11689,3464
-90.690022,3418
-90.38126,3329
-91.128396,3309
-90.373903,3235
-96.7825,3160
-96.78,3130
-118.18921,3029
-86.297195,2940
-85.420984,2853
-85.978974,2737
-74.36343,2731
-111.920556,2730
-95.924181,2708
-90.153954,2702
-117.40063,2609
-82.381873,2588
-90.689302,2505
-75.914444,2502
-87.539315,2471
-82.402918,2458
-81.02329,2446
-80.962304,2349
-117.62914,2349
-82.268333,2329
-91.131066,2328
-82.273333,2308
-79.977538,2301
-83.952253,2286
-75.914633,2284
-83.148754,2271
-87.493609,2255
-90.38091,2218
-80.324775,2210
-75.911022,2207
-121.268523,2179
-115.48307,2156
-96.824683,2110
-74.470986,2075
-96.828809,2070
-104.978074,2058
-95.922514,2047
-93.115218,2034
-92.15998,2032
-117.274063,2019
-104.987111,1982
-121.888575,1977
-116.942092,1968
-90.381024,1884
-106.482922,1880
-87.471955,1873
-80.071337,1856
-111.923376,1815
-87.749928,1773
-87.645326,1763
-90.350659,1758
-81.6507,1752
-96.825769,1749
-93.11622,1746
-95.998941,1734
-118.190556,1733
-83.9959,1731
-75.3725,1728
-112.094722,1722
-95.220582,1702
-122.399044,1697
-95.917791,1655
-75.909077,1648
-95.887249,1646
-82.22961,1641
-106.501667,1630
-75.914355,1613
-118.21071,1610
-87.826165,1604
-90.160477,1603
-75.165206,1599
-121.896866,1594
-81.000894,1592
-121.961823,1586
-79.863382,1582
-75.759167,1581
-74.35404,1572
-87.732457,1571
-90.694946,1571
-90.376903,1545
-93.269669,1534
-90.105851,1505
-89.809739,1503
-80.523951,1499
-81.708906,1493
-81.036248,1491
-122.357193,1490
-86.79361,1490
-90.697613,1486
-90.686501,1483
-82.37921,1481
-75.608333,1470
-76.991642,1466
-83.135648,1427
-90.466783,1423
-89.584737,1416
-90.689241,1410
-118.06056,1409
-83.10653,1382
-93.03255,1353
-81.846242,1346
-104.987625,1341
-79.57233,1335
-81.119776,1325
-122.602877,1325
-90.394271,1320
-82.273296,1318
-116.1275,1318
-122.026154,1307
-71.097163,1303
-92.536305,1288
-79.294251,1274
-75.912856,1274
-96.781883,1272
-119.062613,1272
-94.83931,1252
-75.083056,1249
-81.68762,1245
-80.588406,1244
-81.50131,1238
-97.49383,1232
-90.685264,1230
-121.458499,1222
-87.805377,1221
-87.920794,1216
-87.657928,1196
-90.37777,1192
-86.289694,1189
-66.05251,1188
-72.587589,1185
-106.486712,1183
-97.606494,1180
-82.447376,1164
-118.205,1160
-118.31712,1156
-93.19019,1150
-106.4125,1146
-110.765467,1144
-79.990293,1141
-111.918654,1141
-74.37217,1140
-86.664985,1133
-93.25821,1127
-76.546861,1124
-118.17533,1112
-86.062484,1110
-118.683685,1107
-95.93057,1107
-90.198348,1104
-99.515222,1104
-78.877478,1101
-93.29874,1101
-93.26613,1099
-81.635396,1098
-94.578018,1090
-75.075,1090
-81.892333,1086
-75.753947,1078
-117.154841,1074
-76.54052,1072
-121.927734,1070
-117.91427,1069
-79.56266,1066
-97.362212,1066
-77.182204,1061
-79.298192,1057
-79.56983,1047
-106.560544,1045
-106.291968,1042
-93.298281,1040
-83.2082,1040
-91.146794,1038
-91.142071,1036
-77.10468,1032
-81.693717,1026
-75.753238,1017
-95.235833,1016
-82.160479,1012
-95.976537,1012
-76.335556,1010
-83.7585,1009
-118.37026,1009
-94.621453,1007
-71.0826,1007
-112.04659,1000
-82.419309,1000
-119.022602,998
-118.0685,996
-75.759071,995
-75.764071,993
-118.43049,993
-95.973142,992
-104.827739,990
-86.18471,988
-81.024141,988
-121.381063,987
-111.911432,987
-96.765833,985
-75.76935,983
-95.943265,975
-95.660537,970
-97.316912,970
-80.337735,969
-91.150107,968
-80.700972,968
-91.213556,967
-70.260882,964
-80.137022,961
-90.373823,959
-87.776424,957
-98.485017,955
-85.656419,955
-82.152241,953
-85.68003,953
-73.94722,949
-81.54679,949
-81.102941,948
-75.928611,947
-75.558056,945
-96.808611,945
-97.375601,944
-95.921681,942
-81.675956,942
-77.291816,940
-97.328056,940
-81.932555,939
-90.507487,937
-87.876265,937
-75.084444,936
-111.898056,935
-75.9088,932
-96.822778,932
-88.116474,929
-81.682383,928
-80.278383,927
-111.919713,924
-90.381083,921
-87.439551,920
-94.624679,917
-80.317731,917
-84.272614,915
-94.8249,915
-101.713405,915
-90.343714,914
-81.065326,911
-88.924799,910
-83.950666,909
-96.808056,907
-157.85542,903
-97.494309,900
-117.059088,896
-77.075,896
-104.937668,891
-97.297714,891
-97.444491,888
-86.213114,886
-87.799227,885
-117.012801,884
-122.296189,882
-96.875837,881
-90.440409,878
-89.08955,878
-122.520004,878
-122.20337,876
-112.08633,875
-83.954311,874
-78.882778,873
-90.0725,873
-121.251338,872
-122.237976,871
-76.181233,870
-87.472261,869
-79.285697,869
-78.886396,868
-96.876571,867
-117.272389,863
-86.114444,863
-87.441152,860
-117.92391,860
-122.352349,858
-80.547181,856
-89.930278,855
-90.139675,855
-78.881147,851
-96.033628,846
-111.885556,845
-71.061741,844
-97.321944,842
-110.989079,841
-118.055768,838
-83.670159,835
-79.657187,835
-79.884666,835
-92.77415,835
-96.877781,835
-75.186921,835
-95.696093,833
-90.2112,830
-112.099316,829
-80.430055,828
-96.871114,827
-106.501243,824
-80.096353,824
-79.955619,819
-76.663889,819
-119.77321,817
-75.580448,815
-97.546428,815
-104.998113,815
-82.396321,811
