method_name,count
HI-VOL - ATOMIC ABSORPTION,425931
HI-VOL - EMISSION SPECTRA ICAP,160574
Hi-Vol - Inductively Coupled Plasma-Mass Spectrometry Acid filter extract with hot nitric acid,60686
HI-VOL - ATOMIC ABSORPTION (AA) FRM,39333
HI-VOL - ICP/MS W/QUARTZ FILTER,24151
Hi-Vol - ICAP SPECTRA (ICP-MS); 0.45M HNO3 Boil30 min,19173
Hi-Vol - ICP-MS  Extracted on a hot plate with 3M HNO3 according to refrn methd.  SW-846 Meth 6020A,14641
LO-VOL-XONTECH 920 or 924- TEFLON - X-RAY FLUORESCENCE,12940
HI-VOL - EMISSION SPECTRA ICAP (ICP-OES),12409
Hi-Vol - Flameless Atomic absorption (GFAA); 3M HNO3 Boil 30 min,11060
HI-VOL - HEATED ULTRASONIC HNO3/HCL EXTRACTION WITH ICP-AES,10670
HI-VOL - ICP-MS  FRM; Heated ultrasonic 1.03M HNO3/2.23M HCl or Hot block 1:19 v/v HNO3,10163
HI-VOL - ICAP SPECTRA (ICP-MS),8980
Hi-Vol - Emission Spectra ICAP (ICP-OES); 3M HNO3 Boil 30 min,7137
Thermo/R & P 2025 PM10 - X-ray Fluorescence (EDXRF) FRM,7123
Hi-Vol - Inductively Coupled Plasma-Mass Spectrometry Acid filter extraction with nitric and hydrochloric acid,7119
"Lo-Vol-Xontech 920 or 924, Teflon - ICP/Mass Spectrometer",6903
HI-VOL - FLAMELESS ATOMIC ABSORPTION (GFAA),6505
Hi-Vol - ICP-MS,6054
HI-VOL - Emission Spectra ICAP (ICP-OES),5977
Hi-Vol - Atomic Absorption (AA); 2.6M HNO3/0.9M HCl or 0.45 HNO3 Boil 30 min,5671
HI-VOL - Flameless Atomic absorption (GFAA),4320
"Hi-Vol - Flameless Atomic absorption (GFAA) EPA; 3 extraction options: (a) 2.6M HNO3 sonicate 30 min no heat, (b) 2.6M HNO3/.9MHC",4215
Hi-Vol - Emission Spectra ICAP (ICP-OES) No extr info,3696
HI-VOL - ATOMIC ABSORPTION (ALT.EXTR.),3616
Hi-Vol - Emission Spectra ICAP(ICP-AES),3057
Hi-Vol - Atomic Absorption (AA) Alt. Extr; 1.03M HNO3/2.23MHCl sonicate 50 min. at 100C,2664
Hi-Vol - ICP Mass Spec w Glass Filters,2645
Thermo/R & P 2025 Teflon - ICPMS,2101
Hi-Vol - Emission Spectra ICAP (ICP-OES) EPA 1.03M HNO3/2.23M HCl sonicate 50 min at 100C,1791
HI-VOL - EMISSION SPECTRA  MUFFLE FURNACE,1480
BGI PQ200 PM10 - X-ray Fluorescence (EDXRF) FRM,1454
Hi-Vol - Emission Spectra ICAP (ICP-OES); 1.03MHNO3/2.23MHCl sonicate 50 min at100C,1209
SKC Pump Filter - MOd NISH 7300/6010B SOP 1813,1108
HI-VOL - ICAP SPECTRA,943
Hi-Vol - Emission Spectra ICAP (ICP-AES); 6:3:1 DI water:HCl:HNO3 microwave 95C; add DI water sonicate 30 min; sit overnight,784
LO-VOL - ATOMIC ABSORPTION,605
OR Med-Vol TSP Teflon - X-ray Fluorescence,414
R&P Model 2000 PM10 Teflon - ICP/MS,395
Thermo/R & P Partisol 2000 PM10 FRM - X-ray Fluorescence (EDXRF) FRM,389
HI-VOL - ICAP SPECTRA (PIMA CO.- AZ),255
OR Med-Vol TSP Teflon - ICP/MS,112
SKC Pump Filter - ICP/AES NIOSH 7300,42
Andersen RASS10-300 PM10 - X-ray Fluorescence (EDXRF) FRM,30
HI-VOL - EMISSION SPECTRA (LOW TEMP ASH),1
