site_num,count
0001,45532
0003,38867
0002,36931
0004,30416
0005,27712
0010,21743
0007,21245
0006,19073
0009,18385
0008,18280
1002,18151
0020,16624
0027,16471
1001,15828
0015,15721
0011,14968
1003,13115
3001,12894
0023,12838
3002,10187
0021,9690
0016,9582
2002,9463
0014,8682
0024,8172
0022,8043
2001,7951
0019,7456
0017,7113
0057,6490
0018,6282
8001,6164
0042,6031
0033,5951
1007,5879
0025,5857
1004,5584
1405,5232
0013,5227
0028,5140
4002,5023
0012,5004
0029,4979
0049,4968
0026,4753
0038,4553
0041,4386
0063,4307
0046,4297
0066,4192
0034,4060
1103,4042
0065,4018
0064,3976
5001,3918
4001,3859
0045,3805
2003,3763
2004,3719
3004,3594
0030,3572
7001,3435
0037,3433
0031,3398
0047,3254
3003,3135
0100,3086
0040,3074
6001,3028
0102,2928
0714,2885
9004,2676
0067,2624
0052,2616
2008,2605
1066,2588
1717,2502
0202,2475
0032,2425
2011,2413
0110,2410
0069,2403
9008,2388
1005,2314
0053,2252
0201,2235
0050,2228
0505,2210
0039,2136
9002,2125
1101,2058
7555,2032
1301,1997
0719,1965
0105,1947
3007,1884
1009,1829
9001,1815
1010,1812
0061,1809
0080,1801
0465,1746
0235,1734
1406,1733
0044,1719
0203,1712
1034,1702
0200,1648
0076,1635
8002,1617
6003,1604
0717,1581
1006,1578
1601,1576
0036,1518
0104,1500
1073,1481
0055,1455
0058,1431
1012,1430
0099,1410
0043,1382
0210,1380
5005,1364
0035,1361
0084,1342
0727,1312
9007,1297
0214,1256
0449,1249
1016,1242
0048,1223
3301,1221
0213,1220
0060,1182
1302,1160
1017,1160
0724,1141
9006,1140
4004,1139
8003,1135
0963,1127
0716,1125
0062,1120
0085,1104
0966,1099
2007,1090
0068,1043
1037,1042
0101,1039
0211,1017
0059,1014
1127,1012
0315,1010
3103,996
1602,996
0726,987
0212,983
0078,943
0054,943
2005,929
0075,907
2013,893
4201,885
4018,875
0808,873
1008,873
0804,868
1023,863
0070,853
3101,841
1403,838
0446,835
0416,807
1013,806
0528,800
1404,796
9005,785
0871,753
2006,753
1021,733
1035,710
0205,710
0204,698
3005,697
0423,691
0438,690
0470,670
0728,670
0462,664
8000,658
0463,654
0127,652
0097,649
0051,645
1018,643
0073,643
1014,641
0206,618
4003,606
0549,603
1401,595
0149,591
0901,589
7002,582
0322,581
0512,569
0138,564
0072,554
1015,550
0602,547
0306,541
0622,540
1901,514
5002,512
0603,502
0112,494
0962,486
0113,470
0612,458
0905,457
1702,450
0079,449
0082,445
1011,444
0909,433
2123,433
0131,432
1067,424
2009,407
0718,407
0179,403
1201,398
0103,396
9997,395
6000,384
0910,380
7549,374
1028,373
0442,363
3006,362
0903,362
0122,353
0725,348
0056,342
0077,339
0136,339
2201,337
2801,335
0071,329
1207,322
0146,320
1701,318
0231,308
0094,301
1909,292
1039,290
0092,288
1060,284
1105,282
0095,274
0540,269
4005,268
0123,265
3053,264
2601,262
1407,261
6020,258
0965,256
1123,253
0304,252
0300,251
1022,238
1065,237
0187,236
0081,234
1074,231
2010,221
0711,219
9003,218
0712,214
1020,210
0098,206
0116,206
0421,206
0246,201
0232,201
8105,197
2012,197
0967,187
1402,181
0312,177
0093,176
1075,176
0314,176
0704,173
0249,170
0208,169
0803,168
0706,168
1718,168
5000,167
0301,163
1206,162
6002,158
0509,156
0091,154
1622,152
0713,149
0991,147
0968,143
0191,143
1019,137
0074,135
6031,135
0428,134
6030,134
0608,133
8107,132
1071,130
0902,122
0649,122
1902,120
1047,119
0128,118
0326,114
8106,113
0106,113
0866,113
0172,113
0108,113
0443,110
0875,110
0964,109
0801,107
0507,107
0515,106
0518,106
0401,105
0109,103
0702,100
0417,97
0217,95
0320,89
1052,85
0121,84
8104,81
0176,80
0703,77
3011,61
0317,61
0244,60
3104,59
3105,59
7416,59
0501,58
0818,58
3102,58
3012,58
1908,57
1102,57
1501,55
2303,54
3051,54
0125,51
0230,50
8400,48
1043,44
0722,41
1202,36
3401,36
0083,36
0628,33
2101,31
6004,31
7554,29
8101,27
0715,27
1042,26
4007,23
0331,23
2501,20
3501,19
0616,18
0611,18
1904,18
8108,18
5010,17
1907,15
1905,15
0324,15
1903,14
1906,13
8109,12
8110,12
0615,10
2401,9
1024,9
2701,7
1062,5
1026,4
