state_name,count
California,99208
Missouri,89073
Pennsylvania,88491
Texas,78273
South Carolina,48697
Illinois,48240
Tennessee,39740
Indiana,36025
Minnesota,30308
Ohio,28251
Michigan,21419
Florida,20308
Kansas,18671
New York,18456
West Virginia,16621
Arizona,16299
Colorado,13859
Oklahoma,12908
Virginia,12666
Montana,12209
Nebraska,11859
New Jersey,10451
Alabama,9860
Georgia,9225
Connecticut,8599
Louisiana,8537
Massachusetts,7469
Maine,6648
Maryland,6355
Puerto Rico,5741
Kentucky,5235
Iowa,5175
Utah,5075
Washington,4543
Wisconsin,4348
New Mexico,4111
Idaho,4058
Oregon,3689
Country Of Mexico,3667
Mississippi,3426
Rhode Island,3353
Hawaii,3012
District Of Columbia,2944
Delaware,2630
North Carolina,2268
Arkansas,1772
Alaska,1651
North Dakota,1570
New Hampshire,1533
Nevada,847
Vermont,682
Virgin Islands,199
South Dakota,182
Wyoming,90
