address,count
"5888 MISSION BLVD., RUBIDOUX",12202
"1630 N MAIN ST, LOS ANGELES",12158
2956-A TREAT BOULEVARD,11722
897 BARRON AVE.,11711
10 ARKANSAS ST.,11693
"1005 Northwest Drive, Port Allen",11680
534 4TH ST.,11678
304 TUOLUMNE ST.,11677
100 West Temple Pl,11660
5551 BETHEL ISLAND RD,11621
"545 CENTRAL AVENUE, OXNARD, CA  93030",11611
"1237 S. BEVERLY , TUCSON",11607
"84 E. 'J' ST., CHULA VISTA",11606
"5400 COCHRAN STREET, SIMI VALLEY, CA  93063",11597
"924 N. GAREY AVE., POMONA",11595
LFC #1-LAS FLORES CANYON,11566
"1309 T ST., SACRAMENTO, CA. 95814",11564
"HS & P FACILITY-500 M SW, LOMPOC",11562
S 18TH AND HAYES ST,11557
CHARLER01 WASTE TREATMENT PLANT,11546
3317 Ross Ave,11537
13TH & TUDOR,11535
NJ Turnpike Interchange 13 Toll Plaza,11531
"803 N. LOREN AVE., AZUSA",11524
HERMAN HORN ELEMENTARY SCHOOL,11523
"128 S 'H' ST, LOMPOC",11515
"548 WALKER ST., SHAFTER, CA., 93263",11512
"7200-22 Avenue N., St. Petersburg, FL 33710",11504
716 PLEASANT VALLEY ROAD,11486
"Department of Public Works Bldg. #1, 50 North Road",11485
"FAYETTE COUNTY HEALTH DEPT, 650 NEWTOWN PIKE",11483
"GOBERNADOR RD, CARPINTERIA",11477
"JOHNSON FARM, EDISON, CA. 93320",11474
GEORGE ST TROOP AND CITY OF SCRANTON,11469
MILLER AUTO SHOP 1 MESSENGER ST,11452
4700A SAN MATEO NE,11447
1820 S. 51ST AVE.,11444
"HAZELTON-HD, STOCKTON",11440
"310 N CHURCH ST, VISALIA",11437
"14360 ARROW BLVD., FONTANA",11416
PARADISE RD-LOS PADRES National Forest,11397
9525 1/2 Clinton Dr,11384
4401 1/2 Lang Rd,11384
"840 LAUREL, GLENDORA",11381
"FS-590 RACQUET CLUB AVE, PALM SPRINGS",11366
"24302 4TH ST., SAN BERNARDINO, CA.",11360
"213 S. Denning Ave, Winter Park, FL 32789",11353
HILL ST.,11352
QUABBIN SUMMIT,11342
EIGHT STREET AND RIVER ALLEY,11327
"2300 VICTORIA DR., ALPINE",11318
1086 Vermont Avenue,11309
1300 BLK. HATTIE AVENUE,11303
"Oldtown Fire Station, 1100 Hillen Street",11303
"752 S. WILSON AVE., PASADENA",11299
"1350 SAN BERNARDINO RD., UPLAND",11288
"JACKSON PURCHASE RECC, 2901 POWELL STREET",11283
KENMORE SQ,11280
"18330 GAULT ST., RESEDA",11247
"4706 E. DRUMMOND ST., FRESNO",11224
"Veterans Park, Park Road at end of W. 25th St.",11215
"2300-C Wildcat Road, Decatur GA 30034",11203
2700 Austin Ave,11197
Remington Road (see coordinates),11193
"SIERRA SKYPARK#2-BLYTHE & CHNNLT, FRESNO",11172
"621 W. LAMBERT, LA HABRA",11166
"7000 N. Ocean Drive, Dania, FL 33004",11162
"VA HOSPITAL, WEST LOS ANGELES",11162
4510 1/2 Aldine Mail Rd,11156
"TRAILER,185 DINGENS STREET (near WEISS ST.)",11152
"200 E. BUENA VISTA, BARSTOW",11140
"4600 Rickenbacker Causeway, Miami, FL 33149",11126
"908 N VILLA AVE, CLOVIS",11109
1015 TRINITY LANE,11095
10TH AND MARNE STREETS,11067
"2900 Bennett Street, Jacksonville, FL 32206",11065
1575 HIGHWAY 31,10998
250 Rim Rd,10989
"96 STATE STREET, Rutland, Vermont",10980
1415 Hinton Street,10955
"864 NW 3rd Street, Miami, FL 33127",10937
FRONT ST & NORRIS ST,10881
1061-A Leesville Ave,10804
16627 Pemilloux Ln@ Hwy 16,10693
"DEL PASO-2701 AVALON DR, SACRAMENTO",10683
"773 ALMOND ST, YUBA CITY",10668
"GTC B-HWY 101 NEAR NOJOQUI PASS, GAVIOTA",10626
"2500 1ST STREET, N.W. WASHINGTON DC",10616
1262 1/2 Mae Drive,10604
3174 E. 78TH AVE.,10601
E. 14TH & ORANGE,10596
"EL CAPITAN ST PRK, HWY 10",10592
