aqi,count
8,224082
25,175501
19,124098
9,122315
5,115059
6,114455
4,114124
7,113028
28,112462
3,112120
11,107631
10,107247
2,106477
12,105436
13,103706
14,103308
15,102438
17,99832
16,99521
18,98356
20,95245
21,94703
22,93370
23,91882
24,90748
1,87788
26,86143
27,83115
38,81613
42,80165
29,79515
30,78025
31,74936
32,72428
33,70515
34,67415
35,63786
36,61906
37,57537
0,51690
39,51180
40,47989
41,44374
47,44256
43,35470
44,32432
45,30478
46,27135
48,22675
57,21618
49,20365
50,19433
51,17289
52,16029
53,14404
54,13221
55,12048
68,10973
56,10823
58,8962
60,8106
61,7416
62,6742
63,6247
79,6152
64,5467
65,5134
66,4684
67,4348
69,3541
89,3490
70,3283
71,3067
72,2964
73,2583
103,2444
74,2308
100,2227
76,2213
77,1997
78,1860
80,1521
81,1493
102,1401
82,1374
105,1363
83,1221
106,1175
84,1113
101,1103
85,1059
86,1002
87,942
88,845
104,723
90,714
91,673
108,657
93,643
94,604
96,553
95,541
110,514
97,493
98,424
99,413
112,344
107,327
114,234
109,225
116,163
118,136
113,133
111,132
120,103
115,69
124,53
122,53
117,52
125,41
119,37
127,30
129,21
123,19
131,17
121,17
128,13
133,12
135,10
130,9
132,9
126,7
145,6
136,5
139,4
140,4
141,4
137,4
150,3
146,3
157,3
134,3
159,3
143,3
138,2
149,2
142,2
166,2
148,2
144,2
154,2
182,1
153,1
178,1
147,1
204,1
152,1
167,1
196,1
208,1
169,1
158,1
163,1
161,1
174,1
177,1
