cbsa_name,count
"Los Angeles-Long Beach-Anaheim, CA",197414
"Santa Maria-Santa Barbara, CA",147594
"Houston-The Woodlands-Sugar Land, TX",142724
"Riverside-San Bernardino-Ontario, CA",135701
"New York-Newark-Jersey City, NY-NJ-PA",129770
"San Francisco-Oakland-Hayward, CA",121165
"Dallas-Fort Worth-Arlington, TX",108519
"Washington-Arlington-Alexandria, DC-VA-MD-WV",103699
"Baton Rouge, LA",94298
"San Diego-Carlsbad, CA",92093
"Sacramento--Roseville--Arden-Arcade, CA",91122
"Boston-Cambridge-Newton, MA-NH",86314
"Chicago-Naperville-Elgin, IL-IN-WI",86097
"St. Louis, MO-IL",82915
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",78237
"Pittsburgh, PA",71302
"Bakersfield, CA",60688
"Fresno, CA",57299
"Phoenix-Mesa-Scottsdale, AZ",57127
"Miami-Fort Lauderdale-West Palm Beach, FL",53960
"Las Vegas-Henderson-Paradise, NV",43676
"Kansas City, MO-KS",43597
"Oxnard-Thousand Oaks-Ventura, CA",42572
"Atlanta-Sandy Springs-Roswell, GA",42002
"Minneapolis-St. Paul-Bloomington, MN-WI",41946
"Denver-Aurora-Lakewood, CO",41381
"San Luis Obispo-Paso Robles-Arroyo Grande, CA",40286
"El Paso, TX",36112
"Beaumont-Port Arthur, TX",36046
"Cincinnati, OH-KY-IN",35528
"Springfield, MA",35118
"Tampa-St. Petersburg-Clearwater, FL",32253
"Detroit-Warren-Dearborn, MI",32080
"Richmond, VA",30374
"Farmington, NM",29555
"Baltimore-Columbia-Towson, MD",29472
"Oklahoma City, OK",29437
"San Antonio-New Braunfels, TX",28243
"Salt Lake City, UT",28139
"Durango, CO",25465
"Providence-Warwick, RI-MA",24290
"Colorado Springs, CO",23924
"Tucson, AZ",23586
"Ogden-Clearfield, UT",23147
"New Orleans-Metairie, LA",22762
"Las Cruces, NM",22683
"Indianapolis-Carmel-Anderson, IN",21849
"Buffalo-Cheektowaga-Niagara Falls, NY",21840
"Cleveland-Elyria, OH",21505
"Allentown-Bethlehem-Easton, PA-NJ",21481
"El Centro, CA",20968
"Stockton-Lodi, CA",20848
"Gillette, WY",19791
"Louisville/Jefferson County, KY-IN",19463
"Charleston-North Charleston, SC",19119
"Milwaukee-Waukesha-West Allis, WI",18834
"Albuquerque, NM",18732
"Scranton--Wilkes-Barre--Hazleton, PA",18365
"Nashville-Davidson--Murfreesboro--Franklin, TN",18028
"Modesto, CA",17349
"Bismarck, ND",17010
"Harrisburg-Carlisle, PA",16787
"Tulsa, OK",16692
"Vernal, UT",16573
"San Jose-Sunnyvale-Santa Clara, CA",16293
"Memphis, TN-MS-AR",16288
"Austin-Round Rock, TX",16095
"Evansville, IN-KY",15927
"Urban Honolulu, HI",15838
"Hartford-West Hartford-East Hartford, CT",15830
"Charlotte-Concord-Gastonia, NC-SC",15562
"Columbia, SC",15204
"Carlsbad-Artesia, NM",15183
"Virginia Beach-Norfolk-Newport News, VA-NC",15130
"Wichita, KS",14381
"Jacksonville, FL",13732
"Seattle-Tacoma-Bellevue, WA",13690
"Huntington-Ashland, WV-KY-OH",13377
"Salinas, CA",13125
"Provo-Orem, UT",12571
"New Haven-Milford, CT",12419
"Lake Charles, LA",12412
"Vallejo-Fairfield, CA",12318
