city_name,count
Not in a city,829262
Houston,72958
Washington,42346
New York,42253
Boston,42160
Phoenix,39377
El Paso,36112
Dallas,35864
San Diego,32766
Kansas City,30857
Chicago,29827
Philadelphia,29668
Capitan,28018
San Antonio,26597
Detroit,26524
Miami,25250
Fresno,25206
Las Vegas,24393
St. Louis,23297
Tucson,23138
Lompoc,23077
Oklahoma City,22725
Chester,22366
Sacramento,22321
Gaviota,21439
Springfield,21343
Lancaster,20855
Bakersfield,20647
Baton Rouge,20346
Arlington,19920
Los Angeles,19440
Denver,18698
Pittsburgh,18500
Cleveland,18410
Milwaukee,17719
Tijuana,17567
Greenville,17174
Oakland,16038
Vinton,15855
Fort Worth,15852
Portland,15731
Mexicali,15345
San Jose,15076
Richmond,14957
Indianapolis (Remainder),14788
Cincinnati,14496
Calexico,14469
Charlotte,14354
Louisville,14241
Vandenberg Air Force Base,14107
Salt Lake City,14094
Anaheim,14028
Long Beach,13998
Jacksonville,13732
Saint Petersburg,13540
Davenport,13520
Albuquerque,12905
Colorado Springs,12852
New Haven,12814
Providence,12715
Baltimore,12566
Rubidoux,12202
Atlanta,12124
Livermore,12096
San Francisco,12045
Tampa,12043
Concord,11722
Redwood City,11711
San Rafael,11678
Vallejo,11677
Kenner,11660
Schiller Park,11656
Bethel Island,11621
Chula Vista,11606
Salinas,11601
Simi Valley,11597
El Cajon,11596
Pomona,11595
West Los Angeles,11569
North Little Rock,11557
Stockton,11549
Charleroi,11546
East Saint Louis,11535
Elizabeth,11531
Azusa,11524
Shafter,11512
Lexington-Fayette (corporate name for Lexington),11483
Carpinteria,11477
Scranton,11469
Johnstown,11452
Cicero,11444
Visalia,11437
Fontana,11416
Winston-Salem,11415
Los Padres National Forest,11397
Napa,11388
Atascadero,11381
Glendora,11381
Palm Springs,11366
San Bernardino,11360
Winter Park,11353
York,11352
Ware (census name for Ware Center),11342
Beaver Falls,11327
Alpine,11318
Beaumont,11309
Pasadena,11299
Upland,11288
Paducah,11283
Ashland,11274
Worcester,11266
Reseda,11247
Bayonne,11215
West Orange,11197
East Hartford,11193
La Habra,11166
Hollywood,11162
Buffalo,11152
Barstow,11140
Gary,11133
Tulsa,11111
Clovis,11109
Seattle,11106
Nashville,11095
Banning,11079
Erie,11067
Victorville,11012
Rutland,10980
French Settlement,10783
Bountiful,10716
Burlington,10712
Pico Rivera,10711
Arden-Arcade,10683
Nipomo,10669
Yuba City,10668
Welby,10601
Norfolk,10595
Essex,10578
Charleston,10560
Santa Maria,10509
Roseville,10487
Turlock,10442
Goleta,10442
North Charleston,10415
Folsom,10367
Lynn,10244
Santa Clarita,10244
Camden,10189
Chicopee,10039
Lake Elsinore,9916
East Brunswick (Township of),9820
Parlier,9760
Costa Mesa,9732
Midlothian,9648
East Orange,9547
Inver Grove Heights (RR name Inver Grove),9381
Tracy,9299
Bristol,9293
Provo,9278
Kingsport,9206
Rosemount,9135
Escondido,9126
Denton,9027
Ogden,9019
Des Moines,8935
Galveston,8930
Tomball,8890
Hanford,8854
Evansville,8845
Deer Park,8816
South Bend,8777
Camp Pendleton South,8768
Santa Rosa,8682
San Pablo,8622
New Orleans,8604
Freemansburg,8584
Madera,8503
Bloomfield,8487
Austin,8428
Carlsbad,8422
Santa Barbara,8421
Northbrook,8413
Burbank,8356
Searles Valley,8322
Jackson,8313
Longview,8272
Tyler,8265
Newark,8203
Conroe,8024
Westport,8006
Pittsburg,7998
Memphis,7983
