county_name,count
Los Angeles,162488
Santa Barbara,147594
Harris,111868
San Diego,92093
San Bernardino,78415
Cook,69044
Jefferson,67785
Sacramento,63102
Kern,60688
El Paso,60036
Orange,57795
Fresno,57299
Riverside,57286
Maricopa,55892
Suffolk,50107
Contra Costa,46281
Clark,44229
Ventura,42572
San Luis Obispo,40286
Mercer,40200
Alameda,39450
Rosebud,37919
East Baton Rouge,37705
Essex,37504
Saint Louis,36909
BAJA CALIFORNIA NORTE,36863
Dallas,35864
District of Columbia,35476
Tarrant,33502
Erie,32907
Wayne,32846
San Juan,31324
Washington,31313
Campbell,30814
Philadelphia,29668
Allegheny,29603
Hillsborough,28143
Bexar,27478
Sublette,26683
Salt Lake,25819
La Plata,25465
Iberville,25280
Jackson,24748
Hampden,23776
Miami-Dade,23764
Pima,23586
Fairfax,23554
St. Louis City,23297
Oklahoma,22725
Dona Ana,22683
Cuyahoga,21189
Imperial,20968
Dakota,20953
Broward,20918
San Joaquin,20848
Union,20612
Hamilton,20112
Bronx,19895
Providence,19525
Richland,19298
Charleston,19119
Denver,18698
DeKalb,18332
Adams,17854
Milwaukee,17719
Stanislaus,17349
Rockingham,17190
Uintah,16573
Montgomery,16431
Santa Clara,16293
Marion,15883
Honolulu,15838
Tulsa,15805
Eddy,15183
York,14796
Ellis,14790
Mecklenburg,14526
Bernalillo,14383
Hartford,14380
Travis,14359
Lake,14229
Brazoria,13902
Davidson,13793
Duval,13732
Pinellas,13540
Saint Clair,13387
Hudson,13219
Monterey,13125
Queens,12972
Baltimore,12906
Clay,12758
Fayette,12693
Utah,12571
Baltimore (City),12566
New Haven,12419
Calcasieu,12412
Solano,12318
Placer,12174
San Francisco,12045
New Castle,11781
San Mateo,11711
West Baton Rouge,11680
Sonoma,11678
Marin,11678
Northampton,11657
Sweetwater,11649
Butte,11615
Pulaski,11577
Arlington,11557
Forsyth,11543
Roanoke,11523
King,11500
Fremont,11486
Daviess,11486
Morris,11485
Lackawanna,11469
Cambria,11452
Greenville,11444
Tulare,11437
Napa,11388
Hampshire,11342
Beaver,11327
Livingston,11295
McCracken,11283
Boyd,11274
Worcester,11266
Richmond City,11198
Middlesex,11136
Oliver,10998
Rutland,10980
Delaware,10881
Fairfield,10880
Cumberland,10869
Mendocino,10840
Carbon,10823
St. Joseph,10775
Davis,10716
Chittenden,10712
Sutter,10668
Norfolk City,10595
Weber,10588
Shelby,10396
Charles,10385
Merced,10384
Camden,10189
Prince William,10135
Kings,9772
Fulton,9537
