date_of_last_change,count
2021-11-09,2031782
2021-11-10,990787
2021-11-08,662258
2021-10-31,127910
2021-11-01,81232
2021-11-02,77745
2021-11-05,68295
2021-11-03,57706
2021-11-04,46229
2021-11-07,43759
2021-11-06,38781
2022-04-20,21787
2022-03-18,15066
2021-11-24,11505
2022-04-27,10582
2022-04-21,10515
2022-05-05,10441
2022-01-25,10235
2022-03-17,8146
2022-04-18,7302
2022-03-21,6905
2022-03-09,6804
2022-03-02,6208
2022-03-16,6128
2022-04-05,6093
2022-03-14,6047
2022-02-04,5946
2022-03-03,5649
2022-05-02,5342
2022-04-12,5318
2022-02-28,5053
2022-03-04,4308
2022-03-24,4098
2021-12-02,3790
2022-02-23,3617
2021-12-09,3598
2022-01-24,3558
2022-02-24,3199
2022-02-10,3175
2022-03-29,2967
2022-05-25,2936
2022-03-15,2862
2021-10-30,2733
2022-02-21,2708
2022-03-10,2523
2022-03-28,2431
2022-03-31,2413
2022-04-25,2310
2022-02-01,2308
2022-03-11,2245
2022-03-08,2175
2022-02-16,2099
2022-02-15,2063
2022-04-26,1998
2022-01-13,1815
2022-04-13,1803
2022-05-20,1751
2022-04-29,1699
2022-04-08,1693
2022-04-28,1686
2022-05-27,1604
2022-01-31,1592
2022-02-03,1589
2022-03-23,1537
2022-05-21,1535
2022-01-03,1448
2022-01-14,1448
2022-02-14,1445
2022-01-28,1444
2022-05-03,1413
2022-01-04,1360
2023-05-11,1299
2022-06-01,1217
2022-04-04,1216
2022-05-17,1208
2022-05-31,1166
2023-04-25,1158
2022-04-06,1135
2022-05-06,1103
2022-01-18,1087
2023-04-30,1078
2022-01-19,1077
2022-03-25,1071
2022-02-25,1070
2022-04-07,1066
2022-04-11,1034
2022-05-12,1014
2023-04-24,962
2023-05-09,957
2023-05-05,954
2022-05-19,929
2022-03-30,916
2022-05-24,910
2022-01-05,908
2022-05-18,884
2022-03-22,842
2022-05-23,804
2022-03-07,730
2022-01-26,728
2022-03-01,727
2022-02-18,711
2022-02-09,694
2022-01-27,667
2023-05-03,663
2022-04-01,624
2022-05-11,593
2022-05-16,591
2022-04-19,576
2022-05-04,549
2023-04-04,538
2023-04-27,521
2023-04-26,520
2022-05-10,513
2023-04-17,505
2023-04-12,446
2023-04-28,442
2022-05-26,413
2022-05-09,402
2022-02-05,365
2022-02-08,365
2022-01-21,365
2022-02-02,365
2022-01-11,365
2022-01-10,361
2021-11-12,350
2023-05-08,336
2023-05-04,329
2022-04-14,318
2022-01-12,316
2023-04-20,271
2023-05-02,270
2023-03-21,186
2022-04-30,184
2023-04-14,180
2023-03-30,177
2023-04-21,172
2023-04-29,149
2021-11-22,147
2023-05-01,121
2023-04-10,93
2023-05-10,90
2022-04-22,90
2022-04-15,90
2023-04-19,90
2022-03-12,66
2023-03-16,59
2022-05-13,31
2023-04-06,1
