latitude,count
33.99958,12202
34.06659,12158
37.936013,11722
37.482934,11711
37.765946,11693
30.500642,11680
37.97231,11678
38.102507,11677
30.041238,11660
38.006311,11621
34.25239,11611
32.204411,11607
32.631242,11606
34.276316,11597
34.06703,11595
34.48974,11566
38.56844,11564
34.725352,11562
38.8577,11557
40.146667,11546
32.80581,11537
38.612034,11535
40.64144,11531
34.1365,11524
37.28342,11523
34.63782,11515
35.503587,11512
27.785866,11504
37.780776,11486
40.787628,11485
38.06503,11483
34.403052,11477
35.345607,11474
41.442778,11469
40.309722,11452
35.1343,11447
41.855243,11444
37.950741,11440
36.332179,11437
34.10002,11416
34.54166,11397
29.834167,11384
29.733726,11384
34.14435,11381
33.85275,11366
34.106678,11360
28.596389,11353
39.965278,11352
42.298493,11342
40.747796,11327
32.842318,11318
30.036422,11309
39.297733,11303
36.11094,11303
34.1326,11299
34.10374,11288
37.05822,11283
42.348873,11280
34.19925,11247
36.705474,11224
40.67025,11215
33.6878,11203
30.085263,11197
41.784722,11193
36.841592,11172
33.92513,11166
34.05111,11162
26.087567,11162
29.901036,11156
42.876907,11152
34.89398,11140
25.732878,11126
36.819449,11109
36.205055,11095
42.14175,11067
30.356339,11065
47.185833,10998
31.768286,10989
43.608056,10980
32.820061,10955
25.798709,10937
39.835556,10881
30.461981,10804
30.315406,10783
38.613779,10683
39.138773,10668
34.52744,10626
38.921847,10616
29.767997,10604
39.838119,10601
41.492117,10596
34.46245,10592
39.310833,10578
38.74643,10487
37.488317,10442
34.5959,10412
33.45797,10410
37.34438,10385
37.281853,10384
30.221255,10374
35.477036,10274
38.310942,10256
42.108992,10254
42.474642,10244
33.48378,10151
38.85287,10135
40.736389,10113
42.43084,10107
42.19438,10039
41.825556,10007
35.614131,9995
21.323745,9968
32.882289,9945
33.67649,9916
38.302591,9838
40.462182,9820
41.877682,9770
36.597442,9760
33.67464,9732
32.67618,9725
39.751184,9706
40.008889,9700
37.13678,9692
30.700895,9683
35.356615,9648
40.757501,9547
47.325006,9479
38.895572,9433
27.892523,9411
40.046667,9402
33.503833,9380
44.77553,9303
32.676451,9302
40.107222,9293
40.253611,9278
31.796218,9234
38.53445,9224
36.534804,9206
44.76323,9135
47.400624,9129
33.127769,9126
34.44551,9071
30.039524,8890
35.49158,8887
36.31567,8854
40.46542,8852
29.670025,8816
40.456944,8799
38.71209,8779
33.217055,8768
36.796667,8748
41.965193,8714
32.941023,8704
32.791194,8687
38.443503,8682
33.92086,8678
46.933754,8656
41.606662,8643
39.944651,8606
33.219069,8585
40.628056,8584
39.789483,8550
39.02473,8533
32.29515,8527
36.867125,8503
36.742227,8487
29.695729,8446
32.380118,8422
42.139996,8413
37.10258,8403
34.17605,8356
35.77417,8322
31.787885,8314
47.298611,8308
29.275381,8303
39.12886,8292
32.378696,8272
35.03146,8261
32.919206,8214
33.82376,8208
38.683304,8164
37.687526,8122
39.757371,8081
35.29733,8050
35.2401,8022
41.118333,8006
38.029258,7998
34.510961,7992
35.283164,7988
40.246992,7988
36.694261,7939
30.419805,7939
42.99328,7929
32.344027,7921
36.781333,7919
38.810403,7918
32.836461,7910
39.117219,7876
33.588545,7828
31.765685,7787
32.98426,7784
32.552164,7751
29.863957,7750
32.564968,7744
45.648328,7702
42.3295,7693
45.603053,7687
31.746775,7682
37.535833,7563
38.650329,7551
38.583226,7526
37.256137,7459
32.669001,7453
47.5812,7439
37.47689,7437
39.303174,7421
45.496641,7408
34.38344,7405
29.583047,7401
35.208295,7359
42.340251,7332
30.350302,7314
40.74316,7311
29.520443,7309
40.73614,7298
44.6522,7297
29.802707,7274
34.669739,7262
34.756189,7249
38.45934,7218
33.83062,7213
41.7514,7189
32.65637,7132
37.011894,7082
45.668052,7076
38.872546,7070
37.348497,7035
36.204902,7034
40.816,6964
37.702066,6944
39.104686,6937
33.9285,6933
45.13768,6926
40.811389,6916
33.46093,6902
40.611944,6897
41.265556,6896
33.153088,6882
40.170556,6870
38.673221,6818
33.92899,6815
41.841039,6760
30.400194,6750
40.995848,6720
47.568236,6716
37.9604,6696
33.77933,6686
39.923042,6664
48.64193,6650
43.060975,6625
47.3132,6605
36.191251,6604
44.4762,6594
29.043759,6593
32.482083,6590
40.902967,6558
40.535278,6545
38.47753,6534
34.942872,6533
32.79222,6499
30.593978,6447
42.263955,6446
41.3014,6437
40.112222,6425
39.739444,6396
30.229653,6330
29.758889,6284
33.36985,6279
30.262604,6260
39.92002,6249
26.693399,6187
38.9326,6171
37.30389,6166
30.378287,6136
43.74561,6135
32.855668,6123
33.95507,6109
32.726656,6090
41.206321,6081
40.75912,6059
35.197288,6049
46.825425,6012
34.093959,6003
34.838814,5996
33.47968,5992
40.320278,5946
38.8941,5905
40.283092,5899
42.7907,5872
