local_site_name,count
COOK COUNTY TRAILER,16421
Hawthorne,15645
Pomona,13738
Rubidoux,12202
Los Angeles-North Main Street,12158
Concord,11722
Redwood City,11711
San Francisco,11693
Port Allen,11680
San Rafael,11678
Vallejo,11677
Kenner,11660
Bethel Island,11621
El Rio-Rio Mesa School #2,11611
22ND & CRAYCROFT,11607
Chula Vista,11606
Simi Valley-Cochran Street,11597
Los Flores Canyon #1,11566
Sacramento-1309 T Street,11564
Lompoc HSP,11562
Aurora Hills Visitors Center,11557
Fort Worth Northwest,11537
IEPA-RAPS TRAILER,11535
Elizabeth Lab,11531
Azusa,11524
East Vinton Elementary School,11523
Lompoc H Street,11515
Shafter,11512
Azalea Park,11504
OWENSBORO PRIMARY,11486
Chester,11485
LEXINGTON PRIMARY,11483
Carpinteria,11477
Edison,11474
A420692006LAT/LON POINT IS AT CORNER OF TRAILER,11469
DEL NORTE HIGH SCHOOL,11447
Stockton-Hazelton,11440
Visalia-Church,11437
Fontana,11416
Paradise Road,11397
Lang,11384
Clinton,11384
Glendora,11381
Palm Springs,11366
San Bernardino,11360
WINTER PARK,11353
A421330008LAT/LON POINT AT CORNER OF TRAILER,11352
QUABBIN RES,11342
Alpine,11318
Beaumont Downtown,11309
Oldtown,11303
Hattie Avenue,11303
Pasadena,11299
Upland,11288
JACKSON PURCHASE (PADUCAH PRIMARY),11283
BOSTON KENMORE SQ,11280
Reseda,11247
Fresno-Drummond,11224
Bayonne,11215
South DeKalb,11203
West Orange,11197
McAuliffe Park,11193
Fresno-Sky Park,11172
La Habra,11166
West Los Angeles,11162
Dr. Von Mizell-Eula Johnson State Park (prev. John U Lloyd State Park),11162
Houston Aldine,11156
BUFFALO,11152
Barstow,11140
Rosenstiel,11126
Clovis-Villa,11109
East Health,11095
Kooker Park,11065
HANNOVER,10998
El Paso UTEP,10989
State of Vermont District Court Parking Lot,10980
Dallas Hinton,10955
Lab Annex,10937
A420450002LAT/LON POINT IS OF CORNER OF TRAILER,10881
Capitol,10804
French Settlement,10783
Sacramento-Del Paso Manor,10683
Yuba City,10668
Nojoqui,10626
MCMILLAN  NCore-PAMS,10616
Houston East,10604
Welby,10601
El Capitan,10592
Essex,10578
GT Craig NCore,10537
Roseville-N Sunrise Ave,10487
Turlock,10442
VAFB South Base,10412
CENTRAL PHOENIX,10410
Shirley Plantation,10385
Merced-Coffee,10384
Bayou Plaquemine,10374
IEPA TRAILER,10287
OKC CENTRAL-OSDH,10274
Napa,10256
LIBERTY ST PARKING LOT,10254
LYNN WATER TREATMENT PLANT,10244
WEST PHOENIX,10151
James S. Long Park,10135
East 7 Mile,10107
WESTOVER AFB,10039
Rockefeller Library,10007
OKC NORTH,9995
Kapolei,9968
JENKINS AVE. FIRE STATION,9945
Lake Elsinore,9916
Elk Grove-Bruceville,9838
Rutgers University,9820
CTA BUILDING,9770
Parlier,9760
Costa Mesa,9732
Calexico-Ethel Street,9725
DENVER - CAMP,9706
Air Management Services Laboratory (AMS LAB),9700
UTE 1,9692
Pride,9683
Bakersfield-California,9648
East Orange,9547
609 60TH AVE. SW,9479
RIVER TERRACE,9433
USMC Reserve Center (Gandy),9411
A420710007LAT/LON POINT AT CORNER OF TRAILER,9402
JLG SUPERSITE,9380
Flint Hills Refinery 423,9303
Dallas Redbird Airport Executive,9302
A420170012LAT/LONG POINT IS OF SAMPLING INLET,9293
North Provo,9278
6ZM Desert View,9234
Davis-UCD Campus,9224
Flint Hills Refinery 420,9135
6493 FIRST STREET SW,9129
Escondido,9126
Goleta,9071
Northwest Harris County,8890
Atascadero (original site),8887
Near Road,8881
Hanford-Irwin,8854
Lawrenceville,8852
Houston Deer Park #2,8816
A420990301LAT/LON POINT IS AT CORNER OF TRAILER,8799
North Highlands-Blackfoot,8779
Camp Pendleton,8768
1H Substation,8748
CAPE ROMAIN,8704
El Cajon,8687
Santa Rosa - 5th St,8682
Banning Airport,8678
FARGO NW,8656
Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker,8643
COMMUNITY HEALTH SERVICES (CHS),8606
Denton Airport South,8585
LAT/LON POINT IS CENTER OF TRAILER,8584
Indpls.- E. 16th St.,8550
"Broad Run High School, Ashburn",8533
CHILDREN'S PARK NCore,8527
Madera-Pump Yard,8503
1ZB Bloomfield,8487
Houston Bayland Park,8446
5ZR ON BLM LAND BORDERING RESIDENTIAL AREA OUTSIDE CARLSBAD CITY LIM,8422
NORTHBROOK WATER PLANT,8413
UTE 3,8403
Burbank,8356
Trona - Athol/Telescope #2,8322
6ZN Santa Teresa,8314
BEULAH NORTH,8308
Calaveras Lake,8303
Longview,8272
Nipomo Regional Park (NRP),8261
Dallas North #2,8214
Taft NCore,8212
Long Beach (North),8208
Folsom-Natoma St.,8164
Livermore,8122
Chico-Manzanita Ave.,8081
Garinger High School,8022
Sherwood Island Connector,8006
Pittsburg - W 10th St.,7998
Victorville-Park Avenue,7992
A420430401LAT/LON POINT IS AT CORNER OF TRAILER,7988
Salinas 3,7939
LSU,7939
AMHERST,7929
Tyler Airport Relocated,7921
"3425 N FIRST ST, FRESNO",7919
Alexandria Health Dept.,7918
Kearny Mesa,7910
JFK,7876
Conyers,7828
El Paso Chamizal,7787
Grapevine Fairway,7784
Otay Mesa,7751
Hamshire,7750
Kaufman,7744
DUDLEY SQUARE ROXBURY,7693
Ascarate Park SE,7682
Fremont - Chapel Way,7563
Ladue,7551
TAKOMA SCHOOL,7526
Hillcrest High School,7459
Karnack,7453
TRNP-NU,7439
PECK,7437
Liberty,7421
Portland - SE Lafayette,7408
Santa Clarita,7405
Seabrook Friendship Park,7401
Harrison,7391
Arvin-Bear Mtn,7359
531A EAST FIRST STREET,7332
Conroe Relocated,7314
EISENHOWER PARK,7311
Manvel Croix Park,7309
QUEENS COLLEGE 2,7298
Thunder Basin,7297
Channelview,7274
Lancaster-Division Street,7262
PARR,7249
ASHLAND PRIMARY (FIVCO),7218
Anaheim,7213
COM ED MAINTENANCE BLDG,7189
Arlington Municipal Airport,7132
Davenport,7082
West Alton,7070
San Jose - Jackson,7035
NORTH TULSA - FIRE STATION#24,7034
LOSTWOOD NWR,7002
IS 52,6964
WICHITA HD,6944
Troost,6937
"Yorkville, King Farm",6933
Anoka County Airport,6926
LAT/LON=POINT SW CORNER OF TRAILER,6916
GREENWOOD,6902
A420770004LAT/LONG POINT IS OF SAMPLING INLET,6897
A420791101LAT/LON POINT IS AT CORNER OF TRAILER,6896
Greenville,6882
MARGARETTA CATEGORY B CORE SLAM PM2.5.,6818
Lynwood,6815
 FRANCIS SCHOOL East Providence,6760
Grosse Tete,6750
SEATTLE - BEACON HILL,6716
San Pablo,6696
"Georgia Tech, Ford Environmental Science and Technology Bldg, roof",6686
CAMDEN LAB,6664
MILWAUKEE - SER DNR HDQRS,6625
DUNN CENTER,6605
JD Smith,6604
City of Burlington Parking Lot,6594
Lake Jackson,6593
Midlothian OFW,6590
Bountiful Viewmont,6558
ROCKINGHAM CO. VDOT,6534
Santa Maria,6533
El Centro-9th Street,6499
Baker,6447
WORCESTER SUMMER STREET,6446
Criscuolo Park-New Haven,6437
A420910013LAT/LON POINT IS OF CORNER OF TRAILER,6425
MLK  CORNER OF MLK BLVD AND JUSTISON ST,6396
Dutchtown,6330
Lynchburg Ferry,6284
BUCKEYE,6279
Westlake,6260
NARSTO SITE ARENDTSVILLE,6249
Belvedere Road,6187
Pascagoula,6136
SOUTH OF BADLANDS NP HEADQUARTERS,6135
LAX Hastings,6109
5ZS Hobbs Jefferson,6090
Ogden,6081
PS 59,6059
MARION,6049
BISMARCK RESIDENTIAL,6012
PARKLANE,6003
GREENVILLE HEALTH DEPT,5996
SOUTH SCOTTSDALE,5992
A420110009LAT/LONG POINT IS OF SAMPLING INLET,5946
Rider University,5899
Daniel South,5872
West Beach,5870
Park Place,5805
Boulder,5762
"AT UABC, CORNER OF CALZADA BENITO JUAREZ & AVENIDA NORMAL, MEXICALI",5723
Tracy-Airport,5722
Ukiah-Gobbi Street,5722
Camp Bullis,5707
LAT/LON IS APPROXIMATE LOCATION OF SCIENCE CENTER,5701
Oildale,5694
Wamsutter,5658
Modesto-14th Street,5630
NORWOOD NOX/COX,5616
CARPENTER,5610
New Orleans / City Park,5606
Grover Beach,5573
PFIZER LAB SITE,5564
San Luis Obispo-Marsh St.,5556
San Diego-12th Ave,5556
MICMAC HEALTH DEPARTMENT,5532
BARNWELL CMS,5513
NORFOLK STATE UNIVERSITY,5474
MathScience Innovation Center,5465
Bakersfield-Golden / M St,5458
Nederland 17th Street,5441
South Bend-Shields Dr.,5381
Belle Ayr BA-4,5369
MINE CREEK,5319
Science Museum of Virginia,5317
Carville,5315
ON STATE SCHOOL #44,5310
BLUE HILL OBSERVATORY,5284
Oakland,5253
Galveston 99th Street,5251
Jacobs,5243
Reno3,5238
PDO - Portland Deering Oaks,5229
Morro Bay,5225
SHEPHERDSVILLE,5222
Pico Rivera #2,5213
South Pass,5193
NORTHERN KENTUCKY UNIVERSITY (NKU),5190
Austin Audubon Society,5158
Alabama Ave. Station,5156
Italy,5142
Cottonwood,5133
NOAA,5121
Willits-899 South Main Street,5118
Campbell County,5096
Joe Neal,5095
State St-New Haven,5056
"Emma Wood State Beach, Ventura",5037
SAWGRASS SPRINGS MIDDLE SCHOOL,5017
JACKSON MIDDLE SCHOOL,5013
Murphy Ridge,4955
Simmons Park,4950
Houston Texas Avenue,4930
Mira Loma (Van Buren),4910
SAN ANTONIO DOWNTOWN  CAMS 27,4802
Oakland West,4748
SD School for the Deaf,4744
PORT OF ENTRY BETWEEN MEXICO AND USA. SCHEDULED TO OPEN 8/96,4744
MOORE WATER TOWER,4714
Compton,4701
TULSA SOUTH,4694
"DAVENPORT, JEFFERSON SCH.",4656
CROSS STREETS CAL DEL TECNOLOGICO & CHAPULTEPEC,4638
HU-Beltsville,4607
Pinedale Gaseous,4575
Union County #1 Jensen,4569
LOGAN #4,4556
Santa Barbara,4542
Spring Creek,4526
Larpenteur Avenue,4505
MUSKOGEE WATER TREATMENT PLANT,4478
Evansville CAAP,4471
Corsicana Airport,4447
LOCATED ABOUT 1/4 MILE WEST OF SITE,4442
NASA Langley Research Center,4419
TRAILER ON CAMPUS OF INDUSTRIAL TECH HIGH SCHOOL,4403
FORMERLY 5962 SOUTH LINDBERGH.,4396
CHASE (COVINGTON),4393
Evansville- Buena Vista,4374
Juel Spring,4344
Vinton,4332
NLR AIRPORT,4308
Thousand Oaks,4286
Oceanside-Mission Ave,4262
"Rangely, Golf Course",4255
SITE IS IN A FIELD WEST OF THE NIXON POWER PLANT,4253
Moxa Arch,4224
OPEN FIELD NEAR RESIDENTIAL AREA AT 6000 PULPIT ROCK DRIVE.,4222
Pechanga,4221
Forest Park,4220
UTM COORDINATES = PROBE LOCATION ON ROOF OF TRAILER,4158
"COBACH, CALLE GUADALAJARA JUST SOUTH OF AVENIDA REVOLUCION, MEXICALI",4152
West Yellowstone Park Ent #2,4148
EASTERN BANK OF MONUMENT CREEK DRAINAGE ON COLORADO COLLEGE CAMPUS.,4142
2ZR SITE MOVED FROM RIO RANCHO CITY HALL TO SENIOR CENTER,4128
MILWAUKEE UWM-NORTH,4124
Lancaster-Ponderosa St.,4114
South Lake Tahoe-Sandy Way,4112
BOTANICAL GARDEN,4108
Bonne Terre,4079
CINCINNATI,4077
San Diego - Beardsley Street,4049
"AT THE INSTITUTO TECNOLOGICO DE MEXICALI, MEXICALI, BCN",4032
LAT/LON POINT IS TRAILER,4023
Mojave,4002
Newark Firehouse,3983
Livermore - Old 1st St.,3974
Birney - Tongue river,3959
Columbia,3952
EAST END OF PEDRO MORENO SCHOOL IN ROSARITO,3951
Flag Plaza,3947
Ellyson Industrial Park,3942
Anaheim (1010 Harbor Blvd),3942
Greenville ESC,3931
Tucker-Idlewood Road,3914
SANDHILL EXPERIMENTAL STATION,3900
Santa Barbara-W. Carrillo St.,3879
Cheyenne NCore,3877
Big Piney Site #3,3861
SITE LOCATED OFF PARKING LOT 2.,3850
SOUTH OF CRAWFORD & POLK INTERSECTION,3839
HOLTSVILLE,3823
LAKE SUGEMA STATE PARK II,3800
Millbrook School,3735
CREDIT UNION,3689
GALVESTON ISLAND,3679
Waco Mazanec,3652
ELIZA-NR,3641
Great Smoky Mountains NP - Look Rock,3636
Paw Park,3610
Fresno - Garland,3559
Kearny Villa Rd.,3557
Chico-East Avenue,3534
Camden Spruce Street,3525
BROADUS,3510
Niumalu,3509
Salinas-Natividad Rd.,3499
LOCATED APPROXIMATELY 1 MILE NORTH OF I-5 AND I-80 FREEWAYS,3480
BOSTON LONG ISLAND,3427
PENN STATE OZONE MONITORING SITE,3424
Bakersfield-Muni,3414
STATION LOCATED NEAR INTERSECTION OF 6000 SO & 10000 WEST,3403
SOUTH BEND CAAP,3396
PEARL ST MUNICIPAL PARKING LOT,3393
San Jose - 4th St.,3389
___________NO INFORMATION AT THIS TIME,3388
STATION NEAR INTERSECTION OF WHITEROCK CANYON RD & QURAY CANAL,3382
Long Beach (Hudson),3374
San Antonio Northwest,3367
Sunrise Acres,3358
"USGS Geomagnetic Center, Corbin",3326
TRAILER IN RV PARK (MAYCLIFF RV & STORAGE) (Site closed; new site: JM),3325
Austin North Hills Drive,3310
Atlantic Rim Sun Dog,3307
Malta,3290
Tracy-Holden farm,3287
Roosevelt,3282
I-25,3271
Lewistown,3227
"CORNER OF PASEO MORELOS S/N & CALLE RIO LERMA, TECATE, BC, MEXICO",3216
7E Deming Airport,3189
Huntley Place-Hartford,3187
UNIVERSITY OF CHICAGO,3173
NORTH OF CAMPBELL & FRANKLIN INTERSECTION,3168
VON HILLERN ST,3166
Casper Gaseous,3163
"Blue Ridge, I-70",3162
MORRISANIA,3162
Palo Verde,3159
TAHLEQUAH SHELTER,3157
San Ramon,3153
Takoma Rec Center,3150
SW OF BONNARD & WOZENCRAFT INTERSECTION,3113
Marcellus,3111
UCSB West Campus,3104
Indpls- Washington Park/  in parking lot next to police station,3100
CONSENTINO SCHOOL.,3097
G.T. BRAY PARK,3089
Apex,3085
Watson Lane,3079
Reading Airport,3075
Smoky Row Near Road,3071
Blair Street,3053
Towanda,3045
COM ED TRAINING CENTER,3044
Bryan Park,3033
Jean,3003
Triple Oak,3001
I-610,2998
Sebastopol,2996
Cincinnati Near Road,2995
Piney Run,2968
Laney College,2963
Ojai - East Ojai Ave,2955
UTM COORDINATES = INLET PROBE ON ROOF OF BUILDING,2938
Sacramento-Goldenland Ct.,2936
MILWAUKEE - COLLEGE AVE. NR,2923
SITE IS TRAILER LOCATED ON NE CORNER OF 32ND AND CHATTEROI STREETS,2912
Y001,2900
ROCKY FLATS - SE,2897
Socorro Hueco,2897
Victorville-Amargosa Road,2893
AJ,2892
Near Road I-35/I-94,2886
Globeville,2885
Howard County Near Road,2875
Anaheim Near-Road,2873
Torresdale Station,2868
NR-GA Tech,2851
Battlement Mesa,2840
La Casa,2836
FRANKLIN,2827
Bellefonte River Road Park,2811
Houston Southwest Freeway,2807
Fort Lee Near Road,2806
North Birmingham,2797
San Antonio Interstate 35,2793
Arkadelphia/Near Road,2779
Cleveland Near Road,2779
CONGAREE BLUFF,2778
Indpls.- I 70,2778
Austin North Interstate 35,2770
Seattle-10th & Weller,2764
San Jose - Knox Avenue,2764
Dallas LBJ Freeway,2762
Buffalo Near-Road,2759
Parkway East Near-Road,2747
MTSP,2743
Near Road Site at Southwest Tennessee Community College,2735
