longitude,count
-117.41601,12202
-118.22688,12158
-122.026154,11722
-122.20337,11711
-122.399044,11693
-91.213556,11680
-122.520004,11678
-122.237976,11677
-90.272826,11660
-121.641918,11621
-119.143182,11611
-110.878067,11607
-117.059088,11606
-118.683685,11597
-117.7514,11595
-120.04692,11566
-121.49311,11564
-120.428717,11562
-77.05922,11557
-79.902222,11546
-97.356529,11537
-90.160477,11535
-74.208365,11531
-117.92391,11524
-79.88452,11523
-120.4575,11515
-119.272606,11512
-82.739875,11504
-87.075307,11486
-74.676301,11485
-84.49761,11483
-119.457914,11477
-118.851825,11474
-75.623056,11469
-78.915,11452
-106.5852,11447
-87.75247,11444
-121.268523,11440
-119.291228,11437
-117.49201,11416
-119.79146,11397
-95.257593,11384
-95.489167,11384
-117.85036,11381
-116.54101,11366
-117.274063,11360
-81.3625,11353
-76.699444,11352
-72.334079,11342
-80.316442,11327
-116.768293,11318
-94.071061,11309
-80.224501,11303
-76.604603,11303
-118.1272,11299
-117.62914,11288
-88.57251,11283
-71.097163,11280
-118.53276,11247
-119.741332,11224
-74.126081,11215
-84.2905,11203
-93.761341,11197
-72.631667,11193
-119.874739,11172
-117.95264,11166
-80.111152,11162
-118.45636,11162
-95.326137,11156
-78.809526,11152
-117.024804,11140
-80.16175,11126
-119.716433,11109
-86.74472,11095
-80.038611,11067
-81.635396,11065
-101.428056,10998
-106.501243,10989
-72.982778,10980
-96.860117,10955
-80.210048,10937
-75.3725,10881
-91.179219,10804
-90.811383,10783
-121.368014,10683
-121.618549,10668
-120.1965,10626
-77.013178,10616
-95.220582,10604
-104.94984,10601
-81.678449,10596
-120.02551,10592
-76.474444,10578
-121.26498,10487
-120.836008,10442
-120.631315,10412
-112.04659,10410
-77.25925,10385
-120.433671,10384
-91.315418,10374
-97.494309,10274
-122.296189,10256
-72.590803,10254
-70.970816,10244
-112.14256,10151
-77.63462,10135
-111.872222,10113
-83.000138,10107
-72.555112,10039
-71.405278,10007
-97.475083,9995
-158.088613,9968
-79.977538,9945
-117.33098,9916
-121.420838,9838
-74.429439,9820
-87.635027,9770
-119.503659,9760
-117.92568,9732
-115.48307,9725
-104.987625,9706
-75.09778,9700
-107.62863,9692
-91.056068,9683
-119.062613,9648
-74.2005,9547
-101.76628,9479
-76.958072,9433
-82.538429,9411
-76.283333,9402
-112.095767,9380
-93.06299,9303
-96.87206,9302
-74.882222,9293
-111.663056,9278
-106.584434,9234
-121.7734,9224
-82.517078,9206
-93.03255,9135
-101.929099,9129
-117.075086,9126
-119.8284,9071
-95.673951,8890
-120.66804,8887
-119.643447,8854
-79.960757,8852
-95.128508,8816
-77.165556,8799
-121.38109,8779
-117.396177,8768
-108.473138,8748
-87.876265,8714
-79.657187,8704
-116.942092,8687
-122.710169,8682
-116.85841,8678
-96.85535,8656
-87.304943,8643
-75.165206,8606
-97.196284,8585
-75.341111,8584
-86.060833,8550
-77.48925,8533
-110.9823,8527
-120.010158,8503
-107.977567,8487
-95.499219,8446
-104.262726,8422
-87.799227,8413
-107.870219,8403
-118.31712,8356
-117.3714,8322
-106.683324,8314
-101.766944,8308
-98.311692,8303
-84.50404,8292
-94.711813,8272
-120.50103,8261
-96.808498,8214
-118.18921,8208
-121.164457,8164
-121.784217,8122
-121.843286,8081
-84.75076,8050
-80.785683,8022
-73.336667,8006
-121.896866,7998
-117.32554,7992
-84.759371,7988
-76.846988,7988
-121.623271,7939
-91.182016,7939
-78.77153,7929
-95.415754,7921
-119.77319,7919
-77.04435,7918
-117.128752,7910
-94.635605,7876
-84.069608,7828
-106.455227,7787
-97.063721,7784
-116.937772,7751
-94.317802,7750
-96.317687,7744
-106.557247,7702
-71.0826,7693
-106.464744,7687
-106.402806,7682
-121.961823,7563
-90.350313,7551
-77.1219,7526
-93.299894,7459
-94.167468,7453
-103.2995,7439
-97.366399,7437
-94.377014,7421
-122.602877,7408
-118.5284,7405
-95.015544,7401
-118.785374,7359
-71.03835,7332
-95.425128,7314
-73.58549,7311
-95.392509,7309
-73.82153,7298
-105.2903,7297
-95.125495,7274
-118.130511,7262
-92.281296,7249
-82.64041,7218
-117.93845,7213
-87.713488,7189
-97.088598,7132
-122.194413,7082
-106.519466,7076
-90.226488,7070
-121.894898,7035
-95.976537,7034
-73.902,6964
-97.314847,6944
-94.57079,6937
-85.04534,6933
-93.207615,6926
-77.877028,6916
-112.11748,6902
-75.4325,6897
-75.846389,6896
-96.115572,6882
-80.261389,6870
-90.239166,6818
-118.21071,6815
-71.36097,6760
-91.42511,6750
-80.346442,6720
-122.308628,6716
-122.356811,6696
-84.39576,6686
-75.097617,6664
-102.4018,6650
-87.913504,6625
-102.5273,6605
-115.122953,6604
-73.2106,6594
-95.472946,6593
-97.026899,6590
-111.884467,6558
-78.370833,6545
-78.81952,6534
-120.435611,6533
-115.56306,6499
-91.251943,6447
-71.794322,6446
-72.902871,6437
-75.309167,6425
-75.558056,6396
-90.965628,6330
-95.079444,6284
-112.62068,6279
-93.285084,6260
-77.30968,6249
-80.099209,6187
-77.19822,6171
-107.484167,6166
-88.53393,6136
-101.941218,6135
-104.411908,6123
-118.43049,6109
-103.122917,6090
-111.975524,6081
-73.96661,6059
-90.193141,6049
-100.76821,6012
-80.962304,6003
-82.402918,5996
-111.91721,5992
-75.926667,5946
-77.4652,5905
-74.742613,5899
-110.0551,5872
-158.11413,5870
-95.294722,5805
-107.652192,5772
-109.753,5762
-90.495941,5749
-123.20298,5722
-121.442495,5722
-98.564936,5707
-80.016155,5701
-119.016787,5694
-83.096033,5685
-108.024835,5658
-120.994212,5630
-84.439102,5616
-93.643118,5610
-90.10155,5606
-120.63215,5573
-90.198709,5571
-73.87809,5564
-117.154841,5556
-120.655171,5556
-90.285934,5550
-68.033006,5532
-81.465537,5513
-118.06056,5498
-76.25744,5474
-77.40027,5465
-119.015009,5458
-85.71025,5457
-94.004746,5441
-86.214722,5381
-105.343164,5369
-94.700244,5327
-94.731988,5319
-77.465,5317
-91.126041,5315
-116.977523,5310
-71.11397,5284
-75.172679,5276
-122.169935,5253
-94.861289,5251
-124.17949,5243
-119.807717,5238
-70.268965,5229
-120.84271,5225
-85.71192,5222
-118.0685,5213
-108.720003,5193
-84.47445,5190
-97.875084,5158
-90.041559,5156
-96.870189,5142
-111.849722,5133
-76.30135,5121
-123.350288,5118
-118.37026,5110
-105.529994,5096
-115.238282,5095
-72.916944,5056
-119.314557,5037
-80.294772,5017
-81.788731,5013
-111.042376,4955
-82.465146,4950
-95.350278,4930
-117.4924,4910
-71.798405,4820
-98.486389,4802
-122.282347,4748
-115.390544,4744
-96.700769,4744
-97.484099,4714
-118.205,4701
-96.004975,4694
-90.587611,4656
-116.985856,4638
-76.878333,4607
-87.575291,4594
-71.027138,4576
-109.87076,4575
-96.707208,4569
-111.8375,4556
-119.691218,4542
-79.72941,4532
-109.353932,4531
-107.549444,4526
-122.520388,4507
-93.183278,4505
-109.688108,4499
-115.447769,4497
-95.302235,4478
