method_name,count
INSTRUMENTAL - CHEMILUMINESCENCE,3045763
INSTRUMENTAL - GAS PHASE CHEMILUMINESCENCE,1123586
Instrumental - Chemiluminescence Teledyne API 200 EU/501,88469
Teledyne Model T500U - Cavity Attenuated Phase Shift Spectroscopy,79729
INSTRUMENTAL - GAS-PHASE CHEMILUMINESCENCE,75856
Teledyne-API Model 200EUP or T200UP - Photolytic-Chemiluminescence,48488
"Instrumental - Chemiluminescence Thermo Electron 42C-TL, 42i-TL",46605
LOW LEVEL NOX INSTRUMENTAL - TECO 42S CHEMILUMINESCENCE,10500
Instrumental - Chemiluminescence,10350
INSTRUMENTAL - OPEN PATH NO ANALYZER,2886
Instrumental - Teledyne API - Model N500 - Cavity-Attenuated Phase-Shift (CAPS) spectroscopy Nitrogen Oxides Analyzer,1743
Teledyne-API Model T200P Chemiluminescence - Photolytic-Chemiluminescence,1198
Instrumental - Chemiluminescence Ecotech EC9841T,879
