site_num,count
0002,221305
0003,185461
0001,149928
0005,143682
0004,140135
0007,126321
0006,110892
0009,110390
0008,105347
1004,91920
1002,85404
0010,83359
0011,82208
0012,81420
3001,72053
1003,71399
5001,65537
2002,65381
0014,63741
1001,62749
4002,57143
0016,52081
0020,52072
0021,41749
0022,39445
0023,38799
1005,37703
0015,37030
0013,31536
0018,31408
0024,30352
0027,30344
0019,30166
0040,29675
0100,27283
0025,27096
0075,26873
0041,25006
1006,24333
0034,23571
0101,23391
0017,23300
0080,22886
8001,22687
2006,22119
1008,21668
0029,21054
3002,20998
2004,20917
0047,19990
1011,19317
0026,19220
0102,18868
0055,18554
1016,18025
2005,17601
1037,17486
1021,16934
0037,16889
1035,16825
4001,16528
6001,16429
0124,16427
0030,16136
0113,16058
1034,15855
0032,15297
1010,15040
0073,14585
3003,14563
1014,14048
8002,13656
0046,13506
0043,13168
9004,12846
0033,12757
0099,12698
7003,12660
0031,12531
0200,12528
1013,12483
2003,12248
1103,12158
0087,12080
7001,12063
0056,11833
1701,11595
1025,11566
0044,11506
1018,11373
1024,11283
1201,11247
0242,11172
0036,11086
4003,11082
0069,10955
0078,10954
2007,10904
0042,10855
1007,10677
0060,10596
0048,10583
0232,10220
3006,10113
9001,9916
0063,9882
9003,9759
0076,9505
1065,9411
9997,9380
0423,9303
1015,9244
5005,9206
2011,9071
1039,8816
0301,8799
3103,8714
1028,8527
3010,8457
4201,8413
1234,8322
0059,8303
0072,8088
0306,7992
0401,7988
3009,7784
0762,7702
0761,7687
0086,7661
0035,7458
6012,7405
1050,7401
0801,7399
0123,7297
9002,7271
9033,7262
1101,7232
3011,7132
0760,7076
1127,7034
0110,6964
0094,6826
1301,6815
0700,6809
4004,6686
4011,6279
1601,6143
1012,5984
0051,5885
1019,5872
0416,5805
3005,5722
0045,5718
0052,5707
0081,5660
6011,5584
2001,5573
0133,5564
1100,5532
7002,5406
0892,5369
1602,5213
1044,5142
0098,5113
0456,5096
1123,5056
0050,4936
8005,4910
0097,4728
0049,4714
1302,4701
0174,4694
0864,4505
0058,4491
0057,4488
0167,4478
1051,4447
1017,4428
8003,4332
0300,4224
6004,4222
0083,4108
9021,4096
0191,4077
0701,3940
1020,3894
0028,3866
0038,3730
0702,3699
1026,3643
0093,3641
2601,3574
4000,3424
2012,3414
7011,3403
7022,3382
1233,3380
4006,3374
0561,3358
0539,3325
1027,3282
4005,3214
0064,3173
0901,3172
5200,3111
4012,3089
0085,3053
0962,2886
3101,2852
6002,2808
1066,2807
1069,2793
0104,2789
2059,2779
1068,2770
1067,2762
1376,2747
0067,2674
0108,2667
3013,2661
0103,2576
0066,2564
1501,2544
5002,2535
1053,2501
0480,2437
4008,2416
0953,2358
6013,2341
6006,2303
6005,2290
0900,2276
4020,2252
0557,2248
6009,2226
1052,2174
1022,2162
4019,2144
2016,2107
1502,2096
0957,2064
0601,1952
0132,1893
0905,1879
0125,1802
7004,1798
0540,1792
0614,1736
0070,1715
0552,1711
6018,1692
5010,1690
0039,1661
0095,1629
0647,1614
9009,1488
0819,1487
2401,1454
9014,1409
1047,1405
0902,1298
0941,1285
0940,1256
2009,1217
0119,1216
0524,1210
7416,1181
9993,1173
0563,1171
0106,1154
1030,1120
0219,1061
8000,1056
0185,1036
9015,982
9005,926
0704,908
3015,905
0622,881
0852,805
1070,793
0613,773
1038,765
1000,752
4010,726
4009,725
0206,713
0089,710
3014,692
0071,675
2019,627
1009,622
1111,610
7015,573
3016,542
5632,520
0870,490
0152,473
6003,455
0417,429
0800,427
0065,423
0153,414
0441,388
5601,365
7630,338
0234,335
6316,317
5003,309
0068,299
4021,282
1041,245
0789,240
0243,227
5302,225
0244,222
7634,212
9994,208
7631,208
0160,200
7635,196
7632,153
0114,119
5253,101
3102,90
1036,90
3601,90
0428,78
0600,59
0062,48
2022,46
9035,31
4101,31
