state_code,count
06,1199846
48,403162
42,267255
22,134200
51,127693
25,126357
12,124286
29,112869
56,107324
08,107164
49,103467
34,97539
35,96585
21,91445
38,89883
17,89184
36,85769
04,83478
40,69986
18,66639
47,65628
39,60212
30,59305
45,57193
32,53746
26,53552
27,45903
09,42433
13,42002
37,38221
24,37047
80,36863
11,35476
20,34150
55,25567
46,25224
44,22417
50,21692
23,21584
53,20944
19,20004
33,19800
15,19347
05,17991
28,13571
10,12521
41,10629
01,10375
16,9356
54,9228
72,6383
02,2244
CC,1313
