state_name,count
California,1199846
Texas,403162
Pennsylvania,267255
Louisiana,134200
Virginia,127693
Massachusetts,126357
Florida,124286
Missouri,112869
Wyoming,107324
Colorado,107164
Utah,103467
New Jersey,97539
New Mexico,96585
Kentucky,91445
North Dakota,89883
Illinois,89184
New York,85769
Arizona,83478
Oklahoma,69986
Indiana,66639
Tennessee,65628
Ohio,60212
Montana,59305
South Carolina,57193
Nevada,53746
Michigan,53552
Minnesota,45903
Connecticut,42433
Georgia,42002
North Carolina,38221
Maryland,37047
Country Of Mexico,36863
District Of Columbia,35476
Kansas,34150
Wisconsin,25567
South Dakota,25224
Rhode Island,22417
Vermont,21692
Maine,21584
Washington,20944
Iowa,20004
New Hampshire,19800
Hawaii,19347
Arkansas,17991
Mississippi,13571
Delaware,12521
Oregon,10629
Alabama,10375
Idaho,9356
West Virginia,9228
Puerto Rico,6383
Alaska,2244
Canada,1313
