address,count
QUABBIN SUMMIT,34681
4510 1/2 Aldine Mail Rd,31912
65180 Belleview Road,31039
1061-A Leesville Ave,29922
1130 EASTWAY DRIVE,28284
1415 Hinton Street,27607
"1630 N MAIN ST, LOS ANGELES",27470
"5888 MISSION BLVD., RUBIDOUX",26824
Denton Airport South,26642
"DEL PASO-2701 AVALON DR, SACRAMENTO",26563
"2500 1ST STREET, N.W. WASHINGTON DC",26484
"301 39th St, Pittsburgh, PA 15201 (Lawrenceville)",26128
"2300-C Wildcat Road, Decatur GA 30034",25492
1300 BLK. HATTIE AVENUE,25122
4514 1/2 Durant St,25100
PIKE AVE AT RIVER ROAD,25071
2700 Austin Ave,24946
"1005 Northwest Drive, Port Allen",23340
3520 1/2 N. PEORIA,23235
100 West Temple Pl,23229
HARRISON AVE,23141
LFC #1-LAS FLORES CANYON,23132
"HS & P FACILITY-500 M SW, LOMPOC",23123
3317 Ross Ave,23105
"GOBERNADOR RD, CARPINTERIA",22954
1820 S. 51ST AVE.,22890
PARADISE RD-LOS PADRES National Forest,22798
9525 1/2 Clinton Dr,22766
1086 Vermont Avenue,22730
4401 1/2 Lang Rd,22713
4700A SAN MATEO NE,22391
250 Rim Rd,22306
"128 S 'H' ST, LOMPOC",22098
"545 CENTRAL AVENUE, OXNARD, CA  93030",22094
"1675 SOUTH 600 EAST, SALT LAKE CITY",22039
E. 14TH & ORANGE,21769
"924 N. GAREY AVE., POMONA",21744
"TRAILER,185 DINGENS STREET (near WEISS ST.)",21726
"50 NATOMA STREET, FOLSOM",21689
"803 N. LOREN AVE., AZUSA",21586
4530 N 17TH AVENUE,21467
16627 Pemilloux Ln@ Hwy 16,21430
"5400 COCHRAN STREET, SIMI VALLEY, CA  93063",21417
13TH & TUDOR,21408
1262 1/2 Mae Drive,21280
"GTC B-HWY 101 NEAR NOJOQUI PASS, GAVIOTA",21253
"Oldtown Fire Station, 1100 Hillen Street",21170
"752 S. WILSON AVE., PASADENA",21135
"18330 GAULT ST., RESEDA",21120
KENMORE SQ,21053
"84 E. 'J' ST., CHULA VISTA",21014
Queens College   65-30 Kissena Blvd  Parking Lot#6,20972
"VA HOSPITAL, WEST LOS ANGELES",20892
"South Highway 59, RR1, 1795 Dahlonegah Park Road, Stilwell, Oklahoma",20890
"STS POWER PLANT, VANDENBERG AFB",20824
800 S San Marcial Street,20776
"2300 VICTORIA DR., ALPINE",20490
"1210 N. 10TH ST.,JFK RECREATION CENTER",20343
" 151 NO SUNRISE BLVD, ROSEVILLE, CA",20335
"EL CAPITAN ST PRK, HWY 10",20308
"1309 T ST., SACRAMENTO, CA. 95814",20232
"548 WALKER ST., SHAFTER, CA., 93263",20196
600 Dorsey Avenue,20193
ANDERSON RD AFB,20081
"JOHNSON FARM, EDISON, CA. 93320",20075
"310 N CHURCH ST, VISALIA",20046
"FS-590 RACQUET CLUB AVE, PALM SPRINGS",19995
"HAZELTON-HD, STOCKTON",19981
"840 LAUREL, GLENDORA",19977
" 900 S MINARET STREET, TURLOCK, CA",19934
390 PARKLAND,19917
"506 W FLINT ST, LAKE ELSINORE",19844
"908 N VILLA AVE, CLOVIS",19814
"14360 ARROW BLVD., FONTANA",19795
"24302 4TH ST., SAN BERNARDINO, CA.",19732
"1350 SAN BERNARDINO RD., UPLAND",19672
"773 ALMOND ST, YUBA CITY",19639
MLK BLVD AND JUSTISON ST.,19611
"SIERRA SKYPARK#2-BLYTHE & CHNNLT, FRESNO",19602
"4706 E. DRUMMOND ST., FRESNO",19558
3801 SPRING FOREST RD.,19551
"9240 S. RIVERBEND, PARLIER 93648",19520
321 S. FRANKLIN,19478
"1029 ETHEL ST, CALEXICO HIGH SCHOOL",19451
"621 W. LAMBERT, LA HABRA",19430
"11245 Port Hudson-Pride Rd. Zachary, La",19366
"5558 California Ave., Bakersfield CA 93309",19296
"96 STATE STREET, Rutland, Vermont",19269
"385 S. COFFEE AVENUE, MERCED, CA 95340",19256
"Vegetable Farm 3, 67 Ryders Lane",19206
" 12490 BRUCEVILLE RD, ELK GROVE, CA",19029
LIBERTY STREET,18877
