cbsa_name,count
"Los Angeles-Long Beach-Anaheim, CA",363599
"Houston-The Woodlands-Sugar Land, TX",306178
"Santa Maria-Santa Barbara, CA",290686
"Riverside-San Bernardino-Ontario, CA",234012
"Dallas-Fort Worth-Arlington, TX",233302
"Baton Rouge, LA",207193
"San Francisco-Oakland-Hayward, CA",183663
"New York-Newark-Jersey City, NY-NJ-PA",181659
"Sacramento--Roseville--Arden-Arcade, CA",176560
"San Diego-Carlsbad, CA",172813
"Washington-Arlington-Alexandria, DC-VA-MD-WV",170947
"Boston-Cambridge-Newton, MA-NH",169167
"Chicago-Naperville-Elgin, IL-IN-WI",165693
"St. Louis, MO-IL",117718
"Pittsburgh, PA",114030
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",108030
"Fresno, CA",106763
"Bakersfield, CA",106208
"Atlanta-Sandy Springs-Roswell, GA",88805
"Springfield, MA",80619
"Beaumont-Port Arthur, TX",80349
"El Paso, TX",78581
"Oxnard-Thousand Oaks-Ventura, CA",75358
"San Luis Obispo-Paso Robles-Arroyo Grande, CA",72896
"Minneapolis-St. Paul-Bloomington, MN-WI",71938
"Kansas City, MO-KS",67416
"Denver-Aurora-Lakewood, CO",61896
"Charlotte-Concord-Gastonia, NC-SC",60917
"Detroit-Warren-Dearborn, MI",59298
"Baltimore-Columbia-Towson, MD",58945
"San Antonio-New Braunfels, TX",57416
"Richmond, VA",56163
"Miami-Fort Lauderdale-West Palm Beach, FL",53376
"Salt Lake City, UT",51823
"Providence-Warwick, RI-MA",49627
"Cincinnati, OH-KY-IN",49622
"Colorado Springs, CO",47885
"New Orleans-Metairie, LA",45420
"Oklahoma City, OK",44185
"Las Vegas-Henderson-Paradise, NV",43297
"Indianapolis-Carmel-Anderson, IN",43289
"Buffalo-Cheektowaga-Niagara Falls, NY",42328
"El Centro, CA",42190
"Gillette, WY",39608
"Durango, CO",39243
"Stockton-Lodi, CA",38797
"Portland-South Portland, ME",37631
"Farmington, NM",37464
"Tampa-St. Petersburg-Clearwater, FL",36204
"Milwaukee-Waukesha-West Allis, WI",35862
"Phoenix-Mesa-Scottsdale, AZ",35795
"Cleveland-Elyria, OH",35718
