city_name,count
Not in a city,1449974
Houston,156256
New York,87119
Boston,84139
Washington,81331
El Paso,78581
Dallas,77733
San Diego,60818
Chicago,57460
Capitan,55160
San Antonio,54066
Baton Rouge,49001
Fresno,47871
Lompoc,45221
Kansas City,43420
Gaviota,42879
Charlotte,42204
Los Angeles,42030
Pittsburgh,40679
Detroit,40035
Sacramento,39384
Oklahoma City,37737
Bakersfield,37144
Tijuana,35229
Ware (census name for Ware Center),34681
Milwaukee,33754
North Little Rock,33490
Miami,32902
Denver,32710
Philadelphia,32687
Arlington,32640
Davenport,32338
Mexicali,32024
Fort Worth,31900
Indianapolis (Remainder),30668
Portland,30386
San Jose,30192
Cleveland,29547
Oakland,29532
Salt Lake City,28988
Calexico,28939
Vandenberg Air Force Base,28214
St. Louis,28135
Chester,27675
Denton,27520
Springfield,27448
Anaheim,27306
Winston-Salem,27188
Lancaster,27132
Tulsa,27122
Phoenix,26923
Cincinnati,26839
Rubidoux,26824
Long Beach,26605
Arden-Arcade,26563
New Haven,26046
Seattle,26022
Colorado Springs,25720
Albuquerque,25519
El Cajon,25218
Deer Park,25100
West Orange,24946
Vinton,24395
Tucson,24088
Baltimore,23696
Folsom,23379
Kenner,23229
Raleigh,22996
Carpinteria,22954
Cicero,22890
Los Padres National Forest,22798
Beaumont,22730
Santa Maria,22112
Pomona,21744
Buffalo,21726
West Los Angeles,21705
Schiller Park,21636
French Settlement,21610
Azusa,21586
Providence,21567
Simi Valley,21417
East Saint Louis,21408
Gary,21174
Pasadena,21135
Atascadero,21128
Reseda,21120
Worcester,21080
Chula Vista,21014
Cherry Tree,20890
Alpine,20490
Roseville,20335
Reno,20311
Stockton,20199
Shafter,20196
Essex,20193
Galveston,20150
Chicopee,20081
Pico Rivera,20049
Visalia,20046
Palm Springs,19995
Glendora,19977
Salinas,19968
Turlock,19934
Richmond,19919
Lynn,19917
Goleta,19916
Lake Elsinore,19844
Clovis,19814
Fontana,19795
San Bernardino,19732
Upland,19672
Yuba City,19639
Wilmington,19611
Midlothian,19568
Parlier,19520
