county_code,count
037,386389
083,299576
013,267940
001,267465
031,245089
201,241980
029,227721
003,214826
067,208816
073,197882
071,189309
019,188633
005,187629
025,181678
035,152650
033,152343
059,140346
007,136236
009,133605
065,132537
163,132403
047,131130
079,119755
113,106912
141,99814
057,99553
111,98148
021,94913
041,86157
015,86141
061,82313
119,81821
027,77954
011,77492
002,75156
101,74742
045,71395
089,71222
439,67411
121,65924
081,65836
099,65648
183,64623
510,64533
039,63760
095,62704
097,62083
077,59124
049,58700
017,56381
245,55403
053,55198
107,51840
189,45532
051,44269
063,43001
109,40292
055,39890
087,37823
103,37736
023,34544
085,33653
143,33023
125,32565
153,32162
139,31551
453,29062
075,27849
361,24946
209,24422
086,23886
069,22925
167,20150
133,19155
043,16679
423,16528
159,16391
339,16072
161,15731
247,15578
257,15507
135,15270
760,15070
203,14906
157,14747
191,14672
036,14476
710,14308
115,14065
145,13917
173,13888
231,13766
223,13764
117,13663
127,12646
165,12156
177,10504
129,10165
090,9356
349,8943
093,8486
091,8210
186,8158
650,7810
309,7316
123,6473
137,6334
197,6088
195,4994
105,4646
147,3227
213,2831
131,2764
227,2542
012,2112
315,2077
493,1586
255,1586
367,1421
122,930
600,782
221,726
187,530
149,354
151,353
700,232
211,220
