date_of_last_change,count
2013-06-11,3431970
2013-06-10,929436
2015-03-06,90584
2015-03-05,84148
2015-03-02,29391
2018-03-27,26451
2015-03-04,24897
2015-03-09,22815
2021-03-19,22413
2019-03-18,22251
2016-02-02,22246
2021-04-20,21786
2021-02-25,19868
2022-03-17,18359
2017-02-21,17986
2019-08-23,17957
2019-03-12,17778
2015-03-18,17017
2021-06-29,16057
2020-11-12,15839
2014-02-26,15654
2016-03-18,15617
2019-03-05,15614
2014-01-15,15178
2019-03-28,15105
2022-01-25,14926
2022-03-21,14870
2020-03-24,14829
2015-07-20,14795
2020-03-31,14459
2019-03-21,14398
2022-03-09,14306
2022-04-18,13894
2022-03-16,13841
2017-03-13,13724
2018-02-22,13695
2019-05-09,13674
2021-03-30,13587
2015-03-23,13498
2020-03-11,13317
2022-02-28,13298
2021-03-01,13204
2022-03-14,13085
2016-02-04,13071
2020-07-09,13017
2022-03-03,12996
2015-03-10,12901
2020-06-01,12770
2021-04-08,12626
2022-03-18,12596
2020-01-27,12487
2022-02-04,12284
2019-02-18,12263
2020-03-02,12195
2022-04-05,12082
2020-02-25,11700
2018-02-14,11507
2018-03-15,11347
2016-04-06,11268
2021-03-23,11188
2020-02-13,11113
2017-03-22,11098
2020-04-03,11031
2014-01-14,10764
2021-03-29,10746
2015-01-30,10613
2019-03-19,10583
2017-03-08,10577
2019-03-29,10436
2022-03-24,10412
2015-01-20,10369
2017-04-10,10094
2020-03-10,9952
2019-01-28,9923
2019-01-14,9919
2018-02-20,9888
2021-03-25,9868
2021-04-05,9861
2016-03-07,9834
2017-04-24,9834
2021-06-10,9819
2022-05-02,9776
2019-06-27,9762
2022-03-02,9693
2017-02-24,9661
2019-04-11,9634
2016-01-13,9624
2020-03-04,9561
2018-03-06,9513
2017-02-22,9477
2021-08-09,9449
2016-01-29,9449
2019-03-25,9267
2015-03-25,9229
2019-01-17,9197
2020-03-25,9178
2015-03-26,9176
2015-02-23,9168
2019-03-27,9148
2020-03-19,9130
2022-04-20,9026
2021-06-16,9006
2018-04-30,9001
2020-01-24,8946
