latitude,count
42.298493,34681
29.901036,31912
30.221255,31039
33.6878,30024
30.461981,29922
35.2401,28284
34.06659,27470
33.99958,26824
33.219069,26642
38.613779,26563
38.921847,26484
32.820061,26155
40.46542,26128
29.670025,25100
34.756189,25071
30.085263,24946
36.11094,23698
30.500642,23340
36.204902,23235
30.041238,23229
42.3295,23141
34.48974,23132
34.725352,23123
41.855243,22890
34.54166,22798
29.733726,22766
30.036422,22730
29.834167,22713
35.1343,22391
34.63782,22098
34.25239,22094
40.736389,22039
41.492117,21769
32.80581,21750
42.876907,21726
38.683304,21689
30.315406,21610
34.403052,21508
33.503833,21467
34.276316,21417
38.612034,21408
29.767997,21280
34.52744,21253
39.297733,21170
34.19925,21120
42.348873,21053
32.631242,21014
34.06703,21014
40.73614,20972
31.768286,20899
34.05111,20892
35.750735,20890
34.1365,20856
34.5959,20824
31.765685,20776
32.842318,20490
34.1326,20407
39.117219,20343
38.74643,20335
34.46245,20308
38.56844,20232
35.503587,20196
39.310833,20193
42.19438,20081
35.345607,20075
36.332179,20046
33.85275,19995
37.950741,19981
34.14435,19977
37.488317,19934
42.474642,19917
33.67649,19844
36.819449,19814
34.10002,19795
34.106678,19732
34.10374,19672
39.138773,19639
39.739444,19611
36.841592,19602
36.705474,19558
35.856111,19551
36.597442,19520
41.877682,19478
32.67618,19451
33.92513,19430
30.700895,19366
35.356615,19296
43.608056,19269
37.281853,19256
40.462182,19206
38.302591,19029
42.108992,18877
41.841039,18818
47.568236,18718
38.895572,18716
32.676451,18658
45.13768,18467
38.53445,18386
41.784722,18350
37.348497,18259
34.44551,18142
37.55652,17965
30.039524,17821
36.31567,17709
39.12886,17640
33.217055,17507
32.791194,17482
42.139996,17449
33.92086,17402
37.482934,17311
37.765946,17286
37.97231,17190
38.102507,17165
37.936013,17155
29.695729,17104
34.89398,17036
38.006311,17019
36.867125,17006
39.525083,16993
44.77553,16972
29.275381,16956
35.477036,16918
44.76323,16896
41.530011,16834
46.933754,16754
33.67464,16653
32.919206,16632
32.378696,16548
35.03146,16526
47.185833,16468
41.606662,16201
41.825556,16151
35.49158,16140
33.127769,16074
43.54792,16057
40.720989,15964
35.614131,15909
36.694261,15878
30.419805,15872
32.344027,15840
40.008889,15799
31.746775,15767
41.965193,15752
37.28342,15731
38.8577,15709
46.825425,15668
29.863957,15606
33.588545,15578
32.98426,15574
32.564968,15507
32.552164,15501
34.17605,15218
32.29515,15196
38.71209,15142
42.99328,15128
41.182227,15092
39.70595,15000
33.82376,14999
32.669001,14906
29.583047,14836
42.43084,14818
29.802707,14813
43.060975,14804
34.38344,14778
35.63348,14742
37.47689,14672
29.520443,14665
42.340251,14664
30.350302,14652
44.6522,14594
38.583226,14533
40.146667,14530
37.34438,14476
32.65637,14473
33.83062,14436
40.309722,14381
41.7514,14378
41.442778,14377
38.310942,14348
37.10258,14292
39.838119,14289
40.747796,14289
38.85287,14278
34.942872,14158
39.965278,14119
39.835556,14001
38.656429,13986
47.400624,13899
37.702066,13888
40.74316,13859
42.14175,13858
27.96565,13851
40.816,13835
43.561043,13770
33.153088,13766
33.9285,13764
36.78538,13743
47.298611,13730
32.836461,13717
40.787628,13674
36.781333,13628
37.687526,13625
39.751184,13608
35.77417,13559
39.104686,13506
30.400194,13499
39.303174,13474
32.482083,13448
39.757371,13332
29.043759,13311
37.780776,13272
32.79222,13251
38.872546,13245
41.3014,13228
38.06503,13211
45.496641,13199
44.4762,13188
44.37705,13165
39.055277,13128
42.263955,13025
37.05822,12939
41.118333,12911
30.593978,12881
47.5812,12852
34.510961,12759
29.254474,12749
29.758889,12664
30.229653,12660
37.13678,12617
39.02473,12580
30.262604,12520
47.325006,12505
37.30389,12334
30.378287,12216
33.95507,12214
40.628056,12194
33.92899,12123
35.208295,12086
48.64193,12077
40.253611,12055
37.011894,11940
42.984173,11897
42.211774,11842
40.283092,11798
37.9604,11765
42.7907,11748
29.686389,11612
29.979958,11602
42.719,11524
29.632058,11470
31.787885,11466
31.796218,11462
36.809735,11450
37.682635,11444
34.669739,11396
36.796667,11358
41.677667,11316
40.75912,11292
38.443503,11260
41.603159,11220
29.993519,11215
40.8679,11117
46.696431,11110
33.553056,11020
36.742227,10980
35.551868,10961
32.380118,10910
32.726656,10838
43.74561,10826
35.385574,10824
43.660246,10810
38.47753,10800
44.097074,10738
40.902967,10657
33.845741,10647
26.087567,10642
30.204218,10638
40.811389,10561
38.135882,10522
37.743065,10509
25.732878,10490
35.36631,10450
34.01029,10446
42.790268,10401
32.498392,10399
42.529999,10386
35.197288,10376
32.175417,10376
