local_site_name,count
QUABBIN RES,34681
COOK COUNTY TRAILER,32838
Houston Aldine,31912
Hawthorne,31671
Bayou Plaquemine,31039
South DeKalb,30024
Capitol,29922
Garinger High School,28284
Dallas Hinton,27607
Los Angeles-North Main Street,27470
Rubidoux,26824
Denton Airport South,26642
Sacramento-Del Paso Manor,26563
MCMILLAN  NCore-PAMS,26484
Lawrenceville,26128
Hattie Avenue,25122
Houston Deer Park #2,25100
PARR,25071
West Orange,24946
Port Allen,23340
NORTH TULSA - FIRE STATION#24,23235
Kenner,23229
DUDLEY SQUARE ROXBURY,23141
Los Flores Canyon #1,23132
Lompoc HSP,23123
Fort Worth Northwest,23105
Carpinteria,22954
Paradise Road,22798
Clinton,22766
Beaumont Downtown,22730
Lang,22713
DEL NORTE HIGH SCHOOL,22391
El Paso UTEP,22306
Lompoc H Street,22098
El Rio-Rio Mesa School #2,22094
Pomona,21744
BUFFALO,21726
Folsom-Natoma St.,21689
GT Craig NCore,21651
French Settlement,21610
Azusa,21586
JLG SUPERSITE,21467
Simi Valley-Cochran Street,21417
IEPA-RAPS TRAILER,21408
Houston East,21280
Nojoqui,21253
Oldtown,21170
Pasadena,21135
Reseda,21120
BOSTON KENMORE SQ,21053
Chula Vista,21014
QUEENS COLLEGE 2,20972
West Los Angeles,20892
STILWELL,20890
VAFB South Base,20824
El Paso Chamizal,20776
Alpine,20490
JFK,20343
Roseville-N Sunrise Ave,20335
El Capitan,20308
Sacramento-1309 T Street,20232
Shafter,20196
Essex,20193
WESTOVER AFB,20081
Edison,20075
Visalia-Church,20046
Palm Springs,19995
Stockton-Hazelton,19981
Glendora,19977
Turlock,19934
LYNN WATER TREATMENT PLANT,19917
Lake Elsinore,19844
Clovis-Villa,19814
Fontana,19795
San Bernardino,19732
Upland,19672
Yuba City,19639
MLK  CORNER OF MLK BLVD AND JUSTISON ST,19611
Fresno-Sky Park,19602
Fresno-Drummond,19558
Millbrook School,19551
Parlier,19520
CTA BUILDING,19478
Calexico-Ethel Street,19451
La Habra,19430
Pride,19366
Bakersfield-California,19296
State of Vermont District Court Parking Lot,19269
Merced-Coffee,19256
Rutgers University,19206
Elk Grove-Bruceville,19029
LIBERTY ST PARKING LOT,18877
 FRANCIS SCHOOL East Providence,18818
SEATTLE - BEACON HILL,18718
RIVER TERRACE,18716
Dallas Redbird Airport Executive,18658
Anoka County Airport,18467
Davis-UCD Campus,18386
McAuliffe Park,18350
San Jose - Jackson,18259
Goleta,18142
MathScience Innovation Center,17965
Northwest Harris County,17821
Hanford-Irwin,17709
Camp Pendleton,17507
El Cajon,17482
Taft NCore,17460
NORTHBROOK WATER PLANT,17449
Banning Airport,17402
Redwood City,17311
San Francisco,17286
IEPA TRAILER,17230
San Rafael,17190
Vallejo,17165
Concord,17155
Indpls.- E. 16th St.,17107
Houston Bayland Park,17104
Barstow,17036
Bethel Island,17019
Madera-Pump Yard,17006
Reno3,16993
Flint Hills Refinery 423,16972
Calaveras Lake,16956
OKC CENTRAL-OSDH,16918
Flint Hills Refinery 420,16896
"DAVENPORT, JEFFERSON SCH.",16834
FARGO NW,16754
Near Road,16659
Costa Mesa,16653
Dallas North #2,16632
Longview,16548
Nipomo Regional Park (NRP),16526
HANNOVER,16468
Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker,16201
Rockefeller Library,16151
Atascadero (original site),16140
Escondido,16074
SD School for the Deaf,16057
Newark Firehouse,15964
OKC NORTH,15909
Salinas 3,15878
LSU,15872
Tyler Airport Relocated,15840
Air Management Services Laboratory (AMS LAB),15799
Ascarate Park SE,15767
East Vinton Elementary School,15731
Aurora Hills Visitors Center,15709
BISMARCK RESIDENTIAL,15668
Hamshire,15606
Conyers,15578
Grapevine Fairway,15574
Kaufman,15507
Otay Mesa,15501
Burbank,15218
CHILDREN'S PARK NCore,15196
North Highlands-Blackfoot,15142
AMHERST,15128
Cheyenne NCore,15092
Piney Run,15000
Long Beach (North),14999
Karnack,14906
Seabrook Friendship Park,14836
East 7 Mile,14818
Channelview,14813
MILWAUKEE - SER DNR HDQRS,14804
Harrison,14783
Santa Clarita,14778
Great Smoky Mountains NP - Look Rock,14742
PECK,14672
Manvel Croix Park,14665
531A EAST FIRST STREET,14664
Conroe Relocated,14652
Thunder Basin,14594
TAKOMA SCHOOL,14533
Shirley Plantation,14476
Arlington Municipal Airport,14473
Anaheim,14436
COM ED MAINTENANCE BLDG,14378
A420692006LAT/LON POINT IS AT CORNER OF TRAILER,14377
Napa,14348
UTE 3,14292
Welby,14289
James S. Long Park,14278
Santa Maria,14158
A421330008LAT/LON POINT AT CORNER OF TRAILER,14119
A420450002LAT/LON POINT IS OF CORNER OF TRAILER,14001
Blair Street,13986
6493 FIRST STREET SW,13899
WICHITA HD,13888
EISENHOWER PARK,13859
SYDNEY,13851
IS 52,13835
CETL - Cape Elizabeth Two Lights (State Park),13770
Greenville,13766
"Yorkville, King Farm",13764
Fresno - Garland,13743
BEULAH NORTH,13730
