longitude,count
-72.334079,34681
-95.326137,31912
-91.315418,31039
-84.2905,30024
-91.179219,29922
-80.785683,28284
-96.860117,27607
-118.22688,27470
-117.41601,26824
-97.196284,26642
-121.368014,26563
-77.013178,26484
-79.960757,26128
-95.128508,25100
-92.281296,25071
-93.761341,24946
-80.224501,23698
-91.213556,23340
-95.976537,23235
-90.272826,23229
-71.0826,23141
-120.04692,23132
-120.428717,23123
-119.457914,22954
-87.75247,22890
-119.79146,22798
-95.257593,22766
-94.071061,22730
-95.489167,22713
-106.5852,22391
-120.4575,22098
-119.143182,22094
-111.872222,22039
-81.678449,21769
-97.356529,21750
-117.7514,21744
-121.164457,21689
-90.811383,21610
-117.92391,21586
-112.095767,21467
-118.683685,21417
-90.160477,21408
-95.220582,21280
-120.1965,21253
-76.604603,21170
-118.1272,21135
-118.53276,21120
-78.809526,21088
-71.097163,21053
-117.059088,21014
-73.82153,20972
-106.501243,20899
-118.45636,20892
-94.669697,20890
-120.631315,20824
-106.455227,20776
-116.768293,20490
-94.635605,20343
-121.26498,20335
-120.02551,20308
-121.49311,20232
-119.272606,20196
-72.555112,20081
-118.851825,20075
-119.291228,20046
-116.54101,19995
-121.268523,19981
-117.85036,19977
-120.836008,19934
-70.970816,19917
-117.33098,19844
-119.716433,19814
-117.49201,19795
-117.274063,19732
-117.62914,19672
-121.618549,19639
-75.558056,19611
-119.874739,19602
-119.741332,19558
-78.574167,19551
-119.503659,19520
-76.474444,19518
-87.635027,19478
-115.48307,19451
-117.95264,19430
-91.056068,19366
-119.062613,19296
-72.982778,19269
-120.433671,19256
-74.429439,19206
-121.420838,19029
-72.590803,18877
-71.36097,18818
-122.308628,18718
-76.958072,18716
-96.87206,18658
-93.207615,18467
-121.7734,18386
-72.631667,18350
-121.894898,18259
-119.8284,18142
-77.40027,17834
-95.673951,17821
-119.643447,17709
-84.50404,17640
-117.396177,17507
-116.942092,17482
-87.799227,17449
-116.85841,17402
-122.20337,17311
-122.399044,17286
-122.520004,17190
-122.237976,17165
-122.026154,17155
-95.499219,17104
-117.024804,17036
-121.641918,17019
-120.010158,17006
-119.807717,16993
-93.06299,16972
-98.311692,16956
-97.494309,16918
-93.03255,16896
-90.587611,16834
-96.85535,16754
-117.92568,16653
-96.808498,16632
-94.711813,16548
-120.50103,16526
-101.428056,16468
-87.304943,16201
-71.405278,16151
-120.66804,16140
-117.075086,16074
-96.700769,16057
-74.192892,15964
-97.475083,15909
-121.623271,15878
-91.182016,15872
-95.415754,15840
-75.09778,15799
-106.402806,15767
-87.876265,15752
-79.88452,15731
-77.05922,15709
-100.76821,15668
-94.317802,15606
-84.069608,15578
-97.063721,15574
-96.317687,15507
-116.937772,15501
-118.31712,15218
-110.9823,15196
-121.38109,15142
-78.77153,15128
-104.778334,15092
-79.012,15000
-118.18921,14999
-94.167468,14906
-95.015544,14836
-83.000138,14818
-95.125495,14813
-87.913504,14804
-118.5284,14778
-83.941606,14742
-97.366399,14672
-95.392509,14665
-71.03835,14664
-95.425128,14652
-105.2903,14594
-79.902222,14530
-77.25925,14476
-97.088598,14473
-117.93845,14436
-78.915,14381
-87.713488,14378
-75.623056,14377
-122.296189,14348
-107.870219,14292
-80.316442,14289
-104.94984,14289
-77.63462,14278
-120.435611,14158
-76.699444,14119
-75.3725,14001
-90.198348,13986
-101.929099,13899
-97.314847,13888
-73.58549,13859
-80.038611,13858
-82.2304,13851
-73.902,13835
-70.207324,13770
-96.115572,13766
-85.04534,13764
-119.77321,13743
-101.766944,13730
-117.128752,13717
-77.1219,13708
-74.676301,13674
-119.77319,13628
-121.784217,13625
-104.987625,13608
-117.3714,13559
-94.57079,13506
-91.42511,13499
-94.377014,13474
-97.026899,13448
-121.843286,13332
-95.472946,13311
-87.075307,13272
-115.56306,13251
-90.226488,13245
-72.902871,13228
-84.49761,13211
-122.602877,13199
-73.2106,13188
-68.2609,13165
-76.878333,13128
-71.794322,13025
-88.57251,12939
-73.336667,12911
-91.251943,12881
-103.2995,12852
-117.32554,12759
-94.861289,12749
-95.079444,12664
-90.965628,12660
-107.62863,12617
-77.48925,12580
-93.285084,12520
-101.76628,12505
-107.484167,12334
-88.53393,12216
-118.43049,12214
-75.341111,12194
-118.21071,12123
-118.785374,12086
-102.4018,12077
-111.663056,12055
-122.194413,11940
-85.671339,11897
-71.11397,11842
-74.742613,11798
-122.356811,11765
-110.0551,11748
-95.294722,11612
-94.004746,11602
-109.753,11524
-98.564936,11470
-106.683324,11466
-106.584434,11462
-107.652192,11450
-121.442495,11444
-118.130511,11396
-108.473138,11358
-108.024835,11316
-73.96661,11292
-122.710169,11260
-93.643118,11220
-90.10155,11215
-73.87809,11117
-68.033006,11110
-86.815,11020
-107.977567,10980
-80.395039,10961
-104.262726,10910
-103.122917,10838
-101.941218,10826
-119.015009,10824
-70.268965,10810
