method_name,count
INSTRUMENTAL - CHEMILUMINESCENCE,4482057
INSTRUMENTAL - GAS PHASE CHEMILUMINESCENCE,1962574
Instrumental - Chemiluminescence Teledyne API 200 EU/501,485396
"Instrumental - Chemiluminescence Thermo Electron 42C-Y, 42i-Y",367777
LOW LEVEL NOX INSTRUMENTAL - TECO 42S CHEMILUMINESCENCE,162211
Instrumental - Chemiluminescence,136531
Instrumental - Gas Phase Chemiluminescence,116289
Teledyne-API Model 200EUP or T200UP - Photolytic-Chemiluminescence,90276
Instrumental - Chemiluminescence Ecotech EC9843,43932
Instrumental - Chemiluminescence Ecotech EC9841T,15804
INSTRUMENTAL - GAS-PHASE CHEMILUMINESCENCE,5441
Teledyne-API Model T200P Chemiluminescence - Photolytic-Chemiluminescence,2559
Instrumental - Teledyne API - Model N500 - Cavity-Attenuated Phase-Shift (CAPS) spectroscopy Nitrogen Oxides Analyzer,1984
