site_num,count
0002,397371
0003,296596
0001,272048
0005,255591
0004,233909
0007,218515
0006,177807
0008,173569
0009,172235
1002,151859
0012,143795
0010,142771
1004,131186
0014,130819
0011,124408
1001,113347
3001,111344
4002,107319
1003,105596
5001,102985
2002,101381
0016,91784
0020,89253
0021,78638
0022,73172
0023,65783
0015,65588
0034,65088
0013,62356
0041,62094
0100,58657
0040,57930
0024,55448
0075,51932
1005,50385
8001,47486
0018,46413
1008,46171
2004,45839
0027,45288
0101,42554
0080,41633
0026,41353
1006,39305
0017,38821
0055,37723
0030,37279
0019,36514
1010,35470
0025,35345
2006,35106
0124,34871
2003,34663
1035,34368
0029,34205
1034,34029
2005,33501
0037,32175
1016,31344
3002,30883
1037,30863
0113,30574
1007,29966
6001,29723
0042,29465
0043,29000
0044,28765
9004,28748
4001,28532
1021,28366
1014,28090
0069,27607
1103,27470
0099,26032
0073,26019
0078,25293
1039,25100
1013,24965
9001,24851
1011,24083
0047,23721
1127,23235
1025,23132
1018,22747
0033,22392
0087,22118
3006,22039
2007,21818
4003,21799
0060,21769
1701,21744
9997,21467
7003,21452
1201,21120
9009,20890
9991,20816
3003,20730
0063,19702
0242,19602
0056,19602
0031,19137
0076,19010
0032,18770
1015,18584
0048,18459
5005,18408
0102,18315
2011,18305
0232,17752
4201,17449
0200,17382
0423,16972
0059,16956
9003,16429
7001,16391
4004,16073
3103,15752
8002,15630
3009,15574
1028,15196
0103,15149
1050,14836
6012,14778
0123,14594
3011,14473
0085,13986
0110,13835
1234,13559
0046,13528
0094,13470
1024,12939
0306,12759
1301,12123
9002,11742
0416,11612
0052,11470
0045,11462
3005,11444
9033,11396
6011,11179
0133,11117
1100,11110
0035,11041
1601,10889
0892,10738
1012,10582
1602,10446
1044,10376
2001,10245
0456,10218
0098,10186
1123,10124
0050,9873
8005,9824
9014,9580
0097,9424
1302,9404
4005,9148
0301,9097
0058,9070
0501,8996
1051,8943
1017,8808
1019,8742
8003,8662
0051,8655
6004,8449
0300,8448
0057,8311
0083,8216
9021,8202
0036,7925
0801,7794
0700,7722
0086,7601
0540,7436
0401,7386
0093,7282
1020,7186
2601,7148
0028,6981
1026,6916
4000,6848
2012,6828
7011,6803
7022,6766
4006,6748
1027,6564
0067,6550
0064,6346
1065,6332
0900,6317
1022,6242
5200,6204
0038,6142
1101,6079
1069,5836
1066,5800
9010,5789
1068,5750
3101,5704
2059,5558
1067,5548
1376,5496
0108,5336
3013,5322
0962,5100
1053,5059
0901,5041
0072,5034
0174,5033
0864,4958
4008,4858
1009,4770
1052,4694
6013,4682
6006,4605
6005,4580
6009,4467
0480,4450
0191,3887
0905,3760
7002,3729
7004,3629
0104,3529
0614,3472
5010,3389
6018,3384
0539,3325
0039,3322
0095,3258
3010,3110
0081,3034
0819,2961
1047,2832
6002,2720
5002,2710
0132,2690
0953,2667
0066,2563
0049,2452
0561,2441
2009,2434
0524,2420
7416,2367
9993,2346
0957,2272
0557,2254
1030,2242
0167,2121
8000,2112
0125,2103
9015,1964
0601,1951
9005,1854
3015,1836
0070,1772
0622,1764
0106,1600
1070,1586
1038,1586
0613,1549
1000,1504
2401,1458
4010,1452
4009,1450
0206,1427
0089,1420
3014,1384
0071,1350
0902,1298
1111,1220
0563,1171
7015,1146
0552,1143
0185,1081
5632,1040
3016,1024
4012,974
6003,910
0417,858
0800,854
0065,846
5601,730
0234,670
5003,617
0068,598
1041,490
0441,489
0789,480
0647,457
0243,454
5302,450
0244,444
0152,422
9994,416
0153,414
1501,236
6316,214
5253,202
0160,200
1036,180
3601,180
3102,180
0217,172
0428,156
0062,96
2022,92
9035,62
