state_code,count
06,2133057
48,859342
42,343235
22,286808
25,267612
56,221143
08,188163
36,186882
51,185913
49,180516
17,178177
37,159953
40,147933
29,145265
38,144030
12,126937
35,123914
18,116460
21,112698
34,112559
39,106219
26,103354
24,92522
13,90667
09,78992
27,76725
11,75265
80,75156
23,72344
32,71522
20,70062
04,65635
55,62190
47,61051
30,55189
46,51326
19,47791
53,45937
44,45881
50,45197
05,43906
10,33234
28,30098
16,24407
33,22875
01,22552
41,19789
54,17396
45,16837
02,10286
31,8186
72,5305
15,4338
