state_name,count
California,2133057
Texas,859342
Pennsylvania,343235
Louisiana,286808
Massachusetts,267612
Wyoming,221143
Colorado,188163
New York,186882
Virginia,185913
Utah,180516
Illinois,178177
North Carolina,159953
Oklahoma,147933
Missouri,145265
North Dakota,144030
Florida,126937
New Mexico,123914
Indiana,116460
Kentucky,112698
New Jersey,112559
Ohio,106219
Michigan,103354
Maryland,92522
Georgia,90667
Connecticut,78992
Minnesota,76725
District Of Columbia,75265
Country Of Mexico,75156
Maine,72344
Nevada,71522
Kansas,70062
Arizona,65635
Wisconsin,62190
Tennessee,61051
Montana,55189
South Dakota,51326
Iowa,47791
Washington,45937
Rhode Island,45881
Vermont,45197
Arkansas,43906
Delaware,33234
Mississippi,30098
Idaho,24407
New Hampshire,22875
Alabama,22552
Oregon,19789
West Virginia,17396
South Carolina,16837
Alaska,10286
Nebraska,8186
Puerto Rico,5305
Hawaii,4338
