address,count
"542 Wesley-Miller Rd, Harrodsburg, KY 40330",21051
ROCKY MOUNTAIN NP,19080
GREAT SMOKY MOUNTAINS NP LOOK ROCK,11976
"REMOUNT ROAD N. LITTLE ROCK, ARKANSAS",11842
"4110 DE LUCCI LANE, RENO NV 89502",11830
"750 4TH ST, SPARKS, NV 89431",11825
PIKE AVE AT RIVER ROAD,11823
1425 Airport Drive,11798
HAGOOD ROAD,11791
2956-A TREAT BOULEVARD,11751
152 Anthony F. Monica Street,11747
"5400 COCHRAN STREET, SIMI VALLEY, CA  93063",11746
"545 CENTRAL AVENUE, OXNARD, CA  93030",11742
897 BARRON AVE.,11737
10 ARKANSAS ST.,11734
"12101 N CAMINO DE OESTE, TUCSON",11727
534 4TH ST.,11723
304 TUOLUMNE ST.,11721
"1237 S. BEVERLY , TUCSON",11708
EAST END OF ASTER LANE,11705
100 West Temple Pl,11702
GLACIER NATIONAL PARK,11696
Hwy 415,11694
HIGHWAY 27 AND HIGHWAY 108,11679
ELLYSON INDUSTRIAL PARK-COPTER ROAD,11674
"900 AIRPORT RD., SANTA YNEZ",11670
"Southwest Purdue Agricultural Center, Vincennes, IN 47591",11662
"325 PATRICIAN DR, LEMMON VALLEY, NV 89506",11661
"1005 Northwest Drive, Port Allen",11659
"GRAND CANYON NATIONAL PARK, W RIM DRIVE",11656
"3905 S. OLD SPANISH TRAIL, SAGUARO PARK EAST",11653
5551 BETHEL ISLAND RD,11650
"213 S. Denning Ave, Winter Park, FL 32789",11650
"2200 East Lake Rd, Palm Harbor, FL 34865",11642
"621 W. LAMBERT, LA HABRA",11640
"601 E BUTLER DR & N 6TH ST,PHOENIX",11639
"ST. JAMES COURTHOUSE, HWY 44 @ CANATELLA",11634
 2435 SHARKEY RD.CLEARWATER,11633
"803 N. LOREN AVE., AZUSA",11631
"21 Cunningham St, Pensacola, FL 32508",11629
708 S. Mason St.,11627
"11330 S HOUGHTON, TUCSON",11627
LOUDONVILLE RESERVOIR  300 ALBANY SHAKER RD,11625
1979 Fairview Rd,11615
"7048 McNutt, La Union, NM",11614
"USDA Northern Research Station, Monongahela National Forest, Parsons, WV 26287",11611
"24302 4TH ST., SAN BERNARDINO, CA.",11610
"2300 VICTORIA DR., ALPINE",11609
1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,11604
"1309 T ST., SACRAMENTO, CA. 95814",11604
"7200-22 Avenue N., St. Petersburg, FL 33710",11600
4401 1/2 Lang Rd,11598
190 Taft Dr.,11597
4700A SAN MATEO NE,11592
"924 N. GAREY AVE., POMONA",11591
"MORRO BAY BLVD & KERN AVE, MORRO BAY",11590
Corpus Christi State School (Airport Rd),11590
"EAST FARMINGDALE WATER DIST., 72 GAZZA BLVD.",11590
"17288 OLIVE ST., HESPERIA",11588
35 Ford Road,11586
"1630 N MAIN ST, LOS ANGELES",11585
"3311 Manor St, Oildale CA 93308",11582
"84 E. 'J' ST., CHULA VISTA",11581
"Northeast entrance, Pinnacles National Park",11576
FAA Site off Alta Vista Road,11574
LFC #1-LAS FLORES CANYON,11574
"FS-590 RACQUET CLUB AVE, PALM SPRINGS",11570
"LAKE GREGORY-LAKE DR, CRESTLINE",11570
3847 W EARLL DR-WEST PHOENIX STATION,11568
PARADISE RD-LOS PADRES National Forest,11568
"128 S 'H' ST, LOMPOC",11565
"JOHNSON FARM, EDISON, CA. 93320",11556
9726 1/2 Monroe,11556
2401 19th Avenue Northwest,11554
"Department of Public Works Bldg. #1, 50 North Road",11553
"840 LAUREL, GLENDORA",11553
"Athletic Fields, off of 2083 Lawrenceville Road",11551
"310 N CHURCH ST, VISALIA",11550
9525 1/2 Clinton Dr,11549
"1350 SAN BERNARDINO RD., UPLAND",11546
"MANZANITA LAKE RS, LASSEN VOLCANIC NP",11544
"14360 ARROW BLVD., FONTANA",11535
3317 Ross Ave,11533
"HS & P FACILITY-500 M SW, LOMPOC",11533
QUABBIN SUMMIT,11533
DENALI NATIONAL PARK,11531
"9240 S. RIVERBEND, PARLIER 93648",11530
2501 E. Memorial Rd.  (OKLAHOMA CHRISTIAN UNIVERSITY),11530
"155 Columbia Dr, Tampa FL 33606",11530
"814 14TH ST., MODESTO",11529
"Raritan Township Municipal Utilities Authority, 365 Old York Road",11527
"5888 MISSION BLVD., RUBIDOUX",11527
"548 WALKER ST., SHAFTER, CA., 93263",11526
7330 1/2 North Wayside,11525
1086 Vermont Avenue,11525
"18330 GAULT ST., RESEDA",11519
"HAZELTON-HD, STOCKTON",11518
"747 Winding Rd, Biglerville, PA 17307",11518
"Hubbard Brook Experimental Forest, North Woodstock, NH 03262",11517
"284-300 Broadmoor Rd., Lake Mary, FL 32773",11515
CHIRICAHUA NATIONAL MOUMENT,11512
"7000 N. Ocean Drive, Dania, FL 33004",11505
"1366 Tadpole Rd, Pennsylvania Furnace, PA 16865",11504
400 SOUTH 4TH STREET,11502
502 EAST 144TH. PL.,11497
"600 Oak Street, Bernalillo, NM",11495
2857 N MILLER RD-S SCOTTSDALE STN,11492
13826 1/2 Croquet,11491
"500 N. DEARBORN, REDLANDS, CA. 92373",11483
SHENANDOAH NP BIG MEADOWS,11479
9860 La Branch,11472
"773 ALMOND ST, YUBA CITY",11466
"HEALTH DEPT., 1900 EAST 9TH ST.",11464
"GOBERNADOR RD, CARPINTERIA",11463
3174 E. 78TH AVE.,11462
6655 Bluebird Lane,11459
"VA HOSPITAL, WEST LOS ANGELES",11455
 S. E. 19TH STREET,11450
"5121 Gandy Blvd, Tampa, FL 33611",11448
"BEEKLEY & PHELAN RDS, PHELAN",11446
GREAT SMOKY MOUNTAIN NP COVE MOUNTAIN,11444
"Ecology Research Center, Miami University, Oxford, Ohio 45056",11439
"WHITE PLAINS PUMP STATION,  240 ORCHARD STREET",11435
"AUDUBON GOLF COURSE, 450 MAPLE ROAD",11434
"USDA Southern Research Station, Coweeta Hydrologic Laboratory, Otto, NC 28763",11429
LH POLK AND COLONIAL DRIVE,11417
Behind 4401 S. Main Road,11406
2700 Austin Ave,11398
"45 Radar Rd, Ashland, ME 04732",11392
"Roosevelt National Forest, Centennial, WY 82055",11392
"SIERRA SKYPARK#2-BLYTHE & CHNNLT, FRESNO",11392
Gregg Co Airport near Longview,11388
"46-990 JACKSON ST., INDIO",11386
19590 OLD CUTLER RD-PERDUE MED. CENTER,11385
16822 Kitzman,11381
"Gunnison National Forest, Crested Butte, CO 81224",11363
13333 LANIER RD.,11360
"752 S. WILSON AVE., PASADENA",11355
3824 North Hills Drive,11355
"Apalachicola National Forest, Bristol, FL 32321",11352
"DEL PASO-2701 AVALON DR, SACRAMENTO",11347
250 Rim Rd,11346
"237 1/2 N. 'D' ST., PERRIS",11333
"Hamilton Rd, Lagro, IN 46941",11330
"4706 E. DRUMMOND ST., FRESNO",11327
2200 N. 22ND,11318
"Edgar Evans State Park, Smithville, TN 37166",11316
"Washington Crossing State Park, Titusville, NJ 08560",11313
"200 E. BUENA VISTA, BARSTOW",11312
623 Ellias Street,11307
"Sand Mountain Alabama Agricultural Experiment Station, Crossville, AL 35962",11306
"4600 Rickenbacker Causeway, Miami, FL 33149",11297
"Pisgah National Forest, Newland, NC 28657",11292
1951 NE 48TH ST,11287
"5403 State Road 160, Highland, IL 62249",11274
"UC DAVIS-CAMPUS, CAMPBELL ROAD WEST OF HIWAY 113 & SOUTH OF HUTCHISON DRIVE.",11270
"Laurel Hill State Park, Rockwood, PA 15557",11270
4510 1/2 Aldine Mail Rd,11267
"Deer Creek State Park, Mt Sterling, OH 43143",11255
"1821 E. Dickerson Rd, Unionville, MI 48767",11255
GRANT-ASHTON ROADS PHILA NE AIRPORT,11248
HURLBURT & MACARTHUR,11239
"W 10746 County Highway M, Medford, WI 54451",11235
54 N. WALCOTT,11228
8901 LOWELL NE,11224
"Maurice K Goddard State Park, Sandy Lake, PA 16145",11215
1415 Hinton Street,11214
"Georgia Station Georgia Agricultural Experiment Station, Williamson, GA 30292",11202
665 DUNDEE RD.,11202
"Cedar Creek State Park, Cedarville, WV 26611",11201
"Kane Experimental Forest, Allegheny National Forest, Wilcox, PA 15870",11195
"Veterans Park, Park Road at end of W. 25th St.",11194
"7823 BLACKFOOT WAY, NORTH HIGHLANDS",11173
13TH & TUDOR,11162
"10070 Strawberry Lake Rd, Dexter, MI 48130",11156
24301 N ALMA SCHOOL RD,11138
"Lower Lake Recreation Area, Caddo Valley, AR 71923",11137
"908 N VILLA AVE, CLOVIS",11136
"Skyline Dr, Pinedale, WY 82941",11133
"718 Russell Hill Rd, Speedwell, TN 37870",11132
"Connecticut Hill Wildlife Management Area, Newfield, NY 14867",11130
"Forest Road, VILLAGE OF MILLBROOK, Inst of Ecosystem Studies",11130
"Jamie L. Whitten Plant Materials Center, Coffeeville, MS 38922",11125
PISECO LAKE AIRPORT,11124
1405 MAPLE AVE.,11121
1039 SAND ISLAND PARKWAY,11083
600 Dorsey Avenue,11080
ANDERSON RD AFB,11072
"Wilmington, BASE WHITEFACE MTN, ASRC, SUNY",11053
"Powder Mill Rd, Laurel, MD 20708",11033
"TURTLEBACK DOME, YOSEMITE NATL' PK 95389",11032
"BIG BEND NATIONAL PARK, TEXAS",11029
"Prince Edward-Gallion State Forest, Burkeville, VA 23922",11015
FIRST ST. & THREE OAKS RD.,11010
"755 Stanislaus St., Maricopa CA 93352",11007
"2323 Moorpark Road, Thousand Oaks, CA  91360",11001
SARATOGA NATIONAL HISTORICAL PARK,10994
8311 PARKLANE ROAD [Parklane],10975
"136 Perry Dr, Candor, NC 27229",10972
"MARK TWAIN STATE PARK: 20057 State Park Office Road, Stoutville, MO 65283",10960
106 Mockingbird Lane,10943
"3452 DARLINGTON RD., HOLIDAY",10928
"506 W FLINT ST, LAKE ELSINORE",10899
1061-A Leesville Ave,10866
"1185-A DUNN AVE., DAYTONA BEACH",10834
"385 S. COFFEE AVENUE, MERCED, CA 95340",10817
2727 SHEPHERD RD (JAMES W. SIKES ELM SCH,10812
660 WOODYARD ROAD [Trenton],10802
" 201 CLINTON ROAD, JACKSON, CA 95642",10801
"1015 SIKES BLVD., LAKELAND",10784
"7055 WINEGARD RD., ORLANDO",10769
HWY 16,10743
6590 Hillcrest Road,10739
2210-B Bellow Road,10736
" 251 S BARRETTA, SONORA, CA 95370",10726
"301 A STATE STREET, RENO, NV 89502",10723
800 S San Marcial Street,10716
16627 Pemilloux Ln@ Hwy 16,10703
16600 W COLO #128,10695
1575 HIGHWAY 31,10680
"Wilmington, SUMMIT, WHITEFACE MTN,  WEATHER STATION",10665
8100 S. UNIVERSITY BLVD,10651
9399 Lima St,10650
"5895 ENTERPRISE PARKWAY,",10645
"235 SANTA FE AVENUE, PASO ROBLES, CA",10644
11153 Kling Road,10640
306 UNIVERSITY AVE.,10610
" 3111 GOLD NUGGET WAY, PLACERVILLE, CA",10604
"GTC B-HWY 101 NEAR NOJOQUI PASS, GAVIOTA",10597
"EL CAPITAN ST PRK, HWY 10",10591
1262 1/2 Mae Drive,10589
"1856 Horton Ln, Newport, VA 24128",10551
301 Spring Garden Road,10545
" 900 S MINARET STREET, TURLOCK, CA",10535
" 151 NO SUNRISE BLVD, ROSEVILLE, CA",10532
390 BULLS ISLAND ROAD (AWENDAW) [Cape Romain],10528
"CANYONLANDS NATIONAL PARK, UTAH",10525
HEATON & DUBOIS,10491
NE 10TH & STONEWALL,10487
RT. 53,10482
531 E. LINCOLN,10473
508 E. GLEN AVE.,10453
65180 Belleview Road,10424
HICKORY GROVE & FALLVIEW,10407
750 DUNDEE ROAD,10397
" 12490 BRUCEVILLE RD, ELK GROVE, CA",10380
"150 9TH ST., EL CENTRO",10369
12400 W. HWY 285,10349
"301 39th St, Pittsburgh, PA 15201 (Lawrenceville)",10325
GREAT BASIN NATIONAL PARK,10321
"STS POWER PLANT, VANDENBERG AFB",10311
"Shady Lane Complex, 256 County House Road",10308
"1801 Piney Point Rd., Palmetto, FL 34221",10294
2552 JEFFERSON AVE.,10256
"8706 W Irlo Bronson Memorial Hwy (SR 192), Kissimmee, FL 34747",10239
2054 QUAKER ST.,10227
"380 N FAIRVIEW AVENUE, GOLETA",10220
"Georgia Forestry Commission, 4500 Georgia Highway 53 East, Dawsonville, Georgia, 30534",10202
"MESA VERDE NATIONAL PARK, COLORADO",10181
"LOWER KAWEAH, SEQUOIA NP",10145
ROUND MOUNTAIN TOWER ROAD [Long Creek],10101
"501 GOLD STRIKE ROAD, SAN ANDREAS",10100
"DEATH VALLEY NM, DEATH VALLEY, CA",10071
390 PARKLAND,10039
" 306 E. GOBBI STREET, UKIAH, CA",10036
"2500 1ST STREET, N.W. WASHINGTON DC",10008
"530 FOOTHILL DR., YREKA",10005
"State Highway 437, West Liberty, KY 41472",9997
JOSHUA TREE NATIONAL MONUMENT,9996
3801 SPRING FOREST RD.,9972
"5558 California Ave., Bakersfield CA 93309",9971
"1029 ETHEL ST, CALEXICO HIGH SCHOOL",9961
"905 LAKEPORT BLVD., LAKEPORT",9923
1501 E. LYCOMING AVE.,9851
"4440 Ridge Road, WAYNE County Occupational CENTER, WILLIAMSON",9845
"6000 W OLIVE AVE,GLENDALE",9827
"5720 Old Dover Rd, Cadiz, KY 42211",9820
"Vegetable Farm 3, 67 Ryders Lane",9809
"200 LITTON DR.,  GRASS VALLEY, CA",9795
1 MI. NE OF IGNACIO ON COUNTY RD. 517,9793
3333 1/2 Hwy 6 South,9784
6024 HIGHWAY 200,9780
"80 Ayers Rd, Abington, CT 06230",9740
225 9th Street,9736
"278 Bisby Road, NICKS LAKE CAMPGROUND",9730
"58 HARVEY ROAD, Underhill, Vermont",9729
LUMS POND STATE PARK,9695
"11245 Port Hudson-Pride Rd. Zachary, La",9677
"2850 MESA VERDE DR EAST, COSTA MESA",9664
"CRATERS OF THE MOON NATIONAL MON, IDAHO",9662
2165 AIRPORT ROAD SW,9661
"58163 St. Johns Rd, Quaker City, OH 43773",9656
"420 34th Street N.E.,Washington, DC 20019",9621
"MIDDLEPORT STP, 3825 NORTH HARTLAND RD",9600
" 923 POOLE STREET, MOJAVE, CA 93501",9597
"10952 E. Parker Rd, Stockton, IL 61085",9585
3277 W Redbird Lane,9565
230 AIRPORT RD S.,9563
"HLTH CTR-2630 BRESLAUER WAY, REDDING",9546
"1201 E. OJAI AVENUE, OJAI, CA  93023",9521
5200 SPRUCE CREEK RD.,9505
HWY 90 OLUSTEE FOREST SERVICE OFFICE,9501
"2300-C Wildcat Road, Decatur GA 30034",9440
1100 SOUTH OSAGE DRIVE,9421
