aqi,count
31,555295
44,522297
37,312755
35,306945
38,305934
34,303849
36,301698
39,301610
33,298784
40,297356
32,293062
41,286535
42,284019
43,275224
30,265153
29,254326
28,248649
45,239892
46,235665
19,224777
27,223190
47,222324
26,215588
48,210670
25,201285
49,200532
24,186925
50,184970
51,177562
23,172915
54,165653
58,154509
22,153699
61,144223
21,143121
64,130532
20,129747
67,123312
71,113281
74,103806
77,95243
18,89411
80,86115
17,81931
84,80330
87,73415
16,70840
90,66982
15,61854
93,60804
14,53460
97,53419
100,50267
101,45950
13,44052
105,41561
12,39389
108,38042
11,33898
112,32900
115,31332
6,30242
10,29327
119,28269
9,27442
122,25617
126,23259
8,20795
129,19653
7,19067
133,18997
136,17061
140,15476
143,14187
5,12249
147,11879
150,11489
151,10378
4,9813
154,9523
156,8626
3,8434
161,7134
159,6945
2,6895
164,6286
166,5684
0,5242
169,5166
1,4645
174,4394
172,4294
177,3745
179,3551
182,3129
187,2527
185,2519
190,2324
192,2125
195,1865
200,1534
197,1459
201,1396
202,1244
203,1147
205,904
206,867
204,814
207,807
208,688
210,570
212,501
209,450
213,450
214,396
216,386
218,344
217,342
219,289
221,266
215,248
222,246
223,188
224,184
226,164
228,157
220,156
227,150
229,149
232,127
233,117
235,108
234,97
225,95
240,94
238,94
237,91
239,87
242,66
243,64
244,63
230,55
245,55
249,44
247,44
248,43
236,37
253,34
254,30
251,30
261,28
259,28
241,27
255,27
258,26
256,23
260,22
271,21
265,21
263,21
268,18
246,17
264,14
269,14
272,14
282,9
274,9
280,9
276,8
266,8
292,7
277,6
252,6
281,6
275,6
262,6
257,5
279,4
284,4
285,3
286,3
293,3
287,3
289,2
267,2
295,2
291,2
278,2
297,2
296,2
298,1
283,1
300,1
273,1
