cbsa_name,count
"Riverside-San Bernardino-Ontario, CA",253641
"Phoenix-Mesa-Scottsdale, AZ",238926
"Chicago-Naperville-Elgin, IL-IN-WI",222589
"New York-Newark-Jersey City, NY-NJ-PA",216293
"Los Angeles-Long Beach-Anaheim, CA",210834
"Houston-The Woodlands-Sugar Land, TX",209054
"Dallas-Fort Worth-Arlington, TX",176564
"Santa Maria-Santa Barbara, CA",162896
"Sacramento--Roseville--Arden-Arcade, CA",159387
"Washington-Arlington-Alexandria, DC-VA-MD-WV",156661
"St. Louis, MO-IL",153518
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",140476
"San Francisco-Oakland-Hayward, CA",134421
"Las Vegas-Henderson-Paradise, NV",120574
"Baton Rouge, LA",115749
"Denver-Aurora-Lakewood, CO",112025
"San Diego-Carlsbad, CA",108407
"Pittsburgh, PA",105814
"Tampa-St. Petersburg-Clearwater, FL",99861
"Albuquerque, NM",95764
"Miami-Fort Lauderdale-West Palm Beach, FL",90066
"Atlanta-Sandy Springs-Roswell, GA",88939
"Tucson, AZ",87756
"Bakersfield, CA",87562
"Boston-Cambridge-Newton, MA-NH",85490
"Cincinnati, OH-KY-IN",82026
"Kansas City, MO-KS",76375
"San Luis Obispo-Paso Robles-Arroyo Grande, CA",75543
"Beaumont-Port Arthur, TX",74637
"San Jose-Sunnyvale-Santa Clara, CA",74573
"Indianapolis-Carmel-Anderson, IN",72939
"Oxnard-Thousand Oaks-Ventura, CA",71406
"New Orleans-Metairie, LA",68241
"Birmingham-Hoover, AL",65968
"Fresno, CA",65539
"Reno, NV",63865
"Charlotte-Concord-Gastonia, NC-SC",62025
"Las Cruces, NM",61944
"El Paso, TX",61270
"Oklahoma City, OK",60573
"Baltimore-Columbia-Towson, MD",59365
"Cleveland-Elyria, OH",58924
"North Port-Sarasota-Bradenton, FL",58325
"Nashville-Davidson--Murfreesboro--Franklin, TN",54551
"Orlando-Kissimmee-Sanford, FL",52539
"Louisville/Jefferson County, KY-IN",52084
"Tulsa, OK",51745
"Milwaukee-Waukesha-West Allis, WI",50038
"Minneapolis-St. Paul-Bloomington, MN-WI",48928
"Evansville, IN-KY",48125
"Knoxville, TN",47446
