city_name,count
Not in a city,3306524
Houston,120095
El Paso,61270
Phoenix,59413
New York,54070
Tucson,50801
Chicago,48057
Albuquerque,44473
Scottsdale,42057
Washington,40553
Las Vegas,38248
Philadelphia,35599
Dallas,33885
San Antonio,32392
Jackson,32351
San Diego,31777
Reno,30855
Springfield,30818
Kansas City,26857
Jacksonville,26301
North Little Rock,23665
Port Arthur,23618
Baton Rouge,23501
Fresno,23368
Davenport,23290
Fort Worth,23107
Lompoc,23098
Tampa,23069
Corpus Christi,23062
Sarasota,22938
Omaha,22697
Louisville,22489
Sacramento,22217
Capitan,22165
Columbus,22071
Oklahoma City,22017
Lakeland,21596
Gaviota,21458
Denver,20752
Chester,20427
Lancaster,20367
Bakersfield,19991
Mesa,19617
Milwaukee,19589
Tijuana,19520
Indianapolis (Remainder),19158
Calexico,19141
St. Louis,19138
Los Angeles,18996
Tulsa,18925
Vinton,18849
Nashville,18739
Marana,18494
Bradenton,18439
Concord,18157
Ciudad-Juarez,18075
Oakland,18007
Fort Collins,17546
San Jose,17544
Banning,17533
Camden,17436
West Orange,17259
Fairfield,17243
Decatur,17173
Cleveland,17122
Rochester,17059
Winston-Salem,17034
Miami,16841
Albany,16292
Ocala,16255
Charlotte,16235
Monroe,15799
Arlington,15730
Stockton,15725
Pensacola,15707
Mexicali,15220
Madera,15157
Tallahassee,14886
Montgomery,14885
Quincy,14235
Lansing,14172
New Haven,14018
Pittsburgh,14011
Vandenberg Air Force Base,13985
Sparks,13829
Suffolk,13759
Middletown,13725
Nipomo,13571
Bristol,13553
North Las Vegas,13448
Sanford,13230
Santa Maria,13221
Sunrise Manor,13075
Boulder,13075
Maricopa,12827
Portland,12747
Huntsville,12728
Sonora,12672
Indio,12550
Lebanon,12445
Cedar Rapids,12239
Livermore,12104
San Francisco,12101
Glenpool,12078
Raleigh,11988
Long Beach,11953
Henderson,11953
West Los Angeles,11880
Lafayette,11879
Shreveport,11798
Ojai,11780
Thousand Oaks,11764
Piru,11760
Garyville,11747
Simi Valley,11746
Redwood City,11737
Ashland,11735
San Rafael,11723
Vallejo,11721
Galloway (Township of),11717
Kenner,11702
Carlyss,11679
Ferry Pass,11674
Modesto,11668
Greeley,11663
Lemmon Valley-Golden Valley,11661
Grand Canyon Village,11656
Winter Park,11650
Bethel Island,11650
Cape Coral,11646
Tarpon Springs,11642
La Habra,11640
Clearwater,11633
Azusa,11631
Goleta,11625
Arvin,11620
Hollister,11615
Salinas,11611
San Bernardino,11610
Alpine,11609
Saint Petersburg,11600
Las Cruces,11594
Pomona,11591
Morro Bay,11590
East Farmingdale,11590
Hesperia,11588
Carmel Valley Village,11586
Oildale,11582
Chula Vista,11581
Palm Springs,11570
Crestline,11570
Los Padres National Forest,11568
Ruskin,11554
Lakeport,11554
Glendora,11553
Lawrence (Township of),11551
Visalia,11550
Upland,11546
Thibodaux,11539
Fontana,11535
Ware (census name for Ware Center),11533
Parlier,11530
Flemington,11527
Rubidoux,11527
Santa Clarita,11527
Shafter,11526
Beaumont,11525
Reseda,11519
Victorville,11514
Orlando,11511
Hollywood,11505
Cocoa Beach,11502
Memphis,11493
Salt Lake City,11493
El Cajon,11487
Redlands,11483
Skiatook,11468
Yuba City,11466
Atascadero,11466
Wichita,11464
Carpinteria,11463
Welby,11462
Moore,11450
White Plains,11435
Amherst,11434
Peoria,11431
Boston,11419
Marion,11417
Millville,11406
Napa,11393
Longview,11388
Cutler Ridge,11385
Tomball,11381
Pasadena,11355
Austin,11355
Essex,11355
Arden-Arcade,11347
Perris,11333
Barstow,11312
Crossville,11306
Pompano Beach Highlands,11287
Anaheim,11275
Harrison Township,11270
Wood River,11228
San Luis Obispo,11205
Elgin,11202
Bayonne,11194
Deer Park,11182
Pico Rivera,11173
New Albany,11165
East Saint Louis,11162
Turlock,11151
Clovis,11136
Millbrook,11130
Loves Park,11121
King City,11090
Honolulu,11083
Chicopee,11072
Colusa,11011
Cary,11010
Des Moines,10978
Dentsville (Dents),10975
Victoria,10943
Holiday,10928
Woodland,10924
Santa Barbara,10908
Lake Elsinore,10899
Folsom,10885
Daytona Beach,10834
French Settlement,10793
Canton,10743
Toledo,10743
Frisco,10739
Southglenn,10651
Blaine,10650
East Syracuse,10645
El Paso de Robles (corporate name for Paso Robles),10644
Placerville,10635
Lawton,10620
Los Gatos,10610
Winslow (Township of),10545
Roseville,10532
Detroit,10504
Lawrence,10494
Nilwood,10491
Lisle,10482
Evanston,10473
Hanford,10468
Peoria Heights,10453
Red Bluff,10424
Denton,10409
Northbrook,10397
El Centro,10369
Lakewood,10349
East Greenwich (Township of),10308
Palmetto,10294
Kissimmee,10239
Applewood,10119
San Andreas,10100
Mojave,10055
Lynn,10039
Ukiah,10036
Yreka,10005
Joshua Tree National Monument,9982
Tyler,9969
Glendale,9827
Vacaville,9815
Baytown,9812
East Brunswick (Township of),9809
Grass Valley,9795
Del Mar,9736
Underhill (Town of),9729
Costa Mesa,9664
Middleport,9600
Redding,9577
Bennington,9563
Port Orange,9505
Midlothian,9401
Alton,9398
Tracy,9338
Air Force Academy,9302
Escondido,9243
Leslie (RR name Leslie-DeSoto),9164
Live Oak,9139
Fort Myers Beach,9127
Worcester,9093
Healdsburg,9091
Blue Point (District),9067
Mission,9056
Leander,9022
Westlake (RR name West Lake),9021
Gilroy,9013
Edgewood,8982
Galveston,8976
Auburn,8974
New Castle,8922
Camp Pendleton South,8899
Allentown,8884
Johnstown,8878
Farrell,8872
Holtsville,8869
West Long Branch,8868
Arnold,8864
York,8861
Charleroi,8850
Fountain Hills,8846
Fort Pierce,8842
Wilkes-Barre,8840
Micanopy,8815
Burbank,8812
Scranton,8799
Erie,8795
Alsip,8795
Newark,8788
Beaver Falls,8780
Norristown,8752
Rockwell,8752
Hayward,8752
Colfax,8742
Altoona,8738
Lemont,8735
Santa Rosa,8724
Cincinnati,8723
North Valley,8717
Chattanooga,8713
Anderson,8693
New Paris,8691
Soddy-Daisy,8690
West Alton,8674
Des Plaines,8664
Searles Valley,8664
Carlsbad,8656
San Pablo,8626
Braidwood,8595
Jean,8592
Spring Valley,8585
Maryville,8568
Hahnville,8556
Roxborough Park,8531
Seaford,8487
Brownsville,8481
Waynesville,8403
Boulder City,8400
Keene,8390
Hershey,8369
East Highland Park,8359
Truro,8357
Dunkirk,8319
Laredo,8310
Yosemite National Park,8310
Portsmouth,8306
Elmira,8295
Knoxville,8293
Charleston,8204
Grand Rapids,8177
New Orleans,8152
Cleburne,8145
Bondville,8124
Conroe,8101
Steubenville,8084
Jackson (Township of),8075
Helena,8071
Conyers,8011
Mascot,7965
Arvada,7947
Allen Park,7947
Blakely,7939
Hernando,7936
St. Gabriel,7913
Westfield,7908
Granbury,7904
Coggon,7896
Augusta,7892
Meridian,7870
Eagle Mountain,7854
McDonald,7854
Lower Grand Lagoon,7853
Chickasaw,7852
Tarrant (corporate name for Tarrant City),7844
Atlanta,7836
Weatherford,7835
Grapevine,7824
Pascagoula,7806
Wetumpka,7801
Dade City,7789
Bloomfield,7787
Schenectady,7763
Cicero,7757
Kaufman,7757
Rockwall,7742
San Martin,7735
Mission Viejo,7735
Birmingham,7718
Gulf Breeze,7711
Melbourne,7662
East Hartford,7645
Wheeling,7639
Lake City,7632
Clermont,7624
Emmetsburg,7606
Fairhaven (Town of),7575
Fremont,7575
Bountiful,7539
Hendersonville,7535
Paducah,7528
Millington,7528
Waukegan,7522
Incline Village-Crystal Bay,7520
Fairview,7517
Huntington,7508
Zion,7490
Ventura,7488
Oak Ridge,7485
Vienna,7440
Buckner,7436
Worthington,7434
Shepherdsville,7426
Channelview,7425
Lexington-Fayette (corporate name for Lexington),7423
Seabrook,7414
Akron,7412
Lewisport,7404
Evansville,7386
Chandler,7381
Clinton,7381
Manvel,7367
Sioux Falls,7366
Sebring,7358
Chelmsford (Chelmsford Center),7353
Saint Marks,7344
East Providence,7343
Champaign,7320
Cleves,7295
Yuma,7282
Greenville,7263
Yukon,7251
Apache Junction,7234
Choctaw,7231
Weirton,7227
Normal,7226
Casa Grande,7222
Naples,7212
Jerseyville,7196
Franklin,7190
Waverly,7168
Nicholasville,7157
South Valley,7152
Milton,7151
Effingham,7117
Hazard,7095
Somerset,7090
Enon,7090
McAlester,7084
Rock Island Arsenal (U.S. Army),7075
Middlesborough (corporate name for Middlesboro),7060
Blue Ash,7052
Centerburg,7051
Riverhead,7044
Painesville,7042
Pikeville,7040
Youngstown,7039
Bent Creek,7039
Lima,7036
Greensboro,7036
Eastlake,7023
Mayfield,7017
Hamilton,7007
Butner,7006
Conneaut,6973
Cherry Tree,6972
Wade,6964
McLean,6960
Gary,6956
Seiling,6942
Seattle,6929
Pittsburg,6917
Marietta,6915
Ironton,6898
Carson City,6886
Hampton,6877
Cockeysville,6873
Hoover,6866
Elizabethtown,6854
Madison,6841
Heath (Fourmile Lock),6822
Green Valley,6808
Aquia Harbour,6789
Terre Haute,6787
Goldsby,6774
Lynwood,6772
Mannford,6756
Gardiner,6754
Leavenworth,6747
Rye,6741
Blythe,6724
Davie,6721
Lake Jackson,6717
Alliance,6713
Noblesville,6706
Granger,6700
Kittanning,6679
South Bend,6674
Venice,6654
Westmorland,6652
Ogden Dunes (Wickliffe),6637
Catano,6619
Haverhill,6616
Due West,6616
Freemansburg,6607
Fort Wayne,6605
Virgin,6584
Lewes,6578
Berea,6578
Cornwall,6574
Manitou Springs (Manitou),6563
Hammond,6557
Pleasant Prairie,6536
Boonville,6507
Bloomingdale,6493
Scotts Valley,6479
Grantsville,6476
East Bethel,6471
Valrico,6471
Greensburg,6454
Waukesha,6445
Brunswick,6444
Savannah,6441
Michigan City,6433
Casstown,6431
Kalamazoo,6420
Rockford,6418
Hybla Valley,6405
Mena,6400
Durham,6386
Nashua,6359
Baltimore,6353
Brewster,6349
Groton,6327
Tempe,6311
Lincolnton,6288
Warren,6282
Port Huron,6278
Flint,6265
Castle Hayne,6264
Oak Park,6257
Appleton,6255
Kewaunee,6247
Surprise,6244
Hobbs,6232
Leo-Cedarville,6224
Green Bay,6220
Dayton,6216
Otisville,6208
Danbury,6205
Stafford (Stafford Hollow),6200
Tupelo,6199
Beloit,6190
Stratford (Town of),6181
Lenoir,6168
Leggett,6168
Provo,6150
Manitowoc,6144
Enumclaw,6142
Mira Loma,6126
Madison (Town of),6110
Cave Creek,6107
State College,6068
Beltsville,6065
Waterville,6064
Maryland Heights,6047
Bayside,6039
Muskegon,6038
Kennebunkport,6038
Greenwich (Town of),6005
South Lake Tahoe,6004
Macon,5999
Jenison,5990
Fulton,5982
Douglasville,5960
Lantana,5927
Bismarck,5920
Eureka,5879
Bryson City (RR name Bryson),5869
Presque Isle,5826
Cassopolis,5800
Peterborough (Peterboro),5793
Pilot Point,5762
Nanticoke,5761
Pinson,5750
Montoursville,5738
Jamesville,5735
Watsonville,5735
Springdale,5721
Benzonia,5719
Holland,5709
Queen Valley,5699
Coloma,5692
Wanaque (Wanaque-Midvale),5691
Morgan City,5686
Willows,5683
Mesquite,5677
Grover Beach,5623
Xenia,5617
McDonough,5603
Twentynine Palms,5583
New Market,5564
Groveton,5559
Delaware,5551
Bowling Green,5543
Batavia,5535
Rio Rancho Estates,5511
Royal Palm Beach,5505
Nederland,5488
Municipality of Murrysville (corp for Murrysville),5483
Topeka,5477
Tonto National Monument,5474
La Porte,5472
Tecumseh,5459
Trimble,5435
Harbor Beach,5433
Buckeye,5426
Gulfport,5423
Fayetteville,5362
Kennesaw,5362
Castro Valley,5360
Chatsworth,5342
Hope Mills,5342
Natchez,5333
Kinston,5282
Issaquah,5280
Jefferson,5277
Red Rock,5276
Theodore,5274
Willits,5253
