county_code,count
013,449196
003,385090
001,328993
031,324918
019,311261
037,261968
083,245415
071,232442
073,227379
005,219110
029,218464
033,204064
201,185106
059,183121
011,173327
065,172568
009,170402
067,166085
113,164647
079,162397
021,158548
017,156664
085,155465
025,151721
007,148016
089,145357
111,144280
015,140946
027,139550
101,135600
047,134901
061,134695
097,133845
057,129474
119,128193
035,127869
043,123756
095,121789
077,119499
069,115514
103,113662
087,112178
045,111987
081,111254
049,107455
055,98678
039,96567
099,96158
109,91908
163,91224
053,88705
041,85438
141,83679
093,81654
023,78882
143,72356
091,71291
107,71015
121,66848
051,66532
117,66041
063,64077
245,63993
173,55504
157,54213
127,54038
161,51769
183,50707
075,48902
115,47178
439,47126
125,46927
105,46258
167,43570
139,41286
002,39708
123,37476
510,37314
189,37006
153,36603
165,35183
147,34466
086,32282
137,31672
129,31435
155,30298
151,29888
133,29286
215,26907
453,23656
145,23393
355,23062
221,21657
229,21051
197,21009
135,19494
231,18100
006,18075
361,17259
169,16559
209,16010
177,14918
195,14867
213,14675
199,14355
159,14267
800,13759
149,12093
179,11716
068,11531
469,10943
175,9997
423,9969
187,9367
261,9164
191,8311
479,8310
251,8145
339,8101
247,8011
257,8002
367,7835
397,7742
203,7448
185,7436
186,7429
193,7095
036,6960
650,6877
223,6651
131,6335
181,6272
373,6055
381,5346
227,5332
309,5146
012,4825
349,4616
171,4025
090,3261
020,2917
004,1910
901,1807
170,1742
028,1660
026,1418
315,1040
600,738
457,682
473,341
273,271
700,199
008,86
