date_of_last_change,count
2018-07-19,710670
2018-07-20,690730
2018-07-21,445439
2018-07-18,338083
2021-10-31,330811
2021-11-01,220380
2021-11-02,191718
2021-11-03,164000
2021-11-05,152185
2021-11-04,142874
2021-11-09,140108
2021-11-11,139004
2021-11-10,138420
2021-11-07,129695
2021-11-08,127003
2021-11-12,124871
2021-11-13,123948
2021-11-06,123359
2021-11-14,122065
2021-11-16,113705
2021-11-17,112268
2021-11-18,111825
2021-11-15,106863
2021-11-26,96724
2021-11-25,95861
2021-11-19,92431
2021-11-22,91278
2021-11-27,89013
2021-12-06,84647
2021-12-04,84260
2021-11-28,81717
2021-12-01,81648
2021-11-30,80402
2021-12-02,80342
2021-11-29,80030
2021-11-21,78458
2021-12-05,77611
2021-11-23,77565
2021-12-03,76830
2021-12-10,76432
2021-12-11,76256
2021-12-07,75690
2021-11-24,73644
2022-01-18,73594
2021-12-09,73323
2021-11-20,73155
2021-12-16,72310
2021-12-14,71503
2021-12-08,71254
2021-12-12,70404
2021-12-17,69351
2021-12-13,69097
2021-12-18,66852
2021-12-21,66593
2021-12-22,64580
2021-12-19,64477
2021-12-25,63552
2022-01-14,63507
2021-12-15,63486
2021-12-27,63342
2021-12-20,63161
2022-01-21,63118
2022-01-13,62318
2022-01-24,61219
2021-12-24,60791
2022-02-03,60747
2021-12-23,60740
2022-01-04,60327
2021-12-28,60121
2022-01-02,59892
2022-01-05,59884
2022-01-03,59688
2021-12-29,59523
2022-01-01,59498
2021-12-30,59391
2021-12-31,58670
2021-12-26,58239
2022-01-11,57505
2022-01-12,57437
2022-01-09,57216
2022-01-08,57085
2022-01-25,57082
2022-01-19,56890
2022-02-01,56656
2022-01-15,56322
2022-01-06,56075
2022-01-28,54832
2022-01-17,54818
2022-01-10,53897
2022-01-31,53639
2022-01-07,53551
2022-01-22,52894
2022-01-16,52335
2022-01-27,52142
2022-01-20,51779
2022-02-04,51551
2022-01-30,51041
2022-01-26,50400
2022-02-10,50249
2022-02-09,50171
2022-02-07,50167
2022-02-06,50155
2022-01-23,49742
2022-02-12,49636
2022-01-29,48433
2022-02-08,48347
2022-02-05,48096
2022-02-11,47303
2022-02-02,46291
2022-03-02,37471
2022-02-13,30166
2021-09-22,21438
2021-03-26,21135
2021-03-25,20846
2022-03-18,20724
2021-03-27,17789
2021-03-24,17318
2021-03-23,16540
2022-04-29,16421
2021-10-30,16126
2022-04-30,16053
2022-03-17,12294
2022-03-14,11874
2022-03-29,11835
2022-03-24,10807
2021-04-08,10684
2022-02-15,10190
2022-05-02,9459
2022-04-07,9013
2022-04-20,9000
2022-04-28,8719
2022-03-16,8489
2022-03-09,8275
2022-03-21,8165
2022-05-25,8081
2021-03-20,7966
2022-03-11,7957
2021-04-09,7647
2022-02-16,7306
2022-03-03,7258
2022-05-09,6796
2022-02-23,6553
2022-03-08,6378
2022-02-24,6132
2022-05-24,6029
2022-02-28,5924
2022-04-12,5625
2022-04-05,5519
2022-03-15,5096
2022-05-12,5035
2022-02-14,4975
2022-05-31,4919
2019-03-21,4742
2022-03-31,4728
2023-05-05,4658
2023-04-25,4636
2022-04-22,4569
2021-03-19,4254
2022-04-21,4239
2018-10-16,4028
2022-02-25,3971
2022-03-30,3970
2022-03-25,3773
2022-04-13,3645
2022-06-01,3641
2022-03-28,3547
2022-04-25,3478
2022-04-08,3466
2022-03-10,3258
2018-12-05,3146
2019-08-05,2909
2019-08-01,2900
2022-03-04,2888
2019-04-09,2871
2022-04-01,2458
2023-04-17,2449
2022-02-18,2295
2019-01-28,2283
2022-05-10,2282
2018-08-10,2190
2022-05-23,2097
2022-05-26,2097
2023-04-24,2050
2022-04-14,1906
2022-05-27,1859
2022-05-06,1800
2022-04-19,1766
2022-05-18,1610
2023-05-03,1579
2022-04-27,1476
2022-03-22,1434
2022-05-04,1421
2022-03-07,1420
2019-02-06,1402
2023-05-11,1383
2022-05-19,1286
2023-05-02,1272
2023-05-09,1254
2022-05-20,1181
2023-05-04,1149
2023-04-21,1111
2022-04-11,1088
2022-05-05,1080
2022-04-18,1051
2022-05-11,1038
2023-04-26,1013
2022-04-06,1004
2023-04-20,988
2023-04-30,988
2022-05-16,967
2022-05-03,780
2022-06-02,751
2022-03-01,725
2023-04-04,720
2022-04-04,716
2022-04-26,709
2022-03-23,697
2023-05-10,658
2022-02-22,609
2023-04-27,574
2022-05-17,560
2022-05-13,539
2023-03-13,527
2020-06-09,447
2023-04-29,422
2021-08-11,420
2019-05-21,392
2023-03-21,372
2023-05-01,366
2023-05-08,352
2020-12-01,336
2023-04-12,306
2023-03-16,275
2023-04-06,236
2019-10-28,215
2019-11-06,203
2022-04-24,193
2020-10-14,184
2019-12-16,184
2023-04-14,122
2023-04-18,121
2023-04-10,93
2023-04-13,90
2023-04-28,90
2023-03-06,62
2023-03-30,59
2023-03-27,59
