latitude,count
37.7046,21051
40.27813,19080
35.63348,11976
34.835721,11842
39.469219,11830
39.540917,11825
34.756189,11823
32.535293,11798
32.68336,11791
37.936013,11751
30.057515,11747
34.276316,11746
34.25239,11742
37.482934,11737
37.765946,11734
32.425261,11727
29.99497,11724
37.97231,11723
38.102507,11721
32.204411,11708
30.419805,11705
30.041238,11702
48.5103,11696
30.681718,11694
30.140265,11679
30.525367,11674
34.605819,11670
38.7408,11662
39.645264,11661
30.500642,11659
36.05864,11656
32.174538,11653
28.596389,11650
38.006311,11650
28.090299,11642
33.92513,11640
33.56031,11639
27.946688,11633
34.1365,11631
30.36805,11629
40.57747,11627
32.04767,11627
42.68075,11625
36.843425,11615
31.930659,11614
39.0905,11611
34.106678,11610
32.842318,11609
38.56844,11604
33.45797,11604
27.785866,11600
29.834167,11598
27.307268,11597
35.1343,11592
34.06703,11591
35.36631,11590
40.74529,11590
27.76534,11590
34.41639,11588
36.48187,11586
34.06659,11585
35.438035,11582
32.631242,11581
36.48324,11576
32.922492,11574
34.48974,11574
33.85275,11570
34.2431,11570
33.48378,11568
34.54166,11568
34.63782,11565
29.625556,11556
35.345607,11556
27.740033,11554
40.787628,11553
34.14435,11553
40.283092,11551
36.332179,11550
29.733726,11549
34.10374,11546
40.53999,11544
34.10002,11535
42.298493,11533
34.725352,11533
32.80581,11533
63.7232,11531
36.597442,11530
35.614131,11530
27.928356,11530
37.642165,11529
33.99958,11527
40.515262,11527
35.503587,11526
30.036422,11525
29.828086,11525
34.19925,11519
39.9231,11518
37.950741,11518
43.944519,11517
28.746111,11515
32.00941,11512
26.087567,11505
40.7208,11504
28.310841,11502
35.953708,11497
35.299484,11495
33.47968,11492
29.623889,11491
34.05977,11483
38.5231,11479
27.832413,11472
39.138773,11466
37.702066,11464
34.403052,11463
39.838119,11462
29.51509,11459
34.05111,11455
35.320105,11450
27.892523,11448
34.4251,11446
35.696758,11444
39.5327,11439
41.05192,11435
42.99328,11434
35.0608,11429
35.197288,11417
39.422273,11406
30.085263,11398
36.841592,11392
46.6041,11392
41.3642,11392
32.378696,11388
33.70853,11386
25.587327,11385
30.039524,11381
38.9564,11363
30.477725,11360
30.354944,11355
34.1326,11355
30.1103,11352
38.613779,11347
31.768286,11346
33.78942,11333
40.816038,11330
36.705474,11327
39.866834,11318
36.0388,11316
40.3125,11313
34.89398,11312
29.897516,11307
34.289001,11306
25.732878,11297
36.1058,11292
26.291088,11287
38.869001,11274
39.9878,11270
38.53445,11270
29.901036,11267
39.6359,11255
43.6138,11255
40.076389,11248
40.68742,11239
45.2066,11235
38.860669,11228
35.1852,11224
41.4271,11215
32.820061,11214
33.1787,11202
42.049148,11202
38.8795,11201
41.598119,11195
40.67025,11194
38.71209,11173
38.612034,11162
42.416636,11156
33.70639,11138
34.1795,11137
36.819449,11136
42.9288,11133
36.46983,11132
42.4006,11130
41.78555,11130
34.002747,11125
43.44957,11124
42.334982,11121
21.303382,11083
39.310833,11080
42.19438,11072
44.39308,11053
39.0284,11033
37.71325,11032
29.30265,11029
37.1655,11015
42.221442,11010
35.051454,11007
34.210169,11001
43.01209,10994
34.093959,10975
35.2632,10972
39.474976,10960
28.836214,10943
28.195574,10928
33.67649,10899
30.461981,10866
29.206667,10834
37.281853,10817
27.939746,10812
33.739963,10802
38.342606,10801
30.315406,10793
28.028889,10784
28.45445,10769
35.832726,10743
33.1324,10739
30.227798,10736
37.98178,10726
39.525083,10723
31.765685,10716
39.912799,10695
47.185833,10680
44.36608,10665
39.567887,10651
45.13768,10650
43.05235,10645
35.614668,10644
30.229653,10640
37.226862,10610
38.725282,10604
34.52744,10597
34.46245,10591
29.767997,10589
37.3297,10551
39.68425,10545
37.488317,10535
38.74643,10532
32.941023,10528
38.45832,10525
40.736389,10492
39.396075,10491
35.477036,10487
41.813049,10482
42.062053,10473
40.745504,10453
30.221255,10424
38.176278,10407
42.139996,10397
38.302591,10380
32.79222,10369
39.638781,10349
40.46542,10325
39.00512,10321
34.5959,10311
39.800339,10308
27.633089,10294
38.310942,10256
28.347509,10239
34.44551,10220
34.376227,10202
37.1984,10181
36.566128,10145
39.743724,10119
34.805261,10101
38.20185,10100
36.508611,10071
42.474642,10039
39.14566,10036
