local_site_name,count
IEPA TRAILER,35039
WATER PLANT,21701
Mackville,21051
Rocky Mountain NP - Long's Peak,19080
COOK COUNTY TRAILER,19036
Cedar Creek,17672
IEPA-RAPS TRAILER,16538
AMHERST,16461
Sheffield,15181
Pomona,13959
Fairfield,13372
Hawthorne,12809
Clinton,11997
Great Smoky Mountains NP - Look Rock,11976
NLR AIRPORT,11842
South Reno,11830
Sparks,11825
PARR,11823
Shreveport / Airport,11798
Dixie,11791
Concord,11751
Garyville,11747
Simi Valley-Cochran Street,11746
El Rio-Rio Mesa School #2,11742
Redwood City,11737
San Francisco,11734
TANGERINE,11727
Convent,11724
San Rafael,11723
Vallejo,11721
22ND & CRAYCROFT,11708
LSU,11705
Kenner,11702
Glacier NP - West Glacier Horse Stables,11696
New Roads,11694
SOMERSET,11684
Carlyss,11679
Ellyson Industrial Park,11674
Santa Ynez,11670
Vincennes,11662
Lemmon Valley,11661
Port Allen,11659
Grand Canyon NP - The Abyss,11656
SAGUARO PARK,11653
Bethel Island,11650
WINTER PARK,11650
John Chesnut Sr. Park - East Lake,11642
La Habra,11640
NORTH PHOENIX,11639
St. Petersburg College,11633
Azusa,11631
Pensacola NAS,11629
Fort Collins - CSU - S. Mason,11627
FAIRGROUNDS,11627
LOUDONVILLE,11625
Hollister,11615
6O La Union,11614
Parsons,11611
San Bernardino,11610
Alpine,11609
Sacramento-1309 T Street,11604
CENTRAL PHOENIX,11604
Azalea Park,11600
Lang,11598
Lido Park,11597
DEL NORTE HIGH SCHOOL,11592
BABYLON,11590
Corpus Christi West,11590
Morro Bay,11590
Hesperia-Olive Street,11588
Carmel Valley,11586
Los Angeles-North Main Street,11585
Oildale,11582
Chula Vista,11581
Pinnacles NP - Southwest of East Entrance Station,11576
Los Flores Canyon #1,11574
Keller,11574
Crestline,11570
Palm Springs,11570
WEST PHOENIX,11568
Paradise Road,11568
Lompoc H Street,11565
Edison,11556
Houston Monroe,11556
Simmons Park,11554
Chester,11553
Glendora,11553
Rider University,11551
Visalia-Church,11550
Upland,11546
Lassen Volcanic NP - Manzanita Lake Fire Station,11544
Fontana,11535
Fort Worth Northwest,11533
Lompoc HSP,11533
QUABBIN RES,11533
Denali NP & PRES - Headquarters,11531
Davis Island,11530
OKC NORTH,11530
Parlier,11530
Modesto-14th Street,11529
Flemington,11527
Rubidoux,11527
Shafter,11526
Houston North Wayside,11525
Beaumont Downtown,11525
Reseda,11519
Arendtsville,11518
Stockton-Hazelton,11518
Woodstock,11517
