longitude,count
-85.0485,21051
-105.54564,19080
-83.941606,11976
-92.260581,11842
-119.775354,11830
-119.746761,11825
-92.281296,11823
-93.747041,11798
-93.861582,11791
-122.026154,11751
-90.619286,11747
-118.683685,11746
-119.143182,11742
-122.20337,11737
-122.399044,11734
-111.06352,11727
-90.817415,11724
-122.520004,11723
-122.237976,11721
-110.878067,11708
-91.182016,11705
-90.272826,11702
-113.99681,11696
-91.366247,11694
-93.368448,11679
-87.20355,11674
-120.075069,11670
-87.4853,11662
-119.840025,11661
-91.213556,11659
-112.1836,11656
-110.737116,11653
-81.3625,11650
-121.641918,11650
-82.700707,11642
-117.95264,11640
-112.06619,11639
-82.731767,11633
-117.92391,11631
-87.270967,11629
-110.774357,11627
-105.07892,11627
-73.75733,11625
-121.3621,11615
-106.631103,11614
-79.6617,11611
-117.274063,11610
-116.768293,11609
-121.49311,11604
-112.04659,11604
-82.739875,11600
-95.489167,11598
-82.570376,11597
-106.5852,11592
-117.7514,11591
-73.41919,11590
-97.434262,11590
-120.84271,11590
-117.2858,11588
-121.73333,11586
-118.22688,11585
-119.016787,11582
-117.059088,11581
-121.15688,11576
-120.04692,11574
-97.282099,11574
-116.54101,11570
-117.27235,11570
-112.14256,11568
-119.79146,11568
-120.4575,11565
-95.267222,11556
-118.851825,11556
-82.465146,11554
-117.85036,11553
-74.676301,11553
-74.742613,11551
-119.291228,11550
-95.257593,11549
-117.62914,11546
-121.57646,11544
-117.49201,11535
-72.334079,11533
-120.428717,11533
-97.356529,11533
-148.9676,11531
-97.475083,11530
-119.503659,11530
-82.454539,11530
-120.994212,11529
-74.806671,11527
-117.41601,11527
-119.272606,11526
-94.071061,11525
-95.284096,11525
-118.53276,11519
-121.268523,11518
-77.3078,11518
-71.700788,11517
-81.310556,11515
-109.38906,11512
-80.111152,11505
-77.9319,11504
-80.61533,11502
-96.004975,11497
-106.548914,11495
-111.91721,11492
-95.474167,11491
-117.14731,11483
-78.43471,11479
-97.555387,11472
-121.618549,11466
-97.314847,11464
-119.457914,11463
-104.94984,11462
-98.620166,11459
-118.45636,11455
-97.484099,11450
-82.538429,11448
-117.5898,11446
-83.609612,11444
-84.7286,11439
-73.76366,11435
-78.77153,11434
-83.4306,11429
-90.193141,11417
-75.025204,11406
-93.761341,11398
-106.2399,11392
-119.874739,11392
-68.4135,11392
-94.711813,11388
-116.21537,11386
-80.325922,11385
-95.673951,11381
-106.9858,11363
-81.587339,11360
-118.1272,11355
-97.761803,11355
-84.9903,11352
-121.368014,11347
-106.501243,11346
-117.22764,11333
-85.661408,11330
-119.741332,11327
-88.925594,11318
-85.7331,11316
-74.8729,11313
-117.024804,11312
-93.991084,11307
-85.970065,11306
-80.16175,11297
-82.0454,11292
-80.096353,11287
-89.622816,11274
-121.7734,11270
-79.2515,11270
-95.326137,11267
-83.3591,11255
-83.2605,11255
-75.011944,11248
-89.606943,11239
-90.5969,11235
-90.105851,11228
-106.50815,11224
-80.1451,11215
-96.860117,11214
-84.4052,11202
-88.273029,11202
-80.8477,11201
-78.767867,11195
-74.126081,11194
-121.38109,11173
-90.160477,11162
-83.902185,11156
-111.85575,11138
-93.0988,11137
-119.716433,11136
-109.788,11133
-83.826511,11132
-73.74136,11130
-76.6538,11130
-89.799183,11125
-74.51625,11124
-89.037775,11121
-157.871171,11083
-76.474444,11080
-72.555112,11072
-73.8589,11053
-76.8171,11033
-119.7062,11032
-103.17781,11029
-78.3069,11015
-88.242207,11010
-119.40262,11007
-118.870509,11001
-73.6489,10994
-80.962304,10975
-79.8365,10972
-91.788991,10960
-97.005525,10943
-82.756264,10928
-117.33098,10899
-91.179219,10866
-81.0525,10834
-120.433671,10817
-82.000084,10812
-81.853635,10802
-120.764426,10801
-90.811383,10793
-81.972222,10784
-81.381181,10769
-93.20826,10743
-96.786419,10739
-93.579965,10736
-120.378551,10726
-119.807717,10723
-106.455227,10716
-105.188587,10695
-101.428056,10680
-73.90312,10665
-104.957193,10651
-93.207615,10650
-76.05921,10645
-120.656912,10644
-90.965628,10640
-121.979675,10610
-120.821916,10604
-120.1965,10597
-120.02551,10591
-95.220582,10589
-80.5578,10551
-74.861491,10545
-120.836008,10535
-121.26498,10532
-79.657187,10528
-109.82126,10525
-89.809739,10491
-97.494309,10487
-88.072827,10482
-87.675254,10473
-89.585869,10453
-91.315418,10424
-89.788459,10407
-87.799227,10397
-121.420838,10380
-115.56306,10369
-105.13948,10349
-79.960757,10325
-114.21593,10321
-120.631315,10311
-75.212119,10308
-82.54593,10294
-122.296189,10256
-81.636464,10239
-119.8284,10220
-84.059506,10202
-108.49046,10181
-118.7777,10145
-105.177989,10119
-83.2377,10101
-120.680277,10100
-116.847778,10071
-70.970816,10039
-123.20298,10036
-77.013178,10008
-122.633579,10005
-83.0662,9997
-116.38893,9996
-78.574167,9972
-119.062613,9971
-115.48307,9961
-122.92229,9923
-75.09778,9851
-77.17136,9845
-112.19193,9827
-87.8499,9820
-74.429439,9809
