site_num,count
0002,743886
0001,590374
0003,572136
9991,534342
0004,512191
0005,426258
0007,370866
0006,320513
0008,247713
1001,226885
1002,211250
0009,210078
0010,200236
0011,186740
0012,164699
1004,163421
1003,154314
0101,143900
0014,140838
3001,136647
2002,124305
0021,108003
0013,107520
0020,97810
0016,92649
5001,90517
2001,89480
1005,85546
8001,78321
0024,74742
3002,68389
0018,65867
0022,65713
2003,64701
0019,64453
0015,58995
0100,57747
0017,57142
0026,56984
1007,55666
1010,49164
3003,48607
0029,48342
4001,47397
2004,46906
0027,46465
4003,46381
4002,46022
1008,46004
1006,45875
1011,45639
2005,43528
5002,42248
0023,41305
0030,40905
0025,40868
2006,38978
0034,38228
6001,34852
0075,34305
0099,33364
0032,30808
0041,30775
0081,30213
0046,28891
0028,28649
1035,28567
0042,28353
0037,28136
1013,28134
1100,28006
0043,27649
0102,26935
0033,26558
0055,26504
3007,24078
0103,23501
1020,23138
1015,23107
4004,23105
1018,23074
7001,22841
1034,22601
9002,22163
1012,22101
0036,21187
1009,20975
1016,20863
1037,20704
9004,20013
2007,19017
0051,18885
1014,18884
0067,18847
0500,18607
1021,18256
7003,18088
0080,18080
9001,17859
0073,17678
2009,17239
0050,16981
4000,16410
0232,16254
1201,16136
0057,15611
1101,15499
0044,15434
4005,15307
0040,15123
2011,14776
7002,14706
0077,14552
0064,14398
8002,14356
1601,14309
1025,14081
3011,14011
0085,13552
0078,13304
0113,13099
0200,13074
0035,12982
0062,12810
9003,12616
1032,12545
0058,12457
5003,12440
0087,12351
6002,11958
4008,11903
0072,11728
0047,11598
1701,11591
1103,11585
8000,11506
0174,11497
1019,11470
0049,11450
1065,11448
0242,11392
0106,11358
0069,11214
0059,11204
5005,11189
6005,10812
6006,10784
3009,10705
8005,10432
4201,10397
0124,10374
1024,9800
0066,9784
0801,9662
4010,9591
0137,9421
0060,9377
0110,9260
9702,9067
1039,9065
3006,9018
0501,8995
1028,8963
9704,8846
0538,8819
0401,8790
9997,8690
1234,8664
0071,8564
0052,8427
1123,8250
2010,8205
0601,8143
0306,7974
7022,7942
1030,7935
4007,7925
0091,7892
2022,7825
0070,7729
4012,7723
1127,7697
9010,7651
0301,7610
0063,7599
0123,7523
4013,7517
0178,7486
1050,7414
6012,7413
0096,7231
9033,7223
9508,7210
0300,7166
0415,7084
0119,7057
8003,7004
9009,6972
0860,6942
0039,6843
1073,6774
1301,6772
0054,6769
0144,6756
5008,6615
0130,6584
2008,6557
2012,6385
0031,6253
0076,6136
7020,6085
7021,6047
0132,6031
4006,5882
0416,5831
8006,5775
3005,5740
1602,5599
0133,5556
4011,5426
1017,5370
0135,5312
0456,5272
1044,5228
1023,5223
5010,5213
9706,5202
9014,5053
0038,5033
0505,4939
0651,4936
0048,4855
1302,4722
3051,4641
1047,4637
1051,4616
0201,4454
0136,4442
6018,4310
0083,4288
7024,4267
7550,4188
8011,4167
0098,4143
0540,4071
0647,4061
0628,4061
0700,3973
5100,3940
3052,3922
3201,3839
5302,3780
0127,3742
0901,3571
7011,3560
3204,3444
0104,3407
1579,3392
4210,3386
2013,3385
3010,3373
2601,3334
9008,3299
9021,3257
0403,3149
0045,3131
1233,3101
6015,3074
1045,3061
0109,3028
0922,3017
3103,2823
0088,2777
0086,2771
3013,2691
1102,2608
7416,2542
0298,2497
0297,2453
0962,2431
0053,2356
0097,2318
5200,2158
6016,2105
0680,2086
0094,2083
9993,2078
8033,2073
0671,2052
0226,2047
1022,1986
1999,1941
3012,1909
8034,1899
9005,1896
1801,1884
7004,1860
0614,1822
0906,1814
7772,1777
7417,1644
0905,1506
2401,1461
7771,1445
1048,1431
8801,1415
9994,1386
0217,1362
0902,1357
8012,1334
0649,1317
0108,1308
3004,1287
0524,1211
9701,1134
9015,1134
0122,1108
0117,1077
0380,1075
0600,1073
0111,1006
0441,1004
9007,995
0898,952
3015,936
3008,933
0670,931
0622,899
1026,898
9020,877
9998,853
9805,828
0613,811
2017,811
1000,790
1902,783
0207,779
0324,776
0206,745
4009,716
0089,714
3014,693
0093,676
9025,638
9027,603
9992,599
0177,596
7015,582
9995,581
9029,581
3016,541
5632,537
0120,532
0152,523
0153,522
0311,505
0870,489
0323,487
0296,479
0602,473
0440,466
0090,447
0312,436
0810,433
0800,428
0417,426
0105,415
9034,411
0900,411
5601,366
7780,360
9024,356
9028,350
0299,330
0068,306
9006,304
0711,303
9000,286
7778,283
1074,281
0733,276
0720,275
0734,275
0738,275
3474,275
0721,273
0719,272
5007,261
1041,258
0185,250
0912,246
0082,241
0386,236
9019,231
9023,230
0243,228
0160,222
0244,218
0603,207
9604,192
7774,185
3203,183
0903,175
4753,171
7775,168
0930,158
7779,153
9707,139
7777,136
7776,127
5004,123
7773,113
1055,91
6317,90
9030,90
5253,62
7030,30
9035,24
0065,21
