state_code,count
06,1978548
48,721184
12,588773
42,464599
17,402545
04,387749
39,380028
36,348611
37,317042
08,308270
22,294696
18,276631
21,261309
55,233173
47,219818
35,219068
32,215615
26,210495
51,201948
40,194431
45,193393
29,191914
01,174011
34,171198
13,158429
49,151245
24,149927
56,147029
25,143933
23,129579
19,119623
53,96048
33,93468
28,93381
27,93143
20,86928
09,84878
05,83719
38,79193
54,77694
80,59201
10,56560
41,46079
30,40506
46,37396
31,35837
11,32647
16,24224
50,21388
44,20897
15,19159
02,17532
72,12935
CC,1996
78,1919
