state_name,count
California,1978548
Texas,721184
Florida,588773
Pennsylvania,464599
Illinois,402545
Arizona,387749
Ohio,380028
New York,348611
North Carolina,317042
Colorado,308270
Louisiana,294696
Indiana,276631
Kentucky,261309
Wisconsin,233173
Tennessee,219818
New Mexico,219068
Nevada,215615
Michigan,210495
Virginia,201948
Oklahoma,194431
South Carolina,193393
Missouri,191914
Alabama,174011
New Jersey,171198
Georgia,158429
Utah,151245
Maryland,149927
Wyoming,147029
Massachusetts,143933
Maine,129579
Iowa,119623
Washington,96048
New Hampshire,93468
Mississippi,93381
Minnesota,93143
Kansas,86928
Connecticut,84878
Arkansas,83719
North Dakota,79193
West Virginia,77694
Country Of Mexico,59201
Delaware,56560
Oregon,46079
Montana,40506
South Dakota,37396
Nebraska,35837
District Of Columbia,32647
Idaho,24224
Vermont,21388
Rhode Island,20897
Hawaii,19159
Alaska,17532
Puerto Rico,12935
Canada,1996
Virgin Islands,1919
