address,count
"2743 Washington Blvd, McKeesport, PA 15133 (Liberty)",18504
"KEELER, 190 Cerro Gordo Road",16839
11100 110TH AVE. DAVENPORT,15939
50TH ST. AND GLENCOE,14304
3700 SINGER,13062
2842 WYOMING (DEARBORN),12904
3535 E. 114TH ST.,12806
"30 NORTH MAIN STREET, LINDON, UTAH",12430
3174 E. 78TH AVE.,11961
WEIRTON - OAK ST AND OWINGS ST (BETWEEN DEAD ENDS),11783
"DIRTY SOCKS, HWY 190",11762
"High St, Water Tower, Glassport, PA 15045 (Glassport)",11695
"NO. B'HAM,SOU R.R., 3009 28TH ST. NO.",11652
Alley Btwn N. Park Pl. and S. Park Pl.,11306
2547 ST TIKHON,11292
2105 BROADWAY,11244
1242 JERSEY ST WYLAM AL,11212
"1275 Bedford Ave, Pittsburgh, PA 15219 (Flag Plaza)",10950
136 6TH ST.,10894
"Lone Pine (PM @ Hospital), 501 E. LOCUST ST., LONE PINE",10856
308 PORTLAND AVE.,10653
"705 Church St., Anthony, NM",10585
"Bellbridge Rd, Elizabeth, PA 15037 (Lincoln)",10509
WEIRTON - MARLAND HEIGHTS ELEMENTARY,10504
E. 14TH & ORANGE,10466
104 E. PARMENTER ST.,10425
"CARTHAGE: 530 Juniper, Carthage, MO 64836",10359
"BOYD PARK, 3100 WASHBURN Rd.",10331
418 Mineral Ave,10284
4830 JENKINS AVE. [Jenkins Av.],10156
WEIRTON - SUMMIT CIRCLE,10143
37TH & SOUTHERN AVENUE,10143
"201 MISSISSIPPI ST., IITRI BUNKER",10111
HWY 12 WASTE LAGOON- Bethlehem Steel,10085
"1250 PUNCHBOWL ST, HONOLULU",9844
"46-990 JACKSON ST., INDIO",9827
"3401 W ORANGE GROVE RD, TUCSON",9818
"SHELL CUT, HIGHWAY 190",9731
RIVERSIDE STREET PRESQUE ISLE,9730
G&G/CORNER OF GARRET & GOULD,9630
1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,9612
"Police Station, 45 WEST 12TH ST., SHERIDAN WY.",9608
"PACIFICORP NAUGHTON PLANT KEMMERER, WY",9378
"1601 S 6TH AVE, SOUTH TUCSON",9350
"1965 State Hwy 161, Jean, NV",9331
5929 W METALINE (Kennewick Skills Center),9309
"POLSON SADDLE SHOP, 1ST STREET & 4TH AVE",9305
"PINEHURST/PINEHURST SCHOOL, PINEHURST",9286
"860 4TH ST, PEARL CITY",9262
OLANCHA; 131 WALKER CREEK RD. - 1 MILE E OF OLANCHA,9169
"155 Columbia Dr, Tampa FL 33606",9152
FIRE STATION #5/16TH & FRONT,9103
"750 4TH ST, SPARKS, NV 89431",8954
9819A SECOND STREET NW,8936
CHILWICK & WASHINGTON STS,8896
"INTERSECTION OF HWY 212 & 39, LAME DEER",8882
ABRAHAM LINCOLN JR HIGH GROFFTOWN RD,8855
"Corner of Athol and Telescope, Trona",8831
"1309 T ST., SACRAMENTO, CA. 95814",8708
"1675 SOUTH 600 EAST, SALT LAKE CITY",8665
"DEL PASO-2701 AVALON DR, SACRAMENTO",8664
208 EDGEMONT BLVD.,8655
"1185-A DUNN AVE., DAYTONA BEACH",8613
STATE HOSPITAL REAR 1600 HANOVER AVE,8607
2052 LAUWILIWILI ST,8565
ELECTRICAL SUBSTATION NEAR PUMPHOUSE,8390
EIGHT STREET AND RIVER ALLEY,8345
CITY SANITATION BLDG (WEEPING WATER),8342
250 WM. HOWARD TAFT,8336
10TH AND MARNE STREETS,8330
4525 NEW FOREST DRIVE,8313
225 W. COLFAX AVE.,8304
2044 WASHINGTON AVE,8260
MILLER AUTO SHOP 1 MESSENGER ST,8247
333 PAVILION CENTER DRIVE,8233
"14306 PARK AVE., VICTORVILLE, CA",8225
298 ARROYO GRANDE,8212
1795 N WARM SPRINGS RD (1025 W) SLC UTAH,8210
"HEALTH DEPT., 1900 EAST 9TH ST.",8046
17TH ST. & WASHINGTON ST.,8035
"5558 California Ave., Bakersfield CA 93309",7985
1005 INDUSTRIAL ROAD,7979
FIRE STA#12  GLEN & PAWNEE,7949
4113 SHUTTLESWORTH DRIVE,7880
K-96 AND HYDRAULIC,7873
1300 BLK. HATTIE AVENUE,7870
NAMPA FIRE STN/923 1ST ST,7759
"680 MCCOMBS, CHAPARRAL, NM",7734
4530 N 17TH AVENUE,7699
"1403 Princeton St., Ft. Myers, FL 33901",7678
2ND AVE & 7TH ST,7670
