cbsa_name,count
"Phoenix-Mesa-Scottsdale, AZ",179560
"Gillette, WY",165131
"Pittsburgh, PA",124531
"Las Vegas-Henderson-Paradise, NV",115157
"Bishop, CA",112603
"Riverside-San Bernardino-Ontario, CA",102570
"Rock Springs, WY",92995
"Chicago-Naperville-Elgin, IL-IN-WI",83416
"Tucson, AZ",58770
"Denver-Aurora-Lakewood, CO",58350
"Weirton-Steubenville, WV-OH",52439
"Albuquerque, NM",51904
"St. Louis, MO-IL",51453
"Sacramento--Roseville--Arden-Arcade, CA",49093
"Birmingham-Hoover, AL",48427
"Las Cruces, NM",48274
"Los Angeles-Long Beach-Anaheim, CA",46150
"Cleveland-Elyria, OH",42849
"Minneapolis-St. Paul-Bloomington, MN-WI",42654
"Tampa-St. Petersburg-Clearwater, FL",39529
"San Juan-Carolina-Caguas, PR",37129
"Omaha-Council Bluffs, NE-IA",36629
"Santa Maria-Santa Barbara, CA",36534
"San Luis Obispo-Paso Robles-Arroyo Grande, CA",36365
"Anchorage, AK",35978
"Urban Honolulu, HI",34769
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",34308
"Reno, NV",33956
"Salt Lake City, UT",33866
"Wichita, KS",32255
"Detroit-Warren-Dearborn, MI",32233
"Rapid City, SD",31459
"Columbia, SC",29523
"Miami-Fort Lauderdale-West Palm Beach, FL",29200
"El Paso, TX",29123
"Davenport-Moline-Rock Island, IA-IL",28940
"Cincinnati, OH-KY-IN",28684
"Portsmouth, OH",28547
"Kalispell, MT",28188
"Knoxville, TN",27805
"Pocatello, ID",26304
"Bakersfield, CA",25605
"Louisville/Jefferson County, KY-IN",25473
"New York-Newark-Jersey City, NY-NJ-PA",24704
"New Haven-Milford, CT",23929
"Indianapolis-Carmel-Anderson, IN",23872
"Pahrump, NV",23575
"Spokane-Spokane Valley, WA",22937
"Seattle-Tacoma-Bellevue, WA",22727
"Provo-Orem, UT",22475
"El Centro, CA",22342
"Washington-Arlington-Alexandria, DC-VA-MD-WV",21962
"Glenwood Springs, CO",21411
"Colorado Springs, CO",20845
"Boise City, ID",19745
"Laramie, WY",19120
"Orlando-Kissimmee-Sanford, FL",18901
"Allentown-Bethlehem-Easton, PA-NJ",18707
"Houston-The Woodlands-Sugar Land, TX",18497
"Hanford-Corcoran, CA",18033
"Kansas City, MO-KS",17982
"Boston-Cambridge-Newton, MA-NH",17920
"Winston-Salem, NC",17538
"Eugene, OR",17237
"Payson, AZ",16682
"Fresno, CA",16402
"San Francisco-Oakland-Hayward, CA",15955
"Stockton-Lodi, CA",15812
"Atlanta-Sandy Springs-Roswell, GA",15769
"Milwaukee-Waukesha-West Allis, WI",15451
"Butte-Silver Bow, MT",15105
"Missoula, MT",14988
"Mason City, IA",14758
"Oxnard-Thousand Oaks-Ventura, CA",14700
"Scranton--Wilkes-Barre--Hazleton, PA",14676
"Jacksonville, FL",13998
"Huntsville, AL",13994
"Charlotte-Concord-Gastonia, NC-SC",13910
"Ogden-Clearfield, UT",13819
"San Diego-Carlsbad, CA",13685
"Sheridan, WY",13577
"Grand Junction, CO",13444
"Santa Rosa, CA",13439
"San Jose-Sunnyvale-Santa Clara, CA",13273
"Dallas-Fort Worth-Arlington, TX",13269
"North Port-Sarasota-Bradenton, FL",13165
"Georgetown, SC",13139
"Nashville-Davidson--Murfreesboro--Franklin, TN",13134
"Lakeland-Winter Haven, FL",12628
"Charleston-North Charleston, SC",12474
"Riverton, WY",12261
