city_name,count
Not in a city,898064
Phoenix,55199
Las Vegas,48650
Weirton,36986
Birmingham,33639
Cleveland,31609
Wichita,30937
Albuquerque,29287
El Paso,29123
Denver,27790
Tampa,26137
St. Louis,24558
Anchorage,24537
Tucson,23597
Pahrump,23575
Sacramento,23194
Pittsburgh,22250
Salt Lake City,22042
Louisville,20934
Rapid City,20675
Franklin Furnace,19023
Lancaster,18903
Chicago,18668
Reno,18659
Liberty,18504
Henderson,18234
Keeler,17531
New Haven,17506
St. Paul,17320
Lamar,17226
Omaha,17168
Buffalo,17018
Kansas City,16355
Winston-Salem,16177
Lone Pine,16011
Columbia,15231
Detroit,15045
Colorado Springs,14868
Weeping Water,14809
Mason City,14758
Honolulu,14432
McCook,14304
Gary,14238
Alamosa,14151
Spokane,13853
Huntsville,13852
Missoula,13763
Pocatello,13687
Guaynabo,13453
Sheridan,13324
Nipomo,13211
Georgetown,13139
Presque Isle,13124
Granite City,13094
Dearborn,13065
Davenport,12962
Scottsdale,12863
Casa Grande,12832
Cincinnati,12830
Jacksonville,12814
Lindon,12430
Jackson,12409
Minneapolis,12351
Portsmouth,12305
Portland,12286
Grand Junction,12145
Lincoln,11967
Welby,11961
Houston,11951
Steamboat Springs,11934
North Las Vegas,11874
Sparks,11732
Glassport,11695
Indianapolis (Remainder),11677
Aspen,11677
North Charleston,11587
Cayce,11476
Libby,11455
Boise (corporate name Boise City),11339
Butte-Silver Bow (Remainder),11306
Bakersfield,11211
Indio,10960
Kalispell,10938
Nashville,10911
Springfield,10899
Columbus,10702
Oglesby,10653
Kennewick,10635
Ogden,10591
Olancha,10587
Anthony,10585
Pagosa Springs,10361
Commerce City,10231
Charlotte,10204
Portage,10085
Capitan,9957
Sarasota,9910
New York,9789
Boston,9702
Maricopa,9701
Toledo,9668
Polson,9553
Miami,9495
Atascadero,9408
Juneau,9406
Kemmerer,9378
Wilkes-Barre,9367
South Tucson,9350
Whitefish,9340
Jean,9331
Sioux Falls,9303
Pinehurst (Pine Creek),9286
Pearl City,9262
Milwaukee,9116
Sandpoint,9101
Daytona Beach,8989
North Valley,8936
Victorville,8932
Philadelphia,8919
Knoxville,8917
Searles Valley,8831
Burbank,8797
Akron,8780
Las Cruces,8722
Beaver Falls,8713
Arden-Arcade,8664
Johnstown,8623
Allentown,8607
Green Valley,8562
Tulsa,8550
Tarrant (corporate name for Tarrant City),8513
Eugene,8499
Stanfield,8472
Atlanta,8434
Boulder City,8340
Erie,8330
Spring Valley,8313
Raleigh,8149
Corcoran,8148
Fresno,8104
Chester,8081
Memphis,8048
Yuma,7997
Middletown,7980
Modesto,7898
Indianapolis,7842
Nampa,7759
San Jose,7718
Sanford,7712
Anaheim,7689
Fort Myers,7678
Altoona,7670
Yuba City,7560
Elko,7470
Clairton,7428
Columbia Falls,7403
Nogales,7400
Catano,7384
Deming,7370
Des Moines,7328
Colusa,7276
Avalon,7259
Mount Crested Butte,7221
Stockton,7211
St. Joseph,7208
Mira Loma,7199
Mammoth Lakes,7109
Telluride,7106
Oklahoma City,7068
New Castle,7065
Chandler,7027
Provo,7024
Dallas,6928
Hayden,6864
Mesa,6837
South Valley,6829
Mexicali,6817
Fairbanks,6812
Helena,6795
Baltimore,6789
San Bernardino,6755
Palm Springs,6750
Stowe (Township of),6687
Bismarck,6669
Lafayette,6622
Washington,6611
Durango,6601
Paducah,6587
Rubidoux,6546
Topeka,6543
Ashland,6541
Picher,6512
Seattle,6464
Simi Valley,6455
Muskogee,6453
Braddock,6377
Buckeye,6244
Canton,6236
Colville,6148
North Braddock,6140
York,6113
Clinton,6084
Waukesha,6079
Medford,6038
Silver Bay,6033
Oakridge,6011
Long Beach,6007
Watertown,6007
East Liverpool,5999
Tacoma,5926
Youngstown,5916
Gilbert,5914
Lake Elsinore,5856
Thompson Falls,5824
East Chicago,5818
Upland,5818
New Orleans,5813
Tijuana,5780
Cedar Rapids,5760
Warren,5759
Surprise,5750
Greenville,5745
Shreveport,5735
Yakima,5706
Ajo,5699
Charleston,5691
Dodge City,5686
Hanford,5663
Laredo,5659
Ciudad-Juarez,5635
Nazareth,5626
Steubenville,5585
Glendale,5556
Paul Spur,5551
Rillito,5530
Lompoc,5497
Magna,5475
Saint Petersburg,5449
Terre Haute,5392
Hartford,5387
Queen Creek,5376
Baton Rouge,5370
Lexington-Fayette (corporate name for Lexington),5343
Wilmington,5310
Bristol,5270
Longmont,5259
Grand Rapids,5191
Wright,5184
Fort Bragg,5173
Visalia,5153
Waterbury,5153
Bishop,5144
Lakeland,5141
Glendora,5109
King City,5092
Hollister,5083
Santa Maria,5061
Lander,5024
Los Angeles,5021
Tracy,5007
Bullhead City,5003
Bayport,5000
Providence,4965
