county_code,count
003,339237
013,229996
005,225085
037,149901
031,148832
027,144472
001,144168
029,135630
019,113113
021,107836
071,99329
035,98421
007,86935
009,83175
079,82542
033,77280
163,74382
073,73412
067,71453
025,69834
097,69095
065,66277
023,65809
057,65324
099,63773
063,62417
017,60569
049,60050
077,59362
089,58154
011,56561
053,55571
061,53675
111,50122
051,49447
045,47797
095,46538
043,44462
055,44002
145,43800
173,43734
083,43323
101,41278
093,40212
119,38876
113,38763
103,38722
039,37244
127,35993
087,34477
510,33886
081,32649
015,32483
141,32199
041,31904
059,30497
107,30069
020,26821
115,26226
047,26214
123,24412
069,22650
153,19459
133,18785
117,18494
105,17216
143,16524
085,15621
201,15616
157,14447
002,14297
125,14290
091,13740
121,13102
075,12849
137,12839
139,12682
109,11916
167,11734
177,10592
183,9999
155,9542
110,9406
170,9157
147,8088
151,7297
090,6812
209,6560
215,6252
006,5769
086,5728
129,5698
479,5659
195,5055
189,4991
193,4122
175,3980
135,3807
245,3313
303,3222
181,3043
439,3035
012,2949
453,2912
710,2720
355,2682
197,2573
227,2373
191,2339
026,2327
650,1967
840,1903
010,1880
770,1849
630,1603
165,1498
670,1368
187,1363
220,1312
030,1199
122,1196
131,1182
199,1122
161,1092
540,1064
760,1055
179,1050
255,1014
203,851
550,847
050,668
235,633
520,510
680,509
800,499
690,488
580,470
149,454
295,421
423,378
485,363
375,346
600,323
159,298
185,268
130,264
028,235
221,167
169,133
740,121
186,110
036,99
810,79
700,64
171,50
