county_name,count
Campbell,167197
Maricopa,119889
Clark,118785
Inyo,112603
Allegheny,105741
Sweetwater,92995
Jefferson,92270
Pinal,59671
Pima,58770
Lake,53983
Riverside,51943
San Bernardino,50627
Dona Ana,48274
Bernalillo,46594
El Paso,46483
Cook,43053
Lincoln,39593
Madison,36643
Santa Barbara,36534
Los Angeles,36462
San Luis Obispo,36365
Honolulu,34769
Hillsborough,34543
Cuyahoga,34426
Wayne,33987
Washoe,33956
Sacramento,33674
Salt Lake,33163
Hancock,31385
Jackson,30951
Sedgwick,30937
Scioto,28547
Flathead,28188
Scott,27948
Denver,27790
Anchorage ,26821
Adams,25738
Kern,25605
Union,24673
St. Louis City,24558
Montgomery,24310
New Haven,23929
Nye,23575
Douglas,23486
Polk,22519
Cass,22478
Utah,22475
Imperial,22342
Pennington,21962
Richland,21117
Marion,20855
Hamilton,20829
Converse,20692
Albany,20682
Kings,19784
Rosebud,19222
Mono,19184
Bannock,19080
Washington,18844
Aroostook,18532
Orange,18197
Ramsey,17320
Lane,17237
Prowers,17226
Spokane,16766
Gila,16682
Franklin,16542
Forsyth,16521
Fresno,16402
Broward,16336
San Joaquin,15812
Fremont,15633
Silver Bow,15105
Harris,15089
Missoula,14988
Cerro Gordo,14758
Ventura,14700
Sublette,14652
BAJA CALIFORNIA NORTE,14297
Alamosa,14151
Brooke,14125
King,13990
Hennepin,13851
San Diego,13685
Sheridan,13577
Guaynabo,13569
Mesa,13444
Sonoma,13439
Lexington,13272
Georgetown,13139
Porter,12957
Summit,12853
Ottawa,12598
Charleston,12474
Weber,12233
Ada,11986
Sarasota,11967
Routt,11934
Davidson,11791
Gunnison,11768
Jasper,11768
Pitkin,11677
Erie,11557
Uinta,11346
Duval,11313
Mecklenburg,11289
Saint Louis,11095
Lawrence,10726
Benton,10696
Knox,10671
La Salle,10653
San Juan,10610
Santa Cruz,10556
Archuleta,10361
Hartford,10336
Lancaster,10312
Cochise,10214
Suffolk,10138
Pinellas,10104
Shoshone,10025
Greenville,9965
Luzerne,9806
Shelby,9762
Northampton,9752
Beaver,9749
Garfield,9734
Stanislaus,9709
Lucas,9668
Fairfield,9637
Dauphin,9512
Volusia,9415
Juneau ,9406
Minnehaha,9303
