date_local,count
1997-05-10,1601
1997-06-03,1598
1997-03-23,1594
1996-04-27,1594
1997-02-15,1593
1996-06-14,1593
1997-06-21,1592
1997-03-11,1591
1997-03-29,1591
1997-04-16,1591
1996-05-03,1591
1997-05-04,1590
1997-05-28,1587
1997-02-21,1587
1996-06-08,1586
1995-03-16,1586
1997-06-15,1585
1996-03-22,1585
1997-04-10,1584
1997-05-16,1583
1996-09-24,1583
1996-08-25,1583
1997-02-09,1583
1997-04-22,1583
1996-09-18,1581
1997-06-27,1580
1997-05-22,1580
1996-04-21,1579
1996-06-20,1579
1995-11-23,1578
1996-03-28,1577
1997-07-15,1576
1995-03-28,1576
1996-08-01,1576
1997-08-14,1575
1996-07-26,1575
1996-03-16,1575
1997-03-05,1575
1995-11-17,1575
1995-02-20,1575
1997-07-27,1574
1996-03-10,1574
1995-02-08,1574
1996-06-02,1574
1996-07-20,1574
1996-08-31,1574
1995-02-02,1573
1997-09-13,1573
1997-06-09,1573
1996-04-03,1571
1995-03-22,1571
1996-10-12,1571
1996-02-15,1571
1995-04-15,1571
1996-08-07,1571
1996-05-15,1570
1997-10-25,1570
1996-11-23,1569
1995-05-09,1569
1996-04-09,1568
1996-10-24,1568
1996-02-27,1568
1997-08-08,1568
1995-01-21,1567
1995-05-03,1567
1997-01-28,1567
1997-02-03,1567
1996-04-15,1566
1996-08-19,1566
1996-11-05,1566
1995-04-27,1565
1997-03-17,1565
1997-07-03,1565
1997-04-04,1564
1996-02-21,1564
1997-10-19,1564
1996-05-27,1564
1996-05-09,1563
1996-09-30,1563
1996-09-12,1562
1997-04-28,1562
1996-10-18,1562
1996-03-04,1562
1996-12-05,1561
1996-06-26,1561
1997-08-02,1561
1997-12-12,1560
1995-02-26,1560
1997-12-18,1560
1997-12-06,1560
1997-09-19,1560
1996-11-17,1558
1996-10-06,1557
1997-09-25,1557
1995-03-04,1556
1996-05-21,1556
1995-06-20,1556
1995-04-21,1556
1997-09-07,1556
1995-05-27,1555
1997-02-27,1555
1997-08-20,1555
1997-10-07,1555
1995-02-14,1553
1995-11-11,1552
1996-02-09,1552
1996-08-13,1552
1997-07-09,1552
1995-07-08,1551
1997-08-26,1551
1997-11-06,1551
1995-06-14,1551
1996-01-22,1551
1996-11-11,1550
1995-12-05,1549
1995-05-21,1549
1997-11-18,1549
1996-09-06,1548
1996-07-14,1548
1997-10-01,1546
1995-11-05,1545
1995-01-27,1544
1996-12-17,1544
1996-07-08,1544
1997-11-24,1544
1995-03-10,1543
1996-01-28,1543
1997-01-10,1542
1995-11-29,1541
1997-07-21,1541
1997-10-31,1540
1997-11-30,1540
1995-05-15,1539
1995-10-30,1539
1995-06-02,1539
1995-09-24,1537
1997-01-22,1537
1996-10-30,1537
1996-07-02,1537
1995-07-20,1536
1996-12-11,1536
1997-12-24,1535
1995-08-19,1535
1995-09-12,1534
1996-11-29,1534
1995-06-08,1534
1995-04-09,1533
1997-10-13,1533
1995-04-03,1533
1995-07-14,1532
1995-08-25,1531
1995-12-11,1530
1995-07-26,1529
1995-10-24,1529
1995-08-13,1529
1995-12-17,1528
1994-02-19,1527
1995-12-23,1526
1995-07-02,1525
1997-09-01,1525
1997-01-16,1524
1997-01-04,1522
1994-11-10,1522
1995-06-26,1521
1995-10-12,1521
1994-12-10,1520
1994-12-04,1520
1997-11-12,1518
1995-10-18,1517
1996-02-03,1516
1995-09-18,1515
1995-12-29,1514
1995-08-07,1514
1994-12-16,1514
1994-12-22,1514
1994-11-16,1514
1995-08-01,1511
1995-01-15,1510
1994-09-29,1510
1996-12-23,1509
1994-09-23,1508
1996-01-16,1508
1995-09-06,1507
1994-05-20,1503
1995-08-31,1503
1994-03-15,1501
1994-03-27,1500
1994-11-04,1499
1994-10-23,1499
1994-02-25,1499
1994-04-08,1498
1994-10-29,1497
1994-03-03,1497
1997-12-30,1497
1994-04-02,1496
1996-12-29,1496
1996-01-10,1495
1994-11-22,1495
1994-03-09,1494
