date_of_last_change,count
2021-11-08,2240449
2021-11-09,1713624
2021-11-01,112836
2021-10-31,111976
2021-11-03,83779
2021-11-05,81779
2021-11-02,71312
2021-11-04,47763
2021-11-07,43068
2021-11-06,39862
2022-04-29,20111
2021-10-30,15089
2022-05-02,14486
2022-04-30,12911
2022-03-11,10389
2022-03-29,9947
2022-04-25,9590
2022-04-05,8895
2022-01-13,8362
2022-03-31,8266
2022-04-19,7954
2022-04-12,6991
2022-04-21,6366
2022-04-11,6357
2022-03-16,6148
2022-03-14,5995
2022-02-01,5947
2022-03-03,5298
2022-01-25,5296
2022-03-30,5152
2022-03-22,5084
2022-02-28,4400
2022-03-08,4171
2022-03-09,4065
2022-03-18,3778
2022-02-10,3714
2022-03-04,3563
2022-03-02,3438
2022-03-24,3432
2022-02-24,3377
2022-04-13,3232
2022-05-11,3112
2021-11-18,3101
2022-04-28,2963
2022-02-23,2879
2022-05-17,2724
2022-03-28,2715
2021-11-17,2588
2022-02-14,2548
2022-04-04,2487
2022-04-06,2412
2022-03-15,2353
2022-05-19,2307
2022-03-25,2096
2022-01-24,2037
2022-01-28,2010
2022-05-04,1975
2022-04-07,1861
2022-02-15,1757
2022-02-18,1735
2022-03-10,1725
2022-04-18,1687
2022-03-17,1626
2022-01-31,1607
2021-12-14,1563
2022-04-26,1438
2022-02-25,1395
2022-05-06,1275
2022-01-18,1269
2022-03-07,1237
2022-01-26,1209
2022-05-24,1193
2023-04-20,1171
2022-01-12,1159
2021-12-21,1074
2022-05-05,1046
2022-01-04,1018
2022-05-23,1013
2022-05-25,932
2022-02-03,913
2022-05-18,877
2022-04-20,877
2022-02-17,874
2022-05-27,842
2022-01-21,815
2023-05-02,808
2021-12-08,795
2022-04-14,756
2023-05-01,743
2022-01-19,728
2022-01-11,722
2022-01-20,711
2022-02-09,710
2022-02-02,699
2023-05-05,686
2022-04-22,681
2022-05-10,677
2022-03-23,666
2023-04-24,650
2022-05-12,639
2022-05-13,636
2022-06-01,628
2022-05-31,568
2023-05-04,568
2023-04-13,544
2022-03-01,482
2022-04-15,477
2023-04-12,462
2021-12-13,452
2022-04-02,449
2022-04-01,445
2022-02-08,423
2022-05-03,422
2022-06-02,421
2022-05-20,417
2023-03-21,403
2022-03-21,365
2022-01-15,363
2022-02-22,362
2022-01-01,362
2022-02-16,362
2022-04-08,362
2022-01-06,352
2023-04-03,347
2021-11-12,346
2023-04-25,339
2023-04-29,330
2023-04-21,318
2023-04-27,318
2022-01-03,301
2023-04-28,279
2023-05-03,273
2021-12-06,264
2023-04-04,264
2023-05-08,246
2023-04-14,232
2022-01-10,223
2022-01-27,181
2023-03-23,173
2021-12-29,166
2022-02-07,158
2023-03-07,115
2022-04-27,103
2022-05-26,90
2023-04-19,88
2023-04-26,85
2022-05-16,81
2023-04-18,71
2022-01-14,68
2023-03-17,58
2023-03-09,57
2023-04-17,43
2021-12-15,32
2023-04-07,31
2023-04-10,16
2021-12-10,5
2023-04-11,3
2021-12-20,1
