latitude,count
40.323768,18504
36.487823,16839
41.467236,15939
41.80118,14304
35.1443,13062
42.306674,12904
41.687165,12806
40.341389,12430
39.838119,11961
40.421539,11783
36.326172,11762
40.326008,11695
33.553056,11652
46.002602,11306
41.477011,11292
39.751184,11244
33.499722,11212
40.443367,10950
40.485201,10894
36.609003,10856
41.293015,10653
32.003712,10585
40.308219,10509
40.394651,10504
41.492117,10466
38.084688,10425
37.198286,10359
46.842181,10331
48.391545,10284
32.882289,10156
38.23319,10143
40.427372,10143
41.606662,10111
41.616618,10085
21.30758,9844
33.70853,9827
32.322661,9818
36.366319,9731
46.682299,9730
42.876725,9630
33.45797,9612
44.815142,9608
40.736389,9452
41.7575,9378
32.201978,9350
35.785665,9331
46.21835,9309
47.692161,9305
47.536389,9286
21.392833,9262
36.267536,9169
27.928356,9152
43.618889,9103
39.540917,8954
35.19324,8936
41.265556,8896
45.623325,8882
40.046667,8855
35.77417,8831
38.56844,8708
38.613779,8664
37.469391,8655
29.206667,8613
40.611944,8607
21.323745,8565
18.440095,8390
40.747796,8345
40.865557,8342
39.12886,8336
42.14175,8330
36.106389,8313
39.740342,8304
38.699565,8260
40.309722,8247
36.173415,8233
34.510961,8225
36.048705,8212
40.8075,8210
37.702066,8046
43.16944,8035
35.356615,7985
35.978149,7979
37.651114,7949
33.565278,7880
37.747085,7873
36.11094,7870
43.58031,7759
32.041212,7734
33.503833,7699
26.602016,7678
40.535278,7670
44.95072,7594
39.138773,7560
31.87952,7520
35.856111,7485
41.206321,7436
44.450619,7409
36.270592,7404
34.728831,7399
34.669739,7387
32.424813,7369
29.687748,7343
38.556326,7333
28.746111,7286
43.6483,7257
41.749544,7253
40.499767,7240
31.337204,7223
39.741694,7208
43.530593,7184
18.431208,7160
41.792583,7139
44.112949,7138
37.26842,7110
37.64571,7109
36.049402,7091
44.152375,7090
27.864192,7070
40.253611,7024
48.20054,7000
32.891056,6980
35.49158,6978
36.224024,6965
37.937872,6957
31.79594,6925
41.6239,6906
39.835556,6889
27.350278,6881
33.973389,6878
36.102244,6877
36.191251,6839
35.01708,6829
38.069711,6818
47.660743,6791
33.006179,6779
34.106678,6755
33.85275,6750
40.995848,6749
37.642165,6727
33.48378,6718
36.06597,6717
38.090949,6694
40.47368,6687
48.64193,6650
